Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
					PG 17:0/22:4 (7z)	[8.514235..9.877899]	[8.420323..10.18918]	[8.857977..10.371838]	[8.420323..10.371838]	
PI 31:1:0	12.920645	12.88698	13.052789	[12.88698..13.052789]	Sum	[13.281477..13.983381]	[13.301688..13.786951]	[12.382951..14.415348]	[12.382951..14.415348]	
					PI 14:1_17:0	[13.281477..13.983381]	[13.301688..13.786951]	[12.382951..14.415348]	[12.382951..14.415348]	
PI 33:1:0	24.994253	25.063593	25.067154	[24.994253..25.067154]	Sum	[23.837372..25.414711]	[23.717497..25.051502]	[24.01545..26.23879]	[23.717497..26.23879]	
					PI 16:1_17:0	[23.837372..25.414711]	[23.717497..25.051502]	[24.01545..26.23879]	[23.717497..26.23879]	
PI 35:1:0	30.388054	30.262459	30.42669	[30.262459..30.42669]	Sum	[28.600716..29.982763]	[29.245588..30.586906]	[27.779394..30.60207]	[27.779394..30.60207]	
					PI 17:0_18:1	[28.600716..29.982763]	[29.245588..30.586906]	[27.779394..30.60207]	[27.779394..30.60207]	
PI 37:3:0	21.823065	21.8231	21.649881	[21.649881..21.8231]	Sum	[22.080929..22.852747]	[21.499638..23.726063]	[19.88743..23.431501]	[19.88743..23.726063]	
					PI 17:0_20:3 (8z)	[22.080929..22.852747]	[21.499638..23.726063]	[19.88743..23.431501]	[19.88743..23.726063]	
PI 39:4:0	9.873978	9.963865	9.803486	[9.803486..9.963865]	Sum	[9.084424..10.71397]	[9.190783..9.591767]	[9.009643..10.483594]	[9.009643..10.71397]	
					PI 17:0_22:4 (7z)	[9.084424..10.71397]	[9.190783..9.591767]	[9.009643..10.483594]	[9.009643..10.71397]	
PS 31:1:0	12.380459	12.262649	12.499509	[12.262649..12.499509]	Sum	[12.441427..12.753151]	[12.120501..12.64587]	[11.916284..13.580502]	[11.916284..13.580502]	
					PS 17:0/14:1	[12.442221..12.753151]	[12.120501..12.64587]	[11.91636..13.580579]	[11.91636..13.580579]	
					PS 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 33:1:0	23.046284	23.316261	23.512108	[23.046284..23.512108]	Sum	[23.3171..24.836275]	[21.57662..24.083094]	[22.61397..24.255367]	[21.57662..24.836275]	
					PS 17:0/16:1	[22.704727..24.836275]	[20.969667..24.083094]	[22.56854..24.255367]	[20.969667..24.836275]	
					PS 16:1/17:0	[0.0..0.6457432]	[0.0..0.67432666]	[0.0..0.04851074]	[0.0..0.67432666]	
PS 35:1:0	31.467606	31.496338	31.362423	[31.362423..31.496338]	Sum	[31.108778..31.940105]	[30.27032..32.552513]	[29.21469..32.61387]	[29.21469..32.61387]	
					PS 17:0/18:1	[29.778755..31.828413]	[28.820559..32.552513]	[28.924528..32.538204]	[28.820559..32.552513]	
					PS 18:1/17:0	[0.0..1.5277638]	[0.0..1.7252833]	[0.0..0.42299664]	[0.0..1.7252833]	
PS 37:3:0	23.67931	23.47409	23.187222	[23.187222..23.67931]	Sum	[22.00478..22.9131]	[22.65343..24.301731]	[22.625105..23.280327]	[22.00478..24.301731]	
					PS 17:0/20:3 (8z)	[22.00478..22.91498]	[22.066196..24.173471]	[22.513254..23.153957]	[22.00478..24.173471]	
					PS 20:3 (8z)/17:0	[0.0..0.0]	[0.0..0.7010306]	[0.0..0.20838562]	[0.0..0.7010306]	
PS 39:4:0	9.426339	9.450666	9.438738	[9.426339..9.450666]	Sum	[9.0754175..9.905202]	[9.461759..10.270481]	[9.509163..10.3955145]	[9.0754175..10.3955145]	
					PS 17:0/22:4 (7z)	[9.0754175..9.906014]	[9.311403..10.2189245]	[9.452605..10.36336]	[9.0754175..10.36336]	
					PS 22:4 (7z)/17:0	[0.0..0.0]	[0.0..0.19415955]	[0.0..0.103633605]	[0.0..0.19415955]	
