PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FACO2M,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML
790.5651288,H73 C43 D5 O10 P1 ,PG,37,3,0,PGd5 37:3:0,-0.08,3379437.6,3511558.7,3230102.4,269.248605,17,0,0,787673.8,870724.2,802909.6,305.2481676,20,3,-1.43,2024613.1,2213892.9,2150275.6,261.2587368,0,9400.6,0
816.5807363,H75 C45 D5 O10 P1 ,PG,39,4,0,PGd5 39:4:0,-0.13,1605512.4,1672094.2,1533281.5,269.248605,17,0,0,366348.7,391624,395251.8,331.2635586,22,4,-2.1,926899.2,1009794.8,996036.9,287.2742194,20622.5,20368.6,18357.5
###,PIfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
798.5183787,H69 C40 D5 O13 P1 ,PI,31,1,0,PId5 31:1:0,-0.32,1877365.3,1895760.2,1802236.9,225.1859168,14,1,-0.39,164922.8,178431.8,166445.5,269.248605,17,0,0,214253.8,245195.9,231958.9,None, None, None, None
826.549466,H73 C42 D5 O13 P1 ,PI,33,1,0,PId5 33:1:0,-0.57,3631656.4,3687020.8,3461095.7,253.2172685,16,1,-0.14,328275.2,359864.5,331168.4,269.248605,17,0,0,348897,428440.5,414047.8,None, None, None, None
854.5801463,H77 C44 D5 O13 P1 ,PI,35,1,0,PId5 35:1:0,-1.28,4415374.2,4451808.4,4201102.6,269.248605,17,0,0,435605.2,530211.9,457297.9,281.2484015,18,1,-0.72,415263.1,501208.4,425904.3,None, None, None, None
878.5799836,H77 C46 D5 O13 P1 ,PI,37,3,0,PId5 37:3:0,-1.43,3170884.1,3210322.7,2989262.8,269.248605,17,0,0,330301.4,368638.6,303209,305.2481778,20,3,-1.4,376196.4,425881.5,330735.5,None, None, None, None
904.5956086,H79 C48 D5 O13 P1 ,PI,39,4,0,PId5 39:4:0,-1.41,1434685.5,1465750.7,1353596.1,269.248605,17,0,0,148201.1,153362.5,154868.8,331.2635484,22,4,-2.13,191322.8,194572.9,182860.5,None, None, None, None
###,PICO,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PSfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
723.498039,C37 D5 H64 O10 N1 P1 ,PS,31,1,0,PSd5 31:1:0,0.27,1807767.4,1819000.8,1747307.4,225.185927,14,1,-0.35,215620.6,228618,200879.2,269.248605,17,0,0,557923.3,594779.1,520297.3,None, None, None, None
751.5292677,C39 D5 H68 O10 N1 P1 ,PS,33,1,0,PSd5 33:1:0,0.17,3365167.6,3458657.2,3286759.6,253.2172838,16,1,-0.08,443922.3,463493.8,434365,269.248605,17,0,0,1023682.2,1064274.3,1056554.8,None, None, None, None
779.5604557,C41 D5 H72 O10 N1 P1 ,PS,35,1,0,PSd5 35:1:0,0.02,4594830.7,4672062.4,4384155.5,269.248605,17,0,0,1384990.4,1455850.6,1360595.1,281.2484117,18,1,-0.69,650916.9,664504,591388.5,None, None, None, None
803.559903,C43 D5 H72 O10 N1 P1 ,PS,37,3,0,PSd5 37:3:0,-0.67,3457600.8,3482068.9,3241343.5,269.248605,17,0,0,1099262.7,1234265.2,1077429.4,305.2481676,20,3,-1.43,418037.6,495375.3,443023.7,None, None, None, None
829.5757721,C45 D5 H74 O10 N1 P1 ,PS,39,4,0,PSd5 39:4:0,-0.39,1376413.3,1401880.7,1319442,269.248605,17,0,0,484265.2,519212.7,480978.7,331.2635586,22,4,-2.1,191310.3,228025.5,207114.3,None, None, None, None
###,PSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NCE,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
795.591743,C42 D5 H76 O10 N1 P1 ,PC,33,1,0,PCd5 33:1:0,0,4877652.5,5053404.6,4694391.9,269.248605,17,0,0,1428648.1,1595632.5,1382944.1,253.2172736,16,1,-0.12,3463524.8,3974207.6,3377783.4,None, None, None, None
823.6229727,C44 D5 H80 O10 N1 P1 ,PC,35,1,0,PCd5 35:1:0,-0.09,6951177.8,7230788.6,6628679.2,281.2483812,18,1,-0.8,5214992.8,6202019.3,5648559.4,269.248605,17,0,0,1947653.9,2351894.4,2175088.3,None, None, None, None
847.6223013,C46 D5 H80 O10 N1 P1 ,PC,37,3,0,PCd5 37:3:0,-0.88,4574151.1,4726187.5,4350837.2,305.2481574,20,3,-1.47,3517693.6,3491641.9,3471488.5,269.248605,17,0,0,1587242.7,1482982.6,1563754.9,None, None, None, None
873.6376618,C48 D5 H82 O10 N1 P1 ,PC,39,4,0,PCd5 39:4:0,-1.18,2187572.9,2268073.3,2068244.4,331.2635586,22,4,-2.1,1364431.2,1498522.3,1436451.9,269.248605,17,0,0,684163.3,738267.2,706906.9,None, None, None, None
###,PCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
847.6223013,C46 D5 H80 O10 N1 P1 ,PC,37,3,0,PC 37:3:0,-0.88,4574151.1,4726187.5,4350837.2,269.248605,17,0,0,1587242.7,1482982.6,1563754.9,305.2481574,20,3,-1.47,3517693.6,3491641.9,3471488.5,261.2587674,15724.6,0,17721.2
873.6376618,C48 D5 H82 O10 N1 P1 ,PC,39,4,0,PC 39:4:0,-1.18,2187572.9,2268073.3,2068244.4,269.248605,17,0,0,684163.3,738267.2,706906.9,331.2635586,22,4,-2.1,1364431.2,1498522.3,1436451.9,287.2742398,45326.5,44931.7,41964.7
###,PEfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
679.508013,C36 D5 H64 O8 N1 P1 ,PE,31,1,0,PEd5 31:1:0,0,1782642.5,1842955.9,1747249,225.185927,14,1,-0.35,1290632.2,1405698.2,1239391,269.248605,17,0,0,536463.5,581376.2,509398.1,None, None, None, None
707.5393638,C38 D5 H68 O8 N1 P1 ,PE,33,1,0,PEd5 33:1:0,0.07,3044625.5,3182849.1,2954947.4,253.2172685,16,1,-0.14,2287457.2,2496787.6,2278370.4,269.248605,17,0,0,892927.8,962846.4,923761.4,None, None, None, None
735.5710197,C40 D5 H72 O8 N1 P1 ,PE,35,1,0,PEd5 35:1:0,0.55,4696289.3,4847229.4,4519812,269.248605,17,0,0,1445914,1644693.1,1315679.6,281.2483914,18,1,-0.76,3805388,4390889.8,3463280.7,None, None, None, None
759.5705362,C42 D5 H72 O8 N1 P1 ,PE,37,3,0,PEd5 37:3:0,-0.1,2879505.9,2976907.7,2750606.1,269.248605,17,0,0,871621.2,923255.9,903749.2,305.2481676,20,3,-1.43,1914584,2072503.2,1972412.9,None, None, None, None
785.586102,C44 D5 H74 O8 N1 P1 ,PE,39,4,0,PEd5 39:4:0,-0.21,1421989.8,1450042.4,1352358.4,269.248605,17,0,0,456657,515547.4,443496.1,331.2635586,22,4,-2.1,715533.6,839296.2,752167,None, None, None, None
###,PECO,,,,,,,,,,,,,,,,,,,,,,,,,,,
759.5705362,C42 D5 H72 O8 N1 P1 ,PE,37,3,0,PEd5 37:3:0,-0.1,2879505.9,2976907.7,2750606.1,269.248605,17,0,0,871621.2,923255.9,903749.2,305.2481676,20,3,-1.43,1914584,2072503.2,1972412.9,261.2587775,10033.7,10582.4,13412.8
785.586102,C44 D5 H74 O8 N1 P1 ,PE,39,4,0,PEd5 39:4:0,-0.21,1421989.8,1450042.4,1352358.4,269.248605,17,0,0,456657,515547.4,443496.1,331.2635586,22,4,-2.1,715533.6,839296.2,752167,287.2742296,27283.5,34141.9,26597.5
###,PGfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
710.5025039,H65 C37 D5 O10 P1 ,PG,31,1,0,PGd5 31:1:0,-0.13,2007248.5,2072460.6,1959468.5,269.248605,17,0,0,562746.5,588987.9,553189.4,225.1859117,14,1,-0.41,1284503.8,1440122.4,1313877.2,None, None, None, None
738.5341395,H69 C39 D5 O10 P1 ,PG,33,1,0,PGd5 33:1:0,0.33,3522130.3,3636327.3,3415435.2,269.248605,17,0,0,951610.8,1082642.7,1034000.1,253.2172736,16,1,-0.12,2369147.7,2721455.6,2529754.8,None, None, None, None
766.5651647,H73 C41 D5 O10 P1 ,PG,35,1,0,PGd5 35:1:0,-0.04,4965419.7,5121757,4768484,281.2483914,18,1,-0.76,3590804.9,4233073.2,3846682.8,269.248605,17,0,0,1437876,1666511.9,1531773.7,None, None, None, None
790.5651288,H73 C43 D5 O10 P1 ,PG,37,3,0,PGd5 37:3:0,-0.08,3379437.6,3511558.7,3230102.4,305.2481778,20,3,-1.4,2234139.1,2569071.3,2291783.2,269.248605,17,0,0,949826.4,1074976.7,968246.6,None, None, None, None
816.5807363,H75 C45 D5 O10 P1 ,PG,39,4,0,PGd5 39:4:0,-0.13,1605512.4,1672094.2,1533281.5,331.2635484,22,4,-2.13,853535.1,1026884.9,928852.1,269.248605,17,0,0,433515.4,525076.5,453162.3,None, None, None, None
###,PGCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
790.5651288,H73 C43 D5 O10 P1 ,PG,37,3,0,PGd5 37:3:0,-0.08,3379437.6,3511558.7,3230102.4,269.248605,17,0,0,949826.4,1074976.7,968246.6,305.2481778,20,3,-1.4,2234139.1,2569071.3,2291783.2,261.2586961,12230.3,12476.5,14300.9
816.5807363,H75 C45 D5 O10 P1 ,PG,39,4,0,PGd5 39:4:0,-0.13,1605512.4,1672094.2,1533281.5,269.248605,17,0,0,433515.4,525076.5,453162.3,331.2635484,22,4,-2.13,853535.1,1026884.9,928852.1,287.2742499,29159,32699.9,33320.6
###,PIfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
798.5183787,H69 C40 D5 O13 P1 ,PI,31,1,0,PId5 31:1:0,-0.32,1877365.3,1895760.2,1802236.9,225.1859168,14,1,-0.39,394660,456442,352986.8,269.248605,17,0,0,492736.8,579897.5,478205.2,None, None, None, None
826.549466,H73 C42 D5 O13 P1 ,PI,33,1,0,PId5 33:1:0,-0.57,3631656.4,3687020.8,3461095.7,253.2172787,16,1,-0.1,760963.4,891490.9,784248.1,269.248605,17,0,0,917990.7,985398.9,884317.7,None, None, None, None
854.5801463,H77 C44 D5 O13 P1 ,PI,35,1,0,PId5 35:1:0,-1.28,4415374.2,4451808.4,4201102.6,269.248605,17,0,0,1082093.5,1237837.6,1114813.4,281.2483914,18,1,-0.76,1101202.5,1223613.2,1136253.7,None, None, None, None
878.5799836,H77 C46 D5 O13 P1 ,PI,37,3,0,PId5 37:3:0,-1.43,3170884.1,3210322.7,2989262.8,269.248605,17,0,0,743848.9,901769.8,771196.7,305.2481778,20,3,-1.4,806229.3,957528.3,831365.1,None, None, None, None
904.5956086,H79 C48 D5 O13 P1 ,PI,39,4,0,PId5 39:4:0,-1.41,1434685.5,1465750.7,1353596.1,269.248605,17,0,0,367425.5,386435.9,363633.5,331.2635586,22,4,-2.1,354589.9,386356.9,353118.3,None, None, None, None
###,PICO,,,,,,,,,,,,,,,,,,,,,,,,,,,
904.5956086,H79 C48 D5 O13 P1 ,PI,39,4,0,PId5 39:4:0,-1.41,1434685.5,1465750.7,1353596.1,269.248605,17,0,0,367425.5,386435.9,363633.5,331.2635586,22,4,-2.1,354589.9,386356.9,353118.3,287.2742398,10166.8,10970.1,10149.6
###,PSfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
723.498039,C37 D5 H64 O10 N1 P1 ,PS,31,1,0,PSd5 31:1:0,0.27,1807767.4,1819000.8,1747307.4,225.1859219,14,1,-0.37,300811,337634.4,341419.7,269.248605,17,0,0,876102,1024044.3,941539.1,None, None, None, None
751.5292677,C39 D5 H68 O10 N1 P1 ,PS,33,1,0,PSd5 33:1:0,0.17,3365167.6,3458657.2,3286759.6,253.2172736,16,1,-0.12,616587.6,670755.1,648323.7,269.248605,17,0,0,1667979,1805395.1,1753817.8,None, None, None, None
779.5604557,C41 D5 H72 O10 N1 P1 ,PS,35,1,0,PSd5 35:1:0,0.02,4594830.7,4672062.4,4384155.5,269.248605,17,0,0,2318550.1,2786951.8,2575248.9,281.2483914,18,1,-0.76,928032.1,1108887.7,1024865.3,None, None, None, None
803.559903,C43 D5 H72 O10 N1 P1 ,PS,37,3,0,PSd5 37:3:0,-0.67,3457600.8,3482068.9,3241343.5,269.248605,17,0,0,1695284,2026231.3,1823602.6,305.2481879,20,3,-1.37,577134.6,703346.9,636624.8,None, None, None, None
829.5757721,C45 D5 H74 O10 N1 P1 ,PS,39,4,0,PSd5 39:4:0,-0.39,1376413.3,1401880.7,1319442,269.248605,17,0,0,748245,927390.6,810230.1,331.2635383,22,4,-2.16,237081,312340,257198.9,None, None, None, None
###,PSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
