PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,PRI:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA1I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FA2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML,FACO2M,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML,FACO2I:20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML
790.5651288,H73 C43 D5 O10 P1 ,PG,37,3,0,PGd5 37:3:0,-0.08,3379437.6,3511558.7,3230102.4,269.248605,17,0,0,947950.1,1083792.2,914552.4,305.2481778,20,3,-1.4,1842258,2077643.7,1763468.3,261.2587674,15240.2,19596.4,16647.2
816.5807363,H75 C45 D5 O10 P1 ,PG,39,4,0,PGd5 39:4:0,-0.13,1605512.4,1672094.2,1533281.5,269.248605,17,0,0,435881.1,507507.1,452124.4,331.2635484,22,4,-2.13,577654,650937.9,605895.7,287.2742194,23595.5,27014.2,27044.8
###,PIfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
798.5183787,H69 C40 D5 O13 P1 ,PI,31,1,0,PId5 31:1:0,-0.32,1877365.3,1895760.2,1802236.9,225.1859168,14,1,-0.39,527314.2,594525.5,562379.5,269.248605,17,0,0,669013.3,751155.2,672091.2,None, None, None, None
826.549466,H73 C42 D5 O13 P1 ,PI,33,1,0,PId5 33:1:0,-0.57,3631656.4,3687020.8,3461095.7,253.2172787,16,1,-0.1,1135193.5,1213672.1,1198945.5,269.248605,17,0,0,1260071.1,1378192.1,1304468.8,None, None, None, None
854.5801463,H77 C44 D5 O13 P1 ,PI,35,1,0,PId5 35:1:0,-1.28,4415374.2,4451808.4,4201102.6,269.248605,17,0,0,1491715.9,1671361.5,1425851.8,281.248371,18,1,-0.83,1522853.3,1705132.6,1430192.7,None, None, None, None
878.5799836,H77 C46 D5 O13 P1 ,PI,37,3,0,PId5 37:3:0,-1.43,3170884.1,3210322.7,2989262.8,269.248605,17,0,0,1015190.2,1073525.2,1050744.7,305.2481778,20,3,-1.4,917855,990645,981078.5,None, None, None, None
904.5956086,H79 C48 D5 O13 P1 ,PI,39,4,0,PId5 39:4:0,-1.41,1434685.5,1465750.7,1353596.1,269.248605,17,0,0,466330.7,518220.6,457586.2,331.2635586,22,4,-2.1,338101.7,389730.5,347666.7,None, None, None, None
###,PICO,,,,,,,,,,,,,,,,,,,,,,,,,,,
878.5799836,H77 C46 D5 O13 P1 ,PI,37,3,0,PId5 37:3:0,-1.43,3170884.1,3210322.7,2989262.8,269.248605,17,0,0,1015190.2,1073525.2,1050744.7,305.2481778,20,3,-1.4,917855,990645,981078.5,261.2589199,0,0,7572.1
904.5956086,H79 C48 D5 O13 P1 ,PI,39,4,0,PId5 39:4:0,-1.41,1434685.5,1465750.7,1353596.1,269.248605,17,0,0,466330.7,518220.6,457586.2,331.2635586,22,4,-2.1,338101.7,389730.5,347666.7,287.2742296,12753.1,13550.6,13223.3
###,PSfa,,,,,,,,,,,,,,,,,,,,,,,,,,,
723.498039,C37 D5 H64 O10 N1 P1 ,PS,31,1,0,PSd5 31:1:0,0.27,1807767.4,1819000.8,1747307.4,225.1859219,14,1,-0.37,342272.7,366834.7,360315.3,269.248605,17,0,0,1038855.1,1094528,1058878.9,None, None, None, None
751.5292677,C39 D5 H68 O10 N1 P1 ,PS,33,1,0,PSd5 33:1:0,0.17,3365167.6,3458657.2,3286759.6,253.2172889,16,1,-0.06,729647.8,791941.2,668863.1,269.248605,17,0,0,2086265.6,2218602.1,1911228.7,None, None, None, None
779.5604557,C41 D5 H72 O10 N1 P1 ,PS,35,1,0,PSd5 35:1:0,0.02,4594830.7,4672062.4,4384155.5,269.248605,17,0,0,2760738.6,3064259.8,2451195.1,281.2484117,18,1,-0.69,991256.3,1102879.7,886050.1,None, None, None, None
803.559903,C43 D5 H72 O10 N1 P1 ,PS,37,3,0,PSd5 37:3:0,-0.67,3457600.8,3482068.9,3241343.5,269.248605,17,0,0,1921663.8,2131140.6,1912371.9,305.2481676,20,3,-1.43,539776,649519.7,556916.1,None, None, None, None
829.5757721,C45 D5 H74 O10 N1 P1 ,PS,39,4,0,PSd5 39:4:0,-0.39,1376413.3,1401880.7,1319442,269.248605,17,0,0,840635.9,973629.7,911194.4,331.2635586,22,4,-2.1,205989.6,231603.6,231008.8,None, None, None, None
###,PSCO,,,,,,,,,,,,,,,,,,,,,,,,,,,
829.5757721,C45 D5 H74 O10 N1 P1 ,PS,39,4,0,PSd5 39:4:0,-0.39,1376413.3,1401880.7,1319442,269.248605,17,0,0,840635.9,973629.7,911194.4,331.2635586,22,4,-2.1,205989.6,231603.6,231008.8,287.2742499,7309.8,8475.9,7291
