Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PS 31:1:0	12.380459	12.262649	12.499509	[12.262649..12.499509]	Sum	[12.781127..12.781127]	[12.283701..12.283701]	[13.753282..13.753282]	[12.283701..13.753282]	
					PS 14:1-17:0	[12.781127..12.781127]	[12.283701..12.283701]	[13.753282..13.753282]	[12.283701..13.753282]	
PS 33:1:0	23.046284	23.316261	23.512108	[23.046284..23.512108]	Sum	[25.222466..25.222466]	[24.493399..24.493399]	[24.200962..24.200962]	[24.200962..25.222466]	
					PS 16:1-17:0	[25.222466..25.222466]	[24.493399..24.493399]	[24.200962..24.200962]	[24.200962..25.222466]	
PS 35:1:0	31.467606	31.496338	31.362423	[31.362423..31.496338]	Sum	[32.56734..32.56734]	[32.85444..32.85444]	[30.334538..30.334538]	[30.334538..32.85444]	
					PS 17:0-18:1	[32.56734..32.56734]	[32.85444..32.85444]	[30.334538..30.334538]	[30.334538..32.85444]	
PS 37:3:0	23.67931	23.47409	23.187222	[23.187222..23.67931]	Sum	[20.816505..20.816505]	[21.360058..21.360058]	[21.868526..21.868526]	[20.816505..21.868526]	
					PS 17:0-20:3	[20.816505..20.816505]	[21.360058..21.360058]	[21.868526..21.868526]	[20.816505..21.868526]	
PS 39:4:0	9.426339	9.450666	9.438738	[9.426339..9.450666]	Sum	[8.612563..8.612563]	[9.0084095..9.0084095]	[9.842686..9.842686]	[8.612563..9.842686]	
					PS 17:0-22:4	[8.612563..8.612563]	[9.0084095..9.0084095]	[9.842686..9.842686]	[8.612563..9.842686]	
