Specie,CE,FA_C_x,FA_DB_x,FA_iso_x,sn_x,FA_C_y,FA_DB_y,FA_iso_y,sn_y,norm_Intensity,norm_Intensity_var,,,,,,,
PI210226,24,21,0,0,0,22,6,4,1,1.2696018,5.06E-01,,,,,,,
PI210226,25,21,0,0,0,22,6,4,1,1.6433177,6.55E-01,,,,,,,
PI210226,26,21,0,0,0,22,6,4,1,1.9780922,7.88E-01,,,,,,,
PI210226,27,21,0,0,0,22,6,4,1,2.1825457,8.70E-01,,,,,,,
PI210226,28,21,0,0,0,22,6,4,1,2.354563,9.38E-01,,,,,,,
PI210226,29,21,0,0,0,22,6,4,1,2.4761062,9.87E-01,,,,,,,
PI210226,30,21,0,0,0,22,6,4,1,2.509146,1.00E+00,,,,,,,
PI210226,31,21,0,0,0,22,6,4,1,2.4769645,9.87E-01,,,,,,,
PI210226,32,21,0,0,0,22,6,4,1,2.3499804,9.37E-01,,,,,,,
PI210226,33,21,0,0,0,22,6,4,1,2.1365576,8.52E-01,,,,,,,
PI210226,34,21,0,0,0,22,6,4,1,1.9008286,7.58E-01,,,,,,,
PI210226,35,21,0,0,0,22,6,4,1,1.6769642,6.68E-01,,,,,,,
PI210226,36,21,0,0,0,22,6,4,1,1.4513253,5.78E-01,,,,,,,
PI210226,37,21,0,0,0,22,6,4,1,1.2407386,4.94E-01,,,,,,,
PI210226,38,21,0,0,0,22,6,4,1,1.0541911,4.20E-01,,,,,,,
PI210226,39,21,0,0,0,22,6,4,1,0.8768969,3.49E-01,,,,,,,
PI210226,40,21,0,0,0,22,6,4,1,0.7064304,2.82E-01,,,,,,,
PI210226,41,21,0,0,0,22,6,4,1,0.5741564,2.29E-01,,,,,,,
PI210226,42,21,0,0,0,22,6,4,1,0.47525817,1.89E-01,,,,,,,
PI210226,43,21,0,0,0,22,6,4,1,0.37374464,1.49E-01,,,,,,,
PI210226,44,21,0,0,0,22,6,4,1,0.28220317,1.12E-01,,,,,,,
PI210226,45,21,0,0,0,22,6,4,1,0.22487526,8.96E-02,,,,,,,
PI210226,46,21,0,0,0,22,6,4,1,0.19124223,7.62E-02,,,,,,,
PI210226,47,21,0,0,0,22,6,4,1,0.14479415,5.77E-02,,,,,,,
PI210226,48,21,0,0,0,22,6,4,1,0.09609495,3.83E-02,,,,,,,
PI210226,49,21,0,0,0,22,6,4,1,0.060901534,2.43E-02,,,,,,,
PI210226,50,21,0,0,0,22,6,4,1,0.032578964,1.30E-02,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
