PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PS_FTMSMS-_1.mzXML,PRI:240116_PS_FTMSMS-_2.mzXML,PRI:240116_PS_FTMSMS-_3.mzXML,PRI:240116_PS_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PS_FTMSMS-_1.mzXML,FA1I:240116_PS_FTMSMS-_2.mzXML,FA1I:240116_PS_FTMSMS-_3.mzXML,FA1I:240116_PS_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PS_FTMSMS-_1.mzXML,FA2I:240116_PS_FTMSMS-_2.mzXML,FA2I:240116_PS_FTMSMS-_3.mzXML,FA2I:240116_PS_FTMSMS-_4.mzXML,FACO1M,FACO1I:240116_PS_FTMSMS-_1.mzXML,FACO1I:240116_PS_FTMSMS-_2.mzXML,FACO1I:240116_PS_FTMSMS-_3.mzXML,FACO1I:240116_PS_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PS_FTMSMS-_1.mzXML,FACO2I:240116_PS_FTMSMS-_2.mzXML,FACO2I:240116_PS_FTMSMS-_3.mzXML,FACO2I:240116_PS_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PSFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
784.5145467,H75 C42 N1 O10 P1 ,PS,36,3,0,PS 36:3:0,1.45,142054.7,166465,212875.8,224649,279.2331238,18,2,0.6,47538.6,50315.3,65093.9,65697.9,281.2487793,18,1,0.62,54567.9,58143,75532.1,78356.2,None, None, None, None, None,None, None, None, None, None
786.5302022,H77 C42 N1 O10 P1 ,PS,36,2,0,PS 36:2:0,1.45,7374898.3,7935962.2,10154139.9,11259903.6,279.2331238,18,2,0.6,127014.2,104528.1,146494.6,160862.2,283.2644348,18,0,0.63,263459.3,292232.4,392764.8,374106,None, None, None, None, None,None, None, None, None, None
786.5302022,H77 C42 N1 O10 P1 ,PS,36,2,0,PS 36:2:0,1.45,7374898.3,7935962.2,10154139.9,11259903.6,281.2487717,18,1,0.59,4718653.8,4739077.3,6131592,6379702.5,281.2487717,18,1,0.59,4718653.8,4739077.3,6131592,6379702.5,None, None, None, None, None,None, None, None, None, None
788.5454304,H79 C42 N1 O10 P1 ,PS,36,1,0,PS 36:1:0,0.91,55700444.5,59644989.1,76995938.7,84856977.9,281.2487946,18,1,0.67,11423674.8,12909866.8,15941441.7,17069541.7,283.2644501,18,0,0.69,25419740.9,28300869.3,35904355.6,36388344.7,None, None, None, None, None,None, None, None, None, None
796.5128072,H75 C43 N1 O10 P1 ,PS,37,4,0,PS 37:4:0,-0.76,34987.9,31711.8,43926.3,53590,267.2332077,17,1,0.94,1416.9,1491,2397.1,2065.6,305.2488251,20,3,0.72,0,340.1,0,346.3,None, None, None, None, None,None, None, None, None, None
796.5128072,H75 C43 N1 O10 P1 ,PS,37,4,0,PS 37:4:0,-0.76,34987.9,31711.8,43926.3,53590,269.2488709,17,0,0.99,15428.1,15144.4,21097.4,20665.3,303.2331162,20,4,0.53,2807.2,3452.9,4424.8,4745.5,None, None, None, None, None,None, None, None, None, None
798.5297902,H77 C43 N1 O10 P1 ,PS,37,3,0,PS 37:3:0,0.92,0,0,25927.4,30988.4,267.2331696,17,1,0.8,175.6,298.1,0,0,307.2645035,20,2,0.81,418.6,524.8,690.6,497.2,None, None, None, None, None,None, None, None, None, None
798.5297902,H77 C43 N1 O10 P1 ,PS,37,3,0,PS 37:3:0,0.92,0,0,25927.4,30988.4,269.2488632,17,0,0.96,3819.4,4050,4957.4,5839.4,305.2487488,20,3,0.47,1340.4,1669.4,2453.8,2169.5,None, None, None, None, None,None, None, None, None, None
798.5297902,H77 C43 N1 O10 P1 ,PS,37,3,0,PS 37:3:0,0.92,0,0,25927.4,30988.4,279.2331848,18,2,0.82,485.6,617.1,541.5,669.9,295.264389,19,1,0.45,372.9,452,495.3,507.5,None, None, None, None, None,None, None, None, None, None
798.5297902,H77 C43 N1 O10 P1 ,PS,37,3,0,PS 37:3:0,0.92,0,0,25927.4,30988.4,281.2487869,18,1,0.65,12325.7,11368.9,18322,19055.8,293.2489471,19,2,1.17,2999.7,3099.4,4166.1,4074.8,None, None, None, None, None,None, None, None, None, None
798.5297902,H77 C43 N1 O10 P1 ,PS,37,3,0,PS 37:3:0,0.92,0,0,25927.4,30988.4,283.2644424,18,0,0.66,11153.2,12551.9,15278.4,15313.9,291.2332535,19,3,1.02,1385.3,1297.5,1717.3,1653,None, None, None, None, None,None, None, None, None, None
800.5455983,H79 C43 N1 O10 P1 ,PS,37,2,0,PS 37:2:0,1.11,156370.1,152494.6,204884.5,240728.5,267.2332153,17,1,0.97,1201.1,1293.6,1812.9,1766.1,309.2801132,20,1,0.67,2174.7,1971.6,2410.6,2706.2,None, None, None, None, None,None, None, None, None, None
800.5455983,H79 C43 N1 O10 P1 ,PS,37,2,0,PS 37:2:0,1.11,156370.1,152494.6,204884.5,240728.5,269.2488937,17,0,1.07,3345.4,3704.6,4737.2,5057.1,307.2644653,20,2,0.68,1525.1,1527.2,1645,2422.6,None, None, None, None, None,None, None, None, None, None
800.5455983,H79 C43 N1 O10 P1 ,PS,37,2,0,PS 37:2:0,1.11,156370.1,152494.6,204884.5,240728.5,279.2331924,18,2,0.85,588,681.7,1109.3,688.7,297.2801285,19,0,0.75,811.8,776.6,793.7,975,None, None, None, None, None,None, None, None, None, None
