Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
					PC 18:0-20:2	[0.062230624..0.062230624]	[0.053725205..0.053725205]	[0.060817197..0.060817197]	[0.053725205..0.062230624]	
PC 38:3:0	1.0011004	0.9974612	1.0870485	[0.9974612..1.0870485]	Sum	[0.6391873..0.6391873]	[0.6307989..0.6307989]	[0.6811464..0.6811464]	[0.6307989..0.6811464]	
					PC 16:0-22:3	[0.0035305778..0.0035305778]	[0.008275222..0.008275222]	[0.007944827..0.007944827]	[0.0035305778..0.008275222]	
					PC 18:2-20:1	[0.078421846..0.078421846]	[0.04951402..0.04951402]	[0.06374167..0.06374167]	[0.04951402..0.078421846]	
					PC 18:1-20:2	[0.027906848..0.027906848]	[0.033090796..0.033090796]	[0.035835322..0.035835322]	[0.027906848..0.035835322]	
					PC 18:0-20:3 (0z-11z)	[0.5293281..0.5293281]	[0.5399189..0.5399189]	[0.57362455..0.57362455]	[0.5293281..0.57362455]	
PC 38:4:0	2.0126278	2.0529265	2.1471853	[2.0126278..2.1471853]	Sum	[0.8961689..0.8961689]	[0.87762314..0.87762314]	[0.9304161..0.9304161]	[0.87762314..0.9304161]	
					PC 16:0-22:4 (0z-10z)	[0.1865944..0.1865944]	[0.1741483..0.1741483]	[0.19933549..0.19933549]	[0.1741483..0.19933549]	
					PC 18:1-20:3 (0z-11z)	[0.1057275..0.1057275]	[0.08514179..0.08514179]	[0.09149594..0.09149594]	[0.08514179..0.1057275]	
					PC 18:0-20:4 (0z-8z)	[0.6038471..0.6038471]	[0.61833316..0.61833316]	[0.6395848..0.6395848]	[0.6038471..0.6395848]	
PC 38:5:0	0.95091957	0.94948	1.0178483	[0.94948..1.0178483]	Sum	[0.39571327..0.39571327]	[0.3838827..0.3838827]	[0.40202165..0.40202165]	[0.3838827..0.40202165]	
					PC 16:0-22:5 (0z-7z)	[0.19969258..0.19969258]	[0.20391995..0.20391995]	[0.21096766..0.21096766]	[0.19969258..0.21096766]	
					PC 18:2-20:3 (0z-11z)	[0.059243884..0.059243884]	[0.042642824..0.042642824]	[0.05549922..0.05549922]	[0.042642824..0.059243884]	
					PC 18:1-20:4 (0z-8z)	[0.13677686..0.13677686]	[0.13731994..0.13731994]	[0.13555476..0.13555476]	[0.13555476..0.13731994]	
PC 38:6:0	0.32311398	0.25871634	0.3209584	[0.25871634..0.32311398]	Sum	[0.20369145..0.20369145]	[0.17366566..0.17366566]	[0.19446112..0.19446112]	[0.17366566..0.20369145]	
					PC 18:2-20:4 (0z-8z)	[0.20369147..0.20369147]	[0.17366567..0.17366567]	[0.19446112..0.19446112]	[0.17366567..0.20369147]	
PC 40:5:0	0.0	0.0	0.16059442	[0.0..0.16059442]	Sum	[0.054831862..0.054831862]	[0.05879544..0.05879544]	[0.06262512..0.06262512]	[0.054831862..0.06262512]	
					PC 18:0-22:5 (0z-7z)	[0.054831866..0.054831866]	[0.05879545..0.05879545]	[0.06262512..0.06262512]	[0.054831866..0.06262512]	
