Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
					PE 18:0-18:2	[11.781701..11.781701]	[11.240112..11.240112]	[11.27305..11.27305]	[11.240112..11.781701]	
					PE 18:1/18:1	[4.03159..4.03159]	[3.8481216..3.8481216]	[3.8617477..3.8617477]	[3.8481216..4.03159]	
PE 36:3:0	1.3885019	1.4838209	1.4904786	[1.3885019..1.4904786]	Sum	[2.611838..2.611838]	[2.7988567..2.7988567]	[2.6894865..2.6894865]	[2.611838..2.7988567]	
					PE 16:0-20:3 (0z-11z)	[0.28935865..0.28935865]	[0.30736792..0.30736792]	[0.2794862..0.2794862]	[0.2794862..0.30736792]	
					PE 18:0-18:3 (0z-9z)	[0.14875917..0.14875917]	[0.15900826..0.15900826]	[0.16417845..0.16417845]	[0.14875917..0.16417845]	
					PE 18:1-18:2	[2.1737213..2.1737213]	[2.3324802..2.3324802]	[2.2458217..2.2458217]	[2.1737213..2.3324802]	
PE 36:4:0	4.228066	4.548285	4.402814	[4.228066..4.548285]	Sum	[2.117747..2.117747]	[2.177627..2.177627]	[2.1173942..2.1173942]	[2.1173942..2.177627]	
					PE 16:0-20:4 (0z-8z)	[1.9282565..1.9282565]	[1.9794881..1.9794881]	[1.9316822..1.9316822]	[1.9282565..1.9794881]	
					PE 18:1-18:3 (0z-9z)	[0.035766296..0.035766296]	[0.03623336..0.03623336]	[0.038258903..0.038258903]	[0.035766296..0.038258903]	
					PE 18:2/18:2	[0.1537251..0.1537251]	[0.16190559..0.16190559]	[0.14745308..0.14745308]	[0.14745308..0.16190559]	
PE 36:5:0	0.050101377	0.063654445	0.061938137	[0.050101377..0.063654445]	Sum	[0.07765897..0.07765897]	[0.10447759..0.10447759]	[0.10655143..0.10655143]	[0.07765897..0.10655143]	
					PE 14:0-22:5 (0z-7z)	[0.0019082236..0.0019082236]	[0.0019973707..0.0019973707]	[0.0012570998..0.0012570998]	[0.0012570998..0.0019973707]	
					PE 16:1-20:4 (0z-8z)	[0.010384809..0.010384809]	[0.011267082..0.011267082]	[0.011850604..0.011850604]	[0.010384809..0.011850604]	
					PE 16:0-20:5	[0.04621694..0.04621694]	[0.07194455..0.07194455]	[0.072545685..0.072545685]	[0.04621694..0.072545685]	
					PE 18:2-18:3 (0z-9z)	[0.019149035..0.019149035]	[0.019268576..0.019268576]	[0.020898037..0.020898037]	[0.019149035..0.020898037]	
PE 37:1:0	0.12615517	0.12594411	0.13275523	[0.12594411..0.13275523]	Sum	[0.78308916..0.78308916]	[0.8290316..0.8290316]	[0.80634123..0.80634123]	[0.78308916..0.8290316]	
					PE 17:0-20:1	[0.022129998..0.022129998]	[0.020227961..0.020227961]	[0.020550981..0.020550981]	[0.020227961..0.022129998]	
					PE 18:1-19:0	[0.2933281..0.2933281]	[0.34364286..0.34364286]	[0.328568..0.328568]	[0.2933281..0.34364286]	
					PE 18:0-19:1	[0.4676314..0.4676314]	[0.4651607..0.4651607]	[0.4572222..0.4572222]	[0.4572222..0.4676314]	
PE 38:1:0	0.078690596	0.07839985	0.091851056	[0.07839985..0.091851056]	Sum	[0.59723556..0.59723556]	[0.70286787..0.70286787]	[0.6700384..0.6700384]	[0.59723556..0.70286787]	
					PE 18:1-20:0	[0.2769203..0.2769203]	[0.36781344..0.36781344]	[0.3384822..0.3384822]	[0.2769203..0.36781344]	
					PE 18:0-20:1	[0.32031548..0.32031548]	[0.33505437..0.33505437]	[0.3315561..0.3315561]	[0.32031548..0.33505437]	
PE 38:4:0	15.461516	15.3195915	15.332741	[15.3195915..15.461516]	Sum	[7.832775..7.832775]	[7.5381866..7.5381866]	[7.121152..7.121152]	[7.121152..7.832775]	
					PE 16:0-22:4 (0z-10z)	[0.13099235..0.13099235]	[0.1904131..0.1904131]	[0.14862819..0.14862819]	[0.13099235..0.1904131]	
					PE 18:1-20:3 (0z-11z)	[0.059155498..0.059155498]	[0.046588633..0.046588633]	[0.04255772..0.04255772]	[0.04255772..0.059155498]	
					PE 18:0-20:4 (0z-8z)	[7.6426306..7.6426306]	[7.3011837..7.3011837]	[6.9299655..6.9299655]	[6.9299655..7.6426306]	
PE 38:5:0	2.8310137	2.8574173	2.9063704	[2.8310137..2.9063704]	Sum	[1.3548185..1.3548185]	[1.4242495..1.4242495]	[1.4236443..1.4236443]	[1.3548185..1.4242495]	
					PE 16:0-22:5 (0z-7z)	[0.9965759..0.9965759]	[1.0210598..1.0210598]	[1.0244274..1.0244274]	[0.9965759..1.0244274]	
					PE 18:1-20:4 (0z-8z)	[0.35824323..0.35824323]	[0.40318972..0.40318972]	[0.39921674..0.39921674]	[0.35824323..0.40318972]	
PE 38:6:0	1.5422839	1.528973	1.5524098	[1.528973..1.5524098]	Sum	[0.799117..0.799117]	[1.0118676..1.0118676]	[0.9569269..0.9569269]	[0.799117..1.0118676]	
					PE 16:0-22:6	[0.77985513..0.77985513]	[0.9810158..0.9810158]	[0.92882526..0.92882526]	[0.77985513..0.9810158]	
					PE 18:2-20:4 (0z-8z)	[0.019262314..0.019262314]	[0.030851707..0.030851707]	[0.028101645..0.028101645]	[0.019262314..0.030851707]	
PE 40:4:0	-2.593168E-6	-2.9882817E-6	-3.0993683E-6	[-3.0993683E-6..-2.593168E-6]	Sum	[0.5569211..0.5569211]	[0.6352304..0.6352304]	[0.6296692..0.6296692]	[0.5569211..0.6352304]	
					PE 16:0-24:4	[0.16457649..0.16457649]	[0.2458059..0.2458059]	[0.22519715..0.22519715]	[0.16457649..0.2458059]	
					PE 18:0-22:4 (0z-10z)	[0.37797746..0.37797746]	[0.3824169..0.3824169]	[0.3930534..0.3930534]	[0.37797746..0.3930534]	
					PE 20:0-20:4 (0z-8z)	[0.014367394..0.014367394]	[0.007007583..0.007007583]	[0.011418561..0.011418561]	[0.007007583..0.014367394]	
PE 40:5:0	1.2849318	1.2217354	1.230877	[1.2217354..1.2849318]	Sum	[0.7284435..0.7284435]	[0.82926464..0.82926464]	[0.8429847..0.8429847]	[0.7284435..0.8429847]	
					PE 18:1-22:4 (0z-10z)	[0.04417864..0.04417864]	[0.057761166..0.057761166]	[0.05448383..0.05448383]	[0.04417864..0.057761166]	
					PE 18:0-22:5 (0z-7z)	[0.6674607..0.6674607]	[0.75532764..0.75532764]	[0.76777..0.76777]	[0.6674607..0.76777]	
					PE 20:1-20:4 (0z-8z)	[0.016804488..0.016804488]	[0.016175715..0.016175715]	[0.020730779..0.020730779]	[0.016175715..0.020730779]	
PE 40:6:0	0.8548429	0.7765403	0.8277459	[0.7765403..0.8548429]	Sum	[0.8268184..0.8268184]	[0.93197405..0.93197405]	[0.9292427..0.9292427]	[0.8268184..0.93197405]	
					PE 18:1-22:5 (0z-7z)	[0.08688135..0.08688135]	[0.09390399..0.09390399]	[0.105668396..0.105668396]	[0.08688135..0.105668396]	
					PE 18:0-22:6	[0.72601897..0.72601897]	[0.8380699..0.8380699]	[0.80811435..0.80811435]	[0.72601897..0.8380699]	
					PE 20:2-20:4 (0z-8z)	[0.013918473..0.013918473]	[0.0..0.0]	[0.015459818..0.015459818]	[0.0..0.015459818]	
PE 40:7:0	0.051008835	0.0	0.0	[0.0..0.051008835]	Sum	[0.1335639..0.1335639]	[0.16629289..0.16629289]	[0.16744842..0.16744842]	[0.1335639..0.16744842]	
					PE 18:1-22:6	[0.13356395..0.13356395]	[0.16629286..0.16629286]	[0.16744842..0.16744842]	[0.13356395..0.16744842]	
