Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
PE 37:1:0	0.18631399	0.18542351	0.1963577	[0.18542351..0.1963577]	Sum	[1.0341927..1.0341927]	[1.0574054..1.0574054]	[1.0356052..1.0356052]	[1.0341927..1.0574054]	
					PE 17:0-20:1	[0.029226137..0.029226137]	[0.025800167..0.025800167]	[0.026394164..0.026394164]	[0.025800167..0.029226137]	
					PE 18:1-19:0	[0.38738585..0.38738585]	[0.43830636..0.43830636]	[0.42198852..0.42198852]	[0.38738585..0.43830636]	
					PE 18:0-19:1	[0.6175808..0.6175808]	[0.5932988..0.5932988]	[0.58722246..0.58722246]	[0.58722246..0.6175808]	
PE 38:1:0	0.11621528	0.115425594	0.13585648	[0.115425594..0.13585648]	Sum	[0.7887437..0.7887437]	[0.8964871..0.8964871]	[0.8605478..0.8605478]	[0.7887437..0.8964871]	
					PE 18:1-20:0	[0.36571676..0.36571676]	[0.46913522..0.46913522]	[0.43472156..0.43472156]	[0.36571676..0.46913522]	
					PE 18:0-20:1	[0.42302692..0.42302692]	[0.42735195..0.42735195]	[0.4258262..0.4258262]	[0.42302692..0.42735195]	
PE 38:4:0	22.83455	22.554546	22.678589	[22.554546..22.83455]	Sum	[10.344414..10.344414]	[9.614734..9.614734]	[9.145882..9.145882]	[9.145882..10.344414]	
					PE 16:0-22:4 (0z-10z)	[0.17299598..0.17299598]	[0.2428663..0.2428663]	[0.19088708..0.19088708]	[0.17299598..0.2428663]	
					PE 18:1-20:3 (0z-11z)	[0.07812412..0.07812412]	[0.059422426..0.059422426]	[0.054657992..0.054657992]	[0.054657992..0.07812412]	
					PE 18:0-20:4 (0z-8z)	[10.093294..10.093294]	[9.312445..9.312445]	[8.900336..8.900336]	[8.900336..10.093294]	
PE 38:5:0	4.181021	4.206884	4.2987995	[4.181021..4.2987995]	Sum	[1.7892514..1.7892514]	[1.8165882..1.8165882]	[1.8284235..1.8284235]	[1.7892514..1.8284235]	
					PE 16:0-22:5 (0z-7z)	[1.316135..1.316135]	[1.3023314..1.3023314]	[1.315699..1.315699]	[1.3023314..1.316135]	
					PE 18:1-20:4 (0z-8z)	[0.47311643..0.47311643]	[0.5142566..0.5142566]	[0.5127245..0.5127245]	[0.47311643..0.5142566]	
PE 38:6:0	2.2777429	2.251058	2.2961624	[2.251058..2.2961624]	Sum	[1.0553601..1.0553601]	[1.2906071..1.2906071]	[1.2290062..1.2290062]	[1.0553601..1.2906071]	
					PE 16:0-22:6	[1.0299212..1.0299212]	[1.2512567..1.2512567]	[1.1929146..1.1929146]	[1.0299212..1.2512567]	
					PE 18:2-20:4 (0z-8z)	[0.02543891..0.02543891]	[0.039350446..0.039350446]	[0.036091678..0.036091678]	[0.02543891..0.039350446]	
PE 40:4:0	-3.8297553E-6	-4.3995515E-6	-4.584262E-6	[-4.584262E-6..-3.8297553E-6]	Sum	[0.7355021..0.7355021]	[0.8102176..0.8102176]	[0.80870056..0.80870056]	[0.7355021..0.8102176]	
					PE 16:0-24:4	[0.21734911..0.21734911]	[0.31351817..0.31351817]	[0.2892266..0.2892266]	[0.21734911..0.31351817]	
					PE 18:0-22:4 (0z-10z)	[0.4991786..0.4991786]	[0.4877615..0.4877615]	[0.50480884..0.50480884]	[0.4877615..0.50480884]	
					PE 20:0-20:4 (0z-8z)	[0.018974401..0.018974401]	[0.008937965..0.008937965]	[0.0146651575..0.0146651575]	[0.008937965..0.018974401]	
PE 40:5:0	1.897669	1.798722	1.8205848	[1.798722..1.897669]	Sum	[0.96202445..0.96202445]	[1.0577024..1.0577024]	[1.0826672..1.0826672]	[0.96202445..1.0826672]	
					PE 18:1-22:4 (0z-10z)	[0.058344834..0.058344834]	[0.07367267..0.07367267]	[0.06997501..0.06997501]	[0.058344834..0.07367267]	
					PE 18:0-22:5 (0z-7z)	[0.88148665..0.88148665]	[0.9633981..0.9633981]	[0.9860671..0.9860671]	[0.88148665..0.9860671]	
					PE 20:1-20:4 (0z-8z)	[0.022192966..0.022192966]	[0.020631647..0.020631647]	[0.026625082..0.026625082]	[0.020631647..0.026625082]	
PE 40:6:0	1.2624865	1.1432754	1.2243153	[1.1432754..1.2624865]	Sum	[1.091944..1.091944]	[1.1887052..1.1887052]	[1.1934506..1.1934506]	[1.091944..1.1934506]	
					PE 18:1-22:5 (0z-7z)	[0.11474047..0.11474047]	[0.11977177..0.11977177]	[0.13571268..0.13571268]	[0.11474047..0.13571268]	
					PE 18:0-22:6	[0.958822..0.958822]	[1.0689335..1.0689335]	[1.0378826..1.0378826]	[0.958822..1.0689335]	
					PE 20:2-20:4 (0z-8z)	[0.01838153..0.01838153]	[0.0..0.0]	[0.019855449..0.019855449]	[0.0..0.019855449]	
PE 40:7:0	0.07533309	0.0	0.0	[0.0..0.07533309]	Sum	[0.17639218..0.17639218]	[0.21210164..0.21210164]	[0.21505839..0.21505839]	[0.17639218..0.21505839]	
					PE 18:1-22:6	[0.17639218..0.17639218]	[0.21210164..0.21210164]	[0.21505839..0.21505839]	[0.17639218..0.21505839]	
