Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
					PE 20:3 (5z-11z)/17:0	[0.0..0.1608044]	[0.0..0.5236837]	[0.0..0.2736076]	[0.0..0.5236837]
					PE 17:0/20:3 (5z-11z)	[19.384657..20.343254]	[18.559507..24.937319]	[19.583187..21.046738]	[18.559507..24.937319]
PE 39:4:0	10.285601	10.140168	10.149052	[10.140168..10.285601]	Sum	[6.7884693..11.329223]	[6.136306..11.173032]	[8.538422..10.257215]	[6.136306..11.329223]
					PE 22:4 (7z-10z)/17:0	[0.0..1.6591845]	[0.0..1.7417629]	[0.0..0.18219194]	[0.0..1.7417629]
					PE 17:0/22:4 (7z-10z)	[6.685748..9.8761]	[6.0296082..9.67646]	[8.504006..10.121775]	[6.0296082..10.121775]
PG 31:1:0	12.966932	12.941395	13.144821	[12.941395..13.144821]	Sum	[12.247786..13.946091]	[12.350699..13.939214]	[12.277033..14.573757]	[12.247786..14.573757]
					PG 17:0/14:1	[12.135611..12.951727]	[11.925189..13.32572]	[12.311897..13.48594]	[11.925189..13.48594]
					PG 14:1/17:0	[0.41978526..0.6036638]	[0.11478791..0.87403816]	[0.2989586..0.69020706]	[0.11478791..0.87403816]
PG 33:1:0	22.753149	22.706896	22.91197	[22.706896..22.91197]	Sum	[20.714493..23.848253]	[21.99249..24.648476]	[21.750843..24.239943]	[20.714493..24.648476]
					PG 17:0/16:1	[21.318474..22.875313]	[21.27898..23.87419]	[21.4717..23.140179]	[21.27898..23.87419]
					PG 16:1/17:0	[0.0..0.80063593]	[0.0..0.883345]	[0.15656449..0.93213207]	[0.0..0.93213207]
PG 35:1:0	32.076874	31.982601	31.98871	[31.982601..32.076874]	Sum	[30.650211..34.825974]	[30.17895..34.47713]	[30.001514..34.41882]	[30.001514..34.825974]
					PG 18:1/17:0	[1.0213343..1.3596379]	[0.47833225..1.7423706]	[0.6915581..1.7080841]	[0.47833225..1.7423706]
					PG 17:0/18:1	[30.56603..32.508476]	[30.198711..32.381794]	[29.768436..31.80338]	[29.768436..32.508476]
PG 37:3:0	21.831347	21.927784	21.668692	[21.668692..21.927784]	Sum	[19.775976..26.433668]	[20.101631..23.509384]	[18.76017..25.181591]	[18.76017..26.433668]
					PG 20:3 (5z-11z)/17:0	[0.0..1.9917961]	[0.0..1.5174865]	[0.0..1.9384593]	[0.0..1.9917961]
					PG 17:0/20:3 (5z-11z)	[19.267569..25.212606]	[19.585947..22.64905]	[18.31151..23.931597]	[18.31151..25.212606]
PG 39:4:0	10.3716955	10.441323	10.285805	[10.285805..10.441323]	Sum	[8.299248..10.656011]	[8.142221..11.194655]	[8.867656..11.053135]	[8.142221..11.194655]
					PG 22:4 (7z-10z)/17:0	[0.07212139..1.1021329]	[0.0..1.2786198]	[0.03788..0.9411321]	[0.0..1.2786198]
					PG 17:0/22:4 (7z-10z)	[8.014489..9.849692]	[7.9359293..10.228958]	[8.6177..10.4151945]	[7.9359293..10.4151945]
PI 31:1:0	12.920645	12.88698	13.052789	[12.88698..13.052789]	Sum	[13.26845..13.704608]	[13.150373..14.042894]	[12.491891..13.996252]	[12.491891..14.042894]
					PI 14:1_17:0	[13.26845..13.704608]	[13.150373..14.042894]	[12.491891..13.996252]	[12.491891..14.042894]
PI 33:1:0	24.994253	25.063593	25.067154	[24.994253..25.067154]	Sum	[23.617506..26.134628]	[23.988213..25.767569]	[24.27434..27.028492]	[23.617506..27.028492]
					PI 16:1_17:0	[23.617506..26.134628]	[23.988213..25.767569]	[24.27434..27.028492]	[23.617506..27.028492]
PI 35:1:0	30.388054	30.262459	30.42669	[30.262459..30.42669]	Sum	[29.048738..31.114569]	[29.765331..31.747484]	[28.45377..31.205801]	[28.45377..31.747484]
