Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PI 39:4:0	14.184314	14.287664	14.090872	[14.090872..14.287664]	Sum	[8.833791..10.766121]	[8.782391..9.610678]	[8.76415..10.530977]	[8.76415..10.766121]
					PI 17:0_22:4 (7z-10z)	[8.833791..10.766121]	[8.782391..9.610678]	[8.76415..10.530977]	[8.76415..10.766121]
PS 31:1:0	18.06512	17.900717	18.210884	[17.900717..18.210884]	Sum	[12.465987..12.774857]	[12.048207..12.638619]	[11.927842..13.707198]	[11.927842..13.707198]
					PS 17:0/14:1	[12.465987..12.775893]	[12.048207..12.638619]	[11.927842..13.707198]	[11.927842..13.707198]
					PS 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 33:1:0	33.628307	34.036514	34.255447	[33.628307..34.255447]	Sum	[22.994637..24.990685]	[21.500708..24.2158]	[22.569445..24.176426]	[21.500708..24.990685]
					PS 17:0/16:1	[22.994637..24.992712]	[21.500708..24.2158]	[22.569445..24.176426]	[21.500708..24.992712]
					PS 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 37:3:0	34.551994	34.26691	33.78211	[33.78211..34.551994]	Sum	[21.102165..22.890278]	[21.624384..24.38453]	[22.11367..23.342573]	[21.102165..24.38453]
					PS 17:0/20:3 (5z-11z)	[21.103876..22.890278]	[21.624384..24.38453]	[22.11367..23.342573]	[21.103876..24.38453]
					PS 20:3 (5z-11z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 39:4:0	13.754575	13.7958555	13.751562	[13.751562..13.7958555]	Sum	[8.987938..9.961722]	[9.374126..10.357494]	[9.508249..10.564986]	[8.987938..10.564986]
					PS 17:0/22:4 (7z-10z)	[8.988667..9.961722]	[9.374126..10.357494]	[9.508249..10.564986]	[8.988667..10.564986]
					PS 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
