Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PG 37:3:0	64.588425	65.064964	64.2839	[64.2839..65.064964]	Sum	[54.27454..81.84463]	[55.33073..72.64599]	[52.638756..79.65375]	[52.638756..81.84463]
					PG 20:3 (5z-11z)/17:0	[0.0..5.9923315]	[0.0..4.5616508]	[0.0..5.9685044]	[0.0..5.9923315]
					PG 17:0/20:3 (5z-11z)	[54.27454..75.852295]	[55.33073..68.08434]	[52.638756..73.68524]	[52.638756..75.852295]
PG 39:4:0	30.684845	30.981895	30.514606	[30.514606..30.981895]	Sum	[22.615267..32.10545]	[23.559652..34.322384]	[24.484978..34.896057]	[22.615267..34.896057]
					PG 22:4 (7z-10z)/17:0	[0.20169692..3.23092]	[0.0..3.8135984]	[0.107155256..2.8919384]	[0.0..3.8135984]
					PG 17:0/22:4 (7z-10z)	[22.413568..28.874529]	[23.559652..30.508787]	[24.377823..32.004116]	[22.413568..32.004116]
PI 31:1:0	36.52367	36.579697	36.85036	[36.52367..36.85036]	Sum	[37.523163..39.9168]	[36.355343..39.611824]	[34.558117..41.191597]	[34.558117..41.191597]
					PI 14:1_17:0	[37.523163..39.9168]	[36.355343..39.611824]	[34.558117..41.191597]	[34.558117..41.191597]
PI 33:1:0	70.65297	71.14301	70.76907	[70.65297..71.14301]	Sum	[69.09693..72.15156]	[66.50257..69.719986]	[67.0465..79.54605]	[66.50257..79.54605]
					PI 16:1_17:0	[69.09693..72.15156]	[66.50257..69.719986]	[67.0465..79.54605]	[66.50257..79.54605]
PI 35:1:0	85.9	85.9	85.9	[85.9..85.9]	Sum	[85.9..85.9]	[85.899994..85.9]	[85.9..85.9]	[85.899994..85.9]
					PI 17:0_18:1	[85.9..85.9]	[85.899994..85.9]	[85.9..85.9]	[85.899994..85.9]
PI 37:3:0	61.688755	61.944878	61.121494	[61.121494..61.944878]	Sum	[55.80169..68.217354]	[53.193676..66.25215]	[57.014877..68.5732]	[53.193676..68.5732]
					PI 17:0_20:3 (5z-11z)	[55.80169..68.217354]	[53.193676..66.25215]	[57.014877..68.5732]	[53.193676..68.5732]
PI 39:4:0	27.911448	28.282436	27.676998	[27.676998..28.282436]	Sum	[24.388016..31.83649]	[23.762747..27.342436]	[25.793283..30.55561]	[23.762747..31.83649]
					PI 17:0_22:4 (7z-10z)	[24.388016..31.83649]	[23.762747..27.342436]	[25.793283..30.55561]	[23.762747..31.83649]
PS 31:1:0	36.746834	36.363956	37.224617	[36.363956..37.224617]	Sum	[36.082184..37.861263]	[34.802258..39.148838]	[35.445915..42.790424]	[34.802258..42.790424]
					PS 17:0/14:1	[36.082184..37.861263]	[34.802258..39.148838]	[35.445915..42.790424]	[34.802258..42.790424]
					PS 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 33:1:0	68.4044	69.14261	70.02109	[68.4044..70.02109]	Sum	[67.527626..72.61399]	[60.983578..70.37758]	[64.0252..74.59536]	[60.983578..74.59536]
					PS 17:0/16:1	[67.527626..72.61399]	[60.983578..70.37758]	[64.0252..74.59536]	[60.983578..74.59536]
					PS 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 35:1:0	93.4	93.4	93.4	[93.4..93.4]	Sum	[93.4..93.4]	[93.4..93.40001]	[93.4..93.4]	[93.4..93.40001]
					PS 18:1/17:0	[0.0..4.2964005]	[0.0..0.0]	[0.0..0.0]	[0.0..4.2964005]
					PS 17:0/18:1	[89.0811..93.4]	[93.4..93.40001]	[93.4..93.4]	[89.0811..93.40001]
PS 37:3:0	70.28331	69.610634	69.05354	[69.05354..70.28331]	Sum	[61.315342..67.981895]	[62.08245..75.20982]	[62.915096..73.29126]	[61.315342..75.20982]
					PS 17:0/20:3 (5z-11z)	[61.315342..67.981895]	[62.08245..75.20982]	[62.915096..73.29126]	[61.315342..75.20982]
					PS 20:3 (5z-11z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 39:4:0	27.978617	28.025238	28.109377	[27.978617..28.109377]	Sum	[26.11573..29.477589]	[26.912619..31.61938]	[26.876253..33.558113]	[26.11573..33.558113]
					PS 17:0/22:4 (7z-10z)	[26.11573..29.477589]	[26.912619..31.61938]	[26.876253..33.558113]	[26.11573..33.558113]
					PS 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
