Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PG 30:1:0	227.2	240116_PG_FTMSMS-_4.mzXML	35.0	7110.7	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[1.016..1.016]	[7224.472..7224.472]	[0.331..0.331]	[0.05..0.11]	[1.016..1.016]	[7224.4717..7224.4717]	[0.331..0.331]	[0.049..0.109]	0.9730279	[7029.6123..7029.6123]
Group-1	PG 30:1:0	253.22	240116_PG_FTMSMS-_4.mzXML	25.0	10630.5	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[1.015..1.015]	[10789.957..10789.957]	[0.697..0.697]	[0.89..0.95]	[1.015..1.015]	[10789.957..10789.957]	[0.697..0.697]	[0.891..0.951]	0.9730279	[10498.929..10498.929]
Group-1	PG 30:1:0	253.22	240116_PG_FTMSMS-_4.mzXML	30.0	14698.3	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[1.013..1.013]	[14889.378..14889.378]	[0.687..0.687]	[0.89..0.95]	[1.013..1.013]	[14889.378..14889.378]	[0.687..0.687]	[0.891..0.951]	0.9730279	[14487.779..14487.779]
Group-1	PG 30:1:0	253.22	240116_PG_FTMSMS-_4.mzXML	35.0	14313.0	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[1.02..1.02]	[14599.26..14599.26]	[0.669..0.669]	[0.89..0.95]	[1.02..1.02]	[14599.26..14599.26]	[0.669..0.669]	[0.891..0.951]	0.9730279	[14205.487..14205.487]
Group-1	PG 30:1:0	255.23	240116_PG_FTMSMS-_4.mzXML	25.0	5525.1	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[5525.1..5525.1]	[0.422..0.424]	[0.32..0.46]	[1.0..1.0]	[5525.1..5525.1]	[0.422..0.423]	[0.321..0.456]	0.9730279	[5376.0767..5376.0767]
Group-1	PG 30:1:0	255.23	240116_PG_FTMSMS-_4.mzXML	30.0	8711.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[8711.8..8711.8]	[0.459..0.462]	[0.32..0.46]	[1.0..1.0]	[8711.8..8711.8]	[0.46..0.461]	[0.321..0.456]	0.9730279	[8476.824..8476.824]
Group-1	PG 30:1:0	255.23	240116_PG_FTMSMS-_4.mzXML	35.0	9506.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[9506.7..9506.7]	[0.474..0.481]	[0.32..0.46]	[1.0..1.0]	[9506.7..9506.7]	[0.476..0.477]	[0.321..0.456]	0.9730279	[9250.284..9250.284]
Group-1	PG 30:1:0	281.25	240116_PG_FTMSMS-_4.mzXML	25.0	3027.8	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.958..0.958]	[2900.633..2900.633]	[0.833..0.833]	[1.0..1.0]	[0.958..0.958]	[2900.6326..2900.6326]	[0.833..0.833]	[1.0..1.0]	0.9730279	[2822.3962..2822.3962]
Group-1	PG 30:1:0	281.25	240116_PG_FTMSMS-_4.mzXML	30.0	3658.3	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.909..0.909]	[3325.395..3325.395]	[0.764..0.764]	[1.0..1.0]	[0.909..0.909]	[3325.3948..3325.3948]	[0.764..0.764]	[1.0..1.0]	0.9730279	[3235.7017..3235.7017]
Group-1	PG 30:1:0	281.25	240116_PG_FTMSMS-_4.mzXML	35.0	4109.2	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.912..0.936]	[3747.591..3846.212]	[0.794..0.801]	[1.0..1.0]	[0.936..0.936]	[3846.2114..3846.2114]	[0.805..0.805]	[1.0..1.0]	0.9730279	[3646.5103..3742.471]
Group-1	PG 31:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	25.0	694.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.991..1.005]	[688.25..697.973]	[0.549..0.551]	[0.61..0.78]	[1.0..1.002]	[694.5..695.889]	[0.551..0.551]	[0.612..0.78]	0.9540769	[656.64294..665.91943]
Group-1	PG 31:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	30.0	905.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.012..1.031]	[916.265..933.467]	[0.591..0.594]	[0.61..0.78]	[1.024..1.027]	[927.12964..929.84576]	[0.594..0.594]	[0.612..0.78]	0.9540769	[874.1871..890.59973]
Group-1	PG 31:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	35.0	1060.3	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.016..1.044]	[1077.265..1106.953]	[0.617..0.621]	[0.61..0.78]	[1.033..1.038]	[1095.2899..1100.5914]	[0.62..0.621]	[0.612..0.78]	0.9540769	[1027.7936..1056.1185]
Group-1	PG 31:0:0	241.22	240116_PG_FTMSMS-_4.mzXML	25.0	15456.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.995..1.002]	[15379.616..15487.813]	[0.141..0.142]	[0.0..0.0]	[0.995..0.995]	[15379.616..15379.616]	[0.141..0.141]	[0.0..0.0]	0.9540769	[14673.336..14776.565]
Group-1	PG 31:0:0	241.22	240116_PG_FTMSMS-_4.mzXML	30.0	22671.9	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.006..1.015]	[22807.934..23011.979]	[0.133..0.134]	[0.0..0.0]	[1.006..1.006]	[22807.934..22807.934]	[0.133..0.133]	[0.0..0.0]	0.9540769	[21760.521..21955.197]
Group-1	PG 31:0:0	241.22	240116_PG_FTMSMS-_4.mzXML	35.0	23393.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.009..1.021]	[23603.736..23884.457]	[0.135..0.136]	[0.0..0.0]	[1.009..1.009]	[23603.736..23603.736]	[0.135..0.135]	[0.0..0.0]	0.9540769	[22519.78..22787.607]
Group-1	PG 31:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	25.0	93515.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[93515.51..93515.51]	[0.858..0.859]	[1.0..1.0]	[1.0..1.0]	[93515.5..93515.5]	[0.859..0.859]	[1.0..1.0]	0.9540769	[89220.98..89220.98]
Group-1	PG 31:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	30.0	149166.1	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[149166.1..149166.1]	[0.866..0.867]	[1.0..1.0]	[1.0..1.0]	[149166.1..149166.1]	[0.867..0.867]	[1.0..1.0]	0.9540769	[142315.92..142315.92]
Group-1	PG 31:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	35.0	151583.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[151583.4..151583.4]	[0.864..0.865]	[1.0..1.0]	[1.0..1.0]	[151583.4..151583.4]	[0.865..0.865]	[1.0..1.0]	0.9540769	[144622.22..144622.22]
Group-1	PG 31:0:0	269.25	240116_PG_FTMSMS-_4.mzXML	25.0	566.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.999..1.004]	[565.934..568.766]	[0.449..0.451]	[0.22..0.39]	[1.0..1.001]	[566.5..567.0665]	[0.449..0.449]	[0.22..0.388]	0.9540769	[539.9441..542.6465]
Group-1	PG 31:0:0	269.25	240116_PG_FTMSMS-_4.mzXML	30.0	641.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.987..0.993]	[633.062..636.91]	[0.406..0.409]	[0.22..0.39]	[0.988..0.989]	[633.7032..634.34467]	[0.406..0.406]	[0.22..0.388]	0.9540769	[603.9897..607.6613]
Group-1	PG 31:0:0	269.25	240116_PG_FTMSMS-_4.mzXML	35.0	682.5	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.981..0.989]	[669.533..674.993]	[0.379..0.383]	[0.22..0.39]	[0.983..0.984]	[670.89746..671.58]	[0.379..0.38]	[0.22..0.388]	0.9540769	[638.78546..643.99475]
Group-1	PG 32:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	25.0	2883.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.991..1.005]	[2857.251..2897.616]	[1.0..1.0]	[0.44..1.0]	[0.997..1.005]	[2874.5503..2897.616]	[1.0..1.0]	[0.435..1.0]	0.9381556	[2680.5461..2718.4146]
Group-1	PG 32:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	30.0	8241.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.012..1.031]	[8340.095..8496.678]	[0.518..0.521]	[0.44..1.0]	[1.02..1.031]	[8406.024..8496.678]	[0.52..0.522]	[0.435..1.0]	0.9381556	[7824.3057..7971.2056]
Group-1	PG 32:0:0	227.2	240116_PG_FTMSMS-_4.mzXML	35.0	9667.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.016..1.044]	[9821.876..10092.558]	[0.472..0.475]	[0.44..1.0]	[1.028..1.044]	[9937.882..10092.558]	[0.475..0.477]	[0.435..1.0]	0.9381556	[9214.447..9468.389]
Group-1	PG 32:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	25.0	2004951.1	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[2004951.1..2004951.1]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[2004951.1..2004951.1]	[0.5..0.5]	[0.5..0.5]	0.9381556	[1880956.1..1880956.1]
Group-1	PG 32:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	30.0	2863364.8	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[2863364.8..2863364.8]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[2863364.8..2863364.8]	[0.5..0.5]	[0.5..0.5]	0.9381556	[2686281.8..2686281.8]
Group-1	PG 32:0:0	255.23	240116_PG_FTMSMS-_4.mzXML	35.0	2866790.0	0.0	0.0	[0.0..0.0]	[0.5..0.5]	[1.0..1.0]	[2866790.0..2866790.0]	[0.5..0.5]	[0.5..0.5]	[1.0..1.0]	[2866790.0..2866790.0]	[0.5..0.5]	[0.5..0.5]	0.9381556	[2689495.0..2689495.0]
