Species	PRI_240116_PG_FTMSMS-_1.mzXML	PRI_240116_PG_FTMSMS-_2.mzXML	PRI_240116_PG_FTMSMS-_3.mzXML	PRI_240116_PG_FTMSMS-_4.mzXML	PRI_Group-1	Mspecies	FAI.FC_240116_PG_FTMSMS-_1.mzXML	FAI.FC_240116_PG_FTMSMS-_2.mzXML	FAI.FC_240116_PG_FTMSMS-_3.mzXML	FAI.FC_240116_PG_FTMSMS-_4.mzXML	FAI.FC_Group-1
						PG 19:0/18:1	[0.028588044..0.031614922]	[0.025784766..0.031971864]	[0.028080037..0.032371774]	[0.027722336..0.03369251]	[0.025784766..0.03369251]	
						PG 18:1/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/18:0	[0.0060730986..0.008360707]	[0.0063788015..0.008864484]	[0.006613115..0.009791529]	[0.005272406..0.008739662]	[0.005272406..0.009791529]	
						PG 18:0/19:1	[0.0069299457..0.009244864]	[0.006336464..0.00881622]	[0.0064458866..0.009604539]	[0.0066539454..0.010361797]	[0.006336464..0.010361797]	
PG 37:2:0	0.04090094	0.05011458	0.044033375	0.047290076	[0.04090094..0.05011458]	Sum	[0.072440065..0.08475673]	[0.06702592..0.083336204]	[0.0701308..0.0844858]	[0.06934951..0.08299233]	[0.06702592..0.08475673]	
						PG 22:2/15:0	[0.0..7.893523E-5]	[0.0..7.002756E-5]	[1.1692603E-4..3.9175164E-4]	[0.0..0.0]	[0.0..3.9175164E-4]	
						PG 15:0/22:2	[0.0..1.5787045E-4]	[0.0..1.4005513E-4]	[0.0..2.3191696E-4]	[0.0..0.0]	[0.0..2.3191696E-4]	
						PG 17:0/20:2	[0.0010626076..0.0014124789]	[0.0010115798..0.001646209]	[0.0010189447..0.0013555848]	[0.0..0.0013812184]	[0.0..0.001646209]	
						PG 20:2/17:0	[0.0..0.0]	[0.0..3.1607214E-4]	[0.0..3.0907334E-4]	[0.0..6.906092E-4]	[0.0..6.906092E-4]	
						PG 19:0/18:2	[0.032846794..0.03645437]	[0.030282745..0.03369712]	[0.032056164..0.03532019]	[0.03136619..0.035383936]	[0.030282745..0.03645437]	
						PG 18:2/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/18:1	[0.034086555..0.04327428]	[0.030518727..0.043567523]	[0.031820856..0.041959744]	[0.03270598..0.041598376]	[0.030518727..0.043567523]	
						PG 18:1/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:2/18:0	[0.0018050392..0.0027957002]	[0.0018953957..0.0034648033]	[0.0026700702..0.0040606298]	[0.002547422..0.0034210617]	[0.0018050392..0.0040606298]	
						PG 18:0/19:2	[0.0016743577..0.0026440693]	[0.0012034923..0.0026629902]	[0.0012296375..0.0022107873]	[0.0014934794..0.0023057156]	[0.0012034923..0.0026629902]	
PG 37:4:0	0.027126068	0.035981357	0.03921263	0.031486355	[0.027126068..0.03921263]	Sum	[0.05378966..0.064818785]	[0.052769914..0.06546502]	[0.056057733..0.06758012]	[0.057074666..0.06878603]	[0.052769914..0.06878603]	
						PG 22:4 (7z-10z)/15:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 15:0/22:4 (7z-10z)	[0.010564084..0.012853097]	[0.011400991..0.012552231]	[0.011785603..0.013352225]	[0.011706287..0.013392139]	[0.010564084..0.013392139]	
						PG 21:4 (5z-8z)/16:0	[0.004371269..0.006581236]	[0.003695667..0.009066876]	[0.0040533454..0.0089637255]	[0.003649732..0.008256603]	[0.003649732..0.009066876]	
						PG 16:0/21:4 (5z-8z)	[0.0011725986..0.0032124564]	[8.67867E-5..0.0044875536]	[5.842011E-4..0.004272156]	[5.912566E-4..0.004492167]	[8.67867E-5..0.004492167]	
						PG 20:3 (5z-11z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/20:3 (5z-11z)	[0.0012144236..0.0017099599]	[0.0010927643..0.0017684554]	[0.00120575..0.0017700355]	[0.0012864314..0.0017378638]	[0.0010927643..0.0017700355]	
						PG 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/20:4 (5z-8z)	[0.029789103..0.034815654]	[0.029081406..0.03494493]	[0.03006422..0.0356007]	[0.03161804..0.034989156]	[0.029081406..0.0356007]	
						PG 19:2/18:2	[0.0014259254..0.0016349]	[0.0012106578..0.0016824403]	[0.0013853837..0.0016601083]	[0.0014295923..0.0019226039]	[0.0012106578..0.0019226039]	
						PG 18:2/19:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:3 (6z-9z)/18:1	[0.0037699859..0.0047656926]	[0.0033612459..0.0049835313]	[0.0035718658..0.005142453]	[0.0039240564..0.0056520314]	[0.0033612459..0.0056520314]	
						PG 18:1/19:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PG 38:1:0	0.011951686	0.010355128	0.009970457	0.013347421	[0.009970457..0.013347421]	Sum	[0.20043093..0.28123403]	[0.18744364..0.28487113]	[0.19872901..0.29848224]	[0.2048379..0.3071492]	[0.18744364..0.3071492]	
						PG 22:1/16:0	[0.11844097..0.19025011]	[0.110226534..0.19183625]	[0.11902787..0.20474093]	[0.12670913..0.21346857]	[0.110226534..0.21346857]	
						PG 16:0/22:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:0/18:1	[0.05739858..0.06695831]	[0.049974892..0.06666613]	[0.053528056..0.06693139]	[0.052032985..0.066637255]	[0.049974892..0.06695831]	
						PG 18:1/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:1/18:0	[8.429329E-4..0.003491316]	[0.0019704446..0.0037132658]	[0.0024559181..0.003991164]	[0.0..0.0026697284]	[0.0..0.003991164]	
						PG 18:0/20:1	[0.019455802..0.023028338]	[0.019545903..0.02474607]	[0.021622205..0.024685074]	[0.02269728..0.027522974]	[0.019455802..0.027522974]	
PG 38:2:0	0.11678843	0.12205229	0.11024419	0.109543465	[0.109543465..0.12205229]	Sum	[0.15580551..0.16977993]	[0.15859628..0.17784758]	[0.17743927..0.1863193]	[0.16940956..0.185442]	[0.15580551..0.1863193]	
						PG 22:2/16:0	[0.020723622..0.022284191]	[0.026773378..0.032286495]	[0.038616247..0.04844818]	[0.032798167..0.037239835]	[0.020723622..0.04844818]	
						PG 16:0/22:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:0/18:2	[0.030148871..0.035416394]	[0.028313546..0.03496477]	[0.02975025..0.03422576]	[0.030224562..0.034968663]	[0.028313546..0.035416394]	
						PG 18:2/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:1/18:1	[0.05604786..0.06475479]	[0.052605983..0.06452691]	[0.056125738..0.06441791]	[0.055895023..0.064819716]	[0.052605983..0.064819716]	
						PG 18:1/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 18:0/20:2	[0.0438705..0.04703879]	[0.042326085..0.048944704]	[0.041011155..0.047844306]	[0.04322284..0.049250223]	[0.041011155..0.049250223]	
						PG 20:2/18:0	[0.0014321165..0.003927981]	[1.3580562E-4..0.003190979]	[0.0..0.0043059876]	[0.0010115984..0.0030214859]	[0.0..0.0043059876]	
PG 38:3:0	0.45870262	0.43945304	0.43333685	0.4448292	[0.43333685..0.45870262]	Sum	[0.4125932..0.507616]	[0.40594777..0.5016679]	[0.4105063..0.5487011]	[0.430693..0.52029514]	[0.40594777..0.5487011]	
						PG 22:3 (13z)/16:0	[7.4118463E-4..0.0062453407]	[4.254618E-4..0.0040198625]	[0.0017407489..0.006480939]	[0.0016452331..0.004505618]	[4.254618E-4..0.006480939]	
						PG 16:0/22:3 (13z)	[0.007041254..0.013102697]	[0.008240524..0.014648136]	[0.008161544..0.013295011]	[0.00856489..0.013331692]	[0.007041254..0.014648136]	
						PG 20:1/18:2	[0.044323906..0.051969476]	[0.04204102..0.04964525]	[0.04367295..0.050436724]	[0.042383723..0.04983259]	[0.04204102..0.051969476]	
						PG 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:2/18:1	[0.046359822..0.053286314]	[0.04785229..0.052739877]	[0.044062357..0.057028018]	[0.04769708..0.056196354]	[0.044062357..0.057028018]	
						PG 18:1/20:2	[0.0..0.0049556275]	[0.0..0.0035335722]	[0.0023404947..0.008010225]	[0.0..0.004945279]	[0.0..0.008010225]	
						PG 20:3 (5z-11z)/18:0	[0.0..0.009960839]	[0.0..0.0072103045]	[0.0..0.025288278]	[0.0..0.0027980686]	[0.0..0.025288278]	
						PG 18:0/20:3 (5z-11z)	[0.29290354..0.38310912]	[0.28922027..0.37948972]	[0.29445615..0.40140125]	[0.30850434..0.39972407]	[0.28922027..0.40140125]	
PG 38:4:0	2.9776452	3.1121624	2.9674952	3.125811	[2.9674952..3.125811]	Sum	[2.6893854..3.345249]	[2.801634..3.253211]	[2.8310804..3.4047549]	[2.9183707..3.4360688]	[2.6893854..3.4360688]	
						PG 22:4 (7z-10z)/16:0	[0.0..0.0185224]	[0.0..0.011492408]	[0.0..0.018457009]	[0.0..0.025507642]	[0.0..0.025507642]	
						PG 16:0/22:4 (7z-10z)	[0.09384662..0.1569695]	[0.102640934..0.14547351]	[0.10574634..0.14533077]	[0.096038625..0.16456543]	[0.09384662..0.16456543]	
						PG 20:3 (5z-11z)/18:1	[0.0..0.009792003]	[0.0..0.004138116]	[0.0..0.011295962]	[0.0012015388..0.020337265]	[0.0..0.020337265]	
						PG 18:1/20:3 (5z-11z)	[0.035105687..0.056601174]	[0.043705136..0.06568437]	[0.040066835..0.063819]	[0.040688474..0.0779994]	[0.035105687..0.0779994]	
						PG 20:4 (5z-8z)/18:0	[0.0..0.006201362]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.006201362]	
						PG 18:0/20:4 (5z-8z)	[2.5583878..3.1019568]	[2.6508167..3.037709]	[2.6830096..3.1710043]	[2.770814..3.1638794]	[2.5583878..3.1710043]	
PG 38:5:0	1.5271107	1.5558681	1.5476761	1.4549646	[1.4549646..1.5558681]	Sum	[1.256721..1.6370026]	[1.3658063..1.5823796]	[1.3992263..1.6926007]	[1.4008476..1.644674]	[1.256721..1.6926007]	
						PG 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 16:0/22:5 (4z-7z)	[1.0737268..1.3723902]	[1.1580971..1.3281199]	[1.171981..1.4228197]	[1.1908535..1.3976624]	[1.0737268..1.4228197]	
						PG 20:4 (5z-8z)/18:1	[0.0..0.023103025]	[0.0..0.004908302]	[0.0..0.012684084]	[0.0..0.0073706605]	[0.0..0.023103025]	
						PG 18:1/20:4 (5z-8z)	[0.17419015..0.24318975]	[0.19699481..0.2583317]	[0.21458484..0.25885886]	[0.20890464..0.24568869]	[0.17419015..0.25885886]	
PG 38:6:0	0.78980696	0.77540016	0.7764268	0.77117246	[0.77117246..0.78980696]	Sum	[0.539815..0.74845153]	[0.5570988..0.7457142]	[0.57170385..0.78028774]	[0.55381554..0.75043166]	[0.539815..0.78028774]	
						PG 22:5 (4z-7z)/16:1	[0.009358982..0.02253963]	[0.008105555..0.017693793]	[0.0075820526..0.017691342]	[0.0034699528..0.016598048]	[0.0034699528..0.02253963]	
						PG 16:1/22:5 (4z-7z)	[0.0..0.009196169]	[0.0..0.005892033]	[0.0..0.008474153]	[0.0..0.011303271]	[0.0..0.011303271]	
						PG 22:6 (4z)/16:0	[0.0..0.008409565]	[0.0..0.019573282]	[0.0..0.0]	[0.0..0.037152685]	[0.0..0.037152685]	
						PG 16:0/22:6 (4z)	[0.51378995..0.700797]	[0.5277324..0.6990458]	[0.5505638..0.73687106]	[0.5134937..0.7009941]	[0.5134937..0.73687106]	
						PG 20:4 (5z-8z)/18:2	[0.0..0.0070095826]	[0.0..0.007839491]	[0.0..0.0053359065]	[0.0..0.0062070843]	[0.0..0.007839491]	
						PG 18:2/20:4 (5z-8z)	[0.0051847585..0.016729314]	[0.0056262338..0.015966376]	[0.00741952..0.016939385]	[0.007682833..0.017386792]	[0.0051847585..0.017386792]	
PG 39:4:0	0.0	0.0	0.0	0.017794318	[0.0..0.017794318]	Sum	[0.048981056..0.062186066]	[0.043960772..0.062794134]	[0.046657115..0.0640596]	[0.039521933..0.051009513]	[0.039521933..0.0640596]	
						PG 23:4 (7z-10z)/16:0	[0.026995659..0.039895944]	[0.023845814..0.0370699]	[0.026298812..0.04103356]	[0.017187975..0.026119215]	[0.017187975..0.04103356]	
						PG 16:0/23:4 (7z-10z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/22:4 (7z-10z)	[0.010355517..0.013945559]	[0.011176918..0.014836553]	[0.010281232..0.013279007]	[0.011394864..0.01447172]	[0.010281232..0.014836553]	
						PG 20:4 (5z-8z)/19:0	[0.0..2.3227386E-4]	[0.0..4.056326E-4]	[0.0..0.0027853204]	[0.0..5.6014454E-4]	[0.0..0.0027853204]	
						PG 19:0/20:4 (5z-8z)	[0.007687834..0.01106066]	[0.00808658..0.011589503]	[0.0049487343..0.011462224]	[0.007771249..0.010983227]	[0.0049487343..0.011589503]	
PG 39:5:0	0.016215352	0.0	0.0	0.0	[0.0..0.016215352]	Sum	[0.050017964..0.057607044]	[0.047304437..0.05845504]	[0.050404087..0.05934009]	[0.048880298..0.059547193]	[0.047304437..0.059547193]	
						PG 22:4 (7z-10z)/17:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:1/22:4 (7z-10z)	[0.0034495916..0.0048286687]	[0.003743678..0.0050070514]	[0.0037293208..0.004558158]	[0.0039486713..0.0049156165]	[0.0034495916..0.0050070514]	
						PG 22:5 (4z-7z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 17:0/22:5 (4z-7z)	[0.026560385..0.031747185]	[0.029487632..0.03200395]	[0.02864284..0.031265974]	[0.027696043..0.032641757]	[0.026560385..0.032641757]	
						PG 21:4 (5z-8z)/18:1	[0.011123565..0.018835278]	[0.0106335655..0.018877013]	[0.012098272..0.021047706]	[0.011222625..0.020413198]	[0.0106335655..0.021047706]	
						PG 18:1/21:4 (5z-8z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 20:4 (5z-8z)/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 19:1/20:4 (5z-8z)	[0.0023432241..0.0034643947]	[0.0022043749..0.003328913]	[0.0022823438..0.003638936]	[0.0025819265..0.003567602]	[0.0022043749..0.003638936]	
PG 40:5:0	0.46836767	0.4983225	0.48363054	0.48709404	[0.46836767..0.4983225]	Sum	[0.5102776..0.5791922]	[0.5295437..0.5630441]	[0.5242605..0.58764964]	[0.52125686..0.5880174]	[0.5102776..0.5880174]	
						PG 24:5 (6z-9z)/16:0	[0.05585163..0.07872132]	[0.049885664..0.08029121]	[0.051202975..0.07816918]	[0.048076276..0.065301]	[0.048076276..0.08029121]	
						PG 16:0/24:5 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0036160073]	[0.0..0.0]	[0.0..0.0036160073]	
						PG 18:0/22:5 (4z-7z)	[0.41735628..0.50326276]	[0.44000944..0.49713153]	[0.43336052..0.5165725]	[0.4442983..0.52227217]	[0.41735628..0.52227217]	
						PG 20:1/20:4 (5z-8z)	[0.013778733..0.020602433]	[0.009973012..0.016903277]	[0.013441629..0.018040905]	[0.01125217..0.019406997]	[0.009973012..0.020602433]	
						PG 20:4 (5z-8z)/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PG 40:6:0	0.25965118	0.25430334	0.26498294	0.24823314	[0.24823314..0.26498294]	Sum	[0.5218298..0.6248849]	[0.50614953..0.5710954]	[0.51450133..0.5971243]	[0.4943566..0.5806911]	[0.4943566..0.6248849]	
						PG 22:5 (4z-7z)/18:1	[0.30097726..0.45084035]	[0.28975308..0.40141702]	[0.28978837..0.41930592]	[0.2660485..0.40960047]	[0.2660485..0.45084035]	
						PG 18:1/22:5 (4z-7z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
						PG 22:6 (4z)/18:0	[0.0..0.003007156]	[0.0..0.02095814]	[0.0..0.008087003]	[0.0..0.014783404]	[0.0..0.02095814]	
						PG 18:0/22:6 (4z)	[0.16594301..0.21479686]	[0.14409788..0.20958139]	[0.17115845..0.21856765]	[0.15357076..0.2206478]	[0.14409788..0.2206478]	
						PG 20:2/20:4 (5z-8z)	[0.0038490805..0.0063665817]	[0.0042459806..0.007306047]	[0.0..0.00933716]	[0.0053870818..0.008548437]	[0.0..0.00933716]	
						PG 20:4 (5z-8z)/20:2	[0.0..3.1196247E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..1.7951717E-4]	[0.0..3.1196247E-4]	
PG 40:7:0	0.044787932	0.048339523	0.045783862	0.045632366	[0.044787932..0.048339523]	Sum	[0.034602717..0.042437594]	[0.03306134..0.038607482]	[0.032922193..0.038210183]	[0.03233878..0.038130667]	[0.03233878..0.042437594]	
						PG 18:1/22:6 (4z)	[0.0..0.009053485]	[0.0..0.01239578]	[0.0..0.009829896]	[0.0..0.008660303]	[0.0..0.01239578]	
						PG 22:6 (4z)/18:1	[0.026857218..0.04191428]	[0.022497263..0.03825858]	[0.02452798..0.03780729]	[0.024662726..0.037653495]	[0.022497263..0.04191428]	
