Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
PC 38:3:0	2.367961	2.4602232	2.726986	[2.367961..2.726986]	Sum	[2.640946..2.640946]	[2.7654634..2.7654634]	[2.9532125..2.9532125]	[2.640946..2.9532125]	
					PC 16:0-22:3	[0.014587373..0.014587373]	[0.036279112..0.036279112]	[0.034445994..0.034445994]	[0.014587373..0.036279112]	
					PC 18:2-20:1	[0.32401744..0.32401744]	[0.21707268..0.21707268]	[0.27636158..0.27636158]	[0.21707268..0.32401744]	
					PC 18:1-20:2	[0.1153034..0.1153034]	[0.14507219..0.14507219]	[0.15536943..0.15536943]	[0.1153034..0.15536943]	
					PC 18:0-20:3 (0z-11z)	[2.1870377..2.1870377]	[2.3670394..2.3670394]	[2.4870355..2.4870355]	[2.1870377..2.4870355]	
PC 38:4:0	4.7605853	5.063513	5.3864603	[4.7605853..5.3864603]	Sum	[3.702723..3.702723]	[3.847557..3.847557]	[4.033959..4.033959]	[3.702723..4.033959]	
					PC 16:0-22:4 (0z-10z)	[0.7709566..0.7709566]	[0.7634775..0.7634775]	[0.864249..0.864249]	[0.7634775..0.864249]	
					PC 18:1-20:3 (0z-11z)	[0.43683687..0.43683687]	[0.3732671..0.3732671]	[0.3966944..0.3966944]	[0.3732671..0.43683687]	
					PC 18:0-20:4 (0z-8z)	[2.4949296..2.4949296]	[2.7108126..2.7108126]	[2.7730157..2.7730157]	[2.4949296..2.7730157]	
PC 38:5:0	2.2492652	2.3418784	2.5533888	[2.2492652..2.5533888]	Sum	[1.6349783..1.6349783]	[1.6829667..1.6829667]	[1.7430253..1.7430253]	[1.6349783..1.7430253]	
					PC 16:0-22:5 (0z-7z)	[0.8250747..0.8250747]	[0.89399827..0.89399827]	[0.91468203..0.91468203]	[0.8250747..0.91468203]	
					PC 18:2-20:3 (0z-11z)	[0.2447794..0.2447794]	[0.1869489..0.1869489]	[0.24062522..0.24062522]	[0.1869489..0.2447794]	
					PC 18:1-20:4 (0z-8z)	[0.5651243..0.5651243]	[0.6020195..0.6020195]	[0.58771807..0.58771807]	[0.5651243..0.6020195]	
PC 38:6:0	0.76428026	0.63812006	0.80516094	[0.63812006..0.80516094]	Sum	[0.841597..0.841597]	[0.76136154..0.76136154]	[0.84311545..0.84311545]	[0.76136154..0.84311545]	
					PC 18:2-20:4 (0z-8z)	[0.841597..0.841597]	[0.76136154..0.76136154]	[0.84311545..0.84311545]	[0.76136154..0.84311545]	
PC 40:5:0	0.0	0.0	0.4028695	[0.0..0.4028695]	Sum	[0.22655015..0.22655015]	[0.25776306..0.25776306]	[0.2715206..0.2715206]	[0.22655015..0.2715206]	
					PC 18:0-22:5 (0z-7z)	[0.22655015..0.22655015]	[0.25776306..0.25776306]	[0.2715206..0.2715206]	[0.22655015..0.2715206]	
