PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_heart_01.mzXML,PRI:20180509_PC_heart_02.mzXML,PRI:20180509_PC_heart_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_heart_01.mzXML,FA1I:20180509_PC_heart_02.mzXML,FA1I:20180509_PC_heart_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_heart_01.mzXML,FA2I:20180509_PC_heart_02.mzXML,FA2I:20180509_PC_heart_03.mzXML,FACO1M,FACO1I:20180509_PC_heart_01.mzXML,FACO1I:20180509_PC_heart_02.mzXML,FACO1I:20180509_PC_heart_03.mzXML,FACO2M,FACO2I:20180509_PC_heart_01.mzXML,FACO2I:20180509_PC_heart_02.mzXML,FACO2I:20180509_PC_heart_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
828.577294189,H83 C45 N1 O10 P1 ,PC,36.0,3.0,0.0,PC 36:3:0,1.55,145236.5,130472.4,205085.9,255.23288981099998,16.0,0.0,-0.26,29488.0,25195.8,37657.1,305.248708089,20.0,3.0,0.34,83347.5,76637.9,111703.6,None, None, None, None, None, None, None, None
828.577294189,H83 C45 N1 O10 P1 ,PC,36.0,3.0,0.0,PC 36:3:0,1.55,145236.5,130472.4,205085.9,277.217315674,18.0,3.0,0.04,3840.5,3495.0,5568.9,283.264261882,18.0,0.0,0.02,1363.1,1121.6,1988.3,None, None, None, None, None, None, None, None
828.577294189,H83 C45 N1 O10 P1 ,PC,36.0,3.0,0.0,PC 36:3:0,1.55,145236.5,130472.4,205085.9,279.232981364,18.0,2.0,0.09,87625.9,81634.0,115136.6,281.248626709,18.0,1.0,0.08,40057.5,37693.8,57519.6,None, None, None, None, None, None, None, None
830.592349527,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.83,368013.7,332668.6,525506.5,255.232874552,16.0,0.0,-0.32,3364.4,2713.5,4924.0,307.26435343400004,20.0,2.0,0.32,8863.3,8083.3,11109.3,None, None, None, None, None, None, None, None
830.592349527,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.83,368013.7,332668.6,525506.5,279.232981364,18.0,2.0,0.09,384380.3,351814.2,508343.3,283.264292399,18.0,0.0,0.13,136052.0,124438.3,179014.0,None, None, None, None, None, None, None, None
830.592349527,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.83,368013.7,332668.6,525506.5,281.248606364,18.0,1.0,0.0,51367.7,47583.8,64648.8,281.248606364,18.0,1.0,0.0,51367.7,47583.8,64648.8,None, None, None, None, None, None, None, None
832.607465901,H87 C45 N1 O10 P1 ,PC,36.0,1.0,0.0,PC 36:1:0,0.19,82742.0,74777.4,118294.2,255.232884725,16.0,0.0,-0.28,1563.7,2122.5,2628.6,309.280049642,20.0,1.0,0.47,1855.4,1913.7,2351.5,None, None, None, None, None, None, None, None
832.607465901,H87 C45 N1 O10 P1 ,PC,36.0,1.0,0.0,PC 36:1:0,0.19,82742.0,74777.4,118294.2,281.248626709,18.0,1.0,0.08,88157.3,89099.7,130123.0,283.264282227,18.0,0.0,0.09,30917.2,31092.1,44653.6,None, None, None, None, None, None, None, None
850.560896077,H81 C47 N1 O10 P1 ,PC,38.0,6.0,0.0,PC 38:6:0,0.63,8252.2,6073.6,11421.8,255.232894897,16.0,0.0,-0.24,2270.6,1849.3,2596.0,327.233093262,22.0,6.0,0.42,0.0,0.0,458.5,None, None, None, None, None, None, None, None
850.560896077,H81 C47 N1 O10 P1 ,PC,38.0,6.0,0.0,PC 38:6:0,0.63,8252.2,6073.6,11421.8,279.232981364,18.0,2.0,0.09,8857.9,6313.8,11314.4,303.233052572,20.0,4.0,0.32,3899.2,3163.2,5152.5,None, None, None, None, None, None, None, None
852.576276936,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.31,24286.1,22289.9,36221.7,255.232879639,16.0,0.0,-0.3,6154.1,5604.8,7810.8,329.24876912400003,22.0,5.0,0.5,9837.3,9156.2,13974.6,None, None, None, None, None, None, None, None
852.576276936,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.31,24286.1,22289.9,36221.7,279.232981364,18.0,2.0,0.09,1943.9,1394.7,2135.1,305.24872843400004,20.0,3.0,0.4,1648.1,1590.4,2241.1,None, None, None, None, None, None, None, None
852.576276936,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.31,24286.1,22289.9,36221.7,281.248636882,18.0,1.0,0.11,4115.6,3944.7,5634.3,303.233062744,20.0,4.0,0.35,5560.7,4987.4,7686.3,None, None, None, None, None, None, None, None
852.576276936,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,0.31,24286.1,22289.9,36221.7,283.264328003,18.0,0.0,0.26,1097.0,0.0,840.6,301.217315674,20.0,5.0,0.03,0.0,0.0,425.0,None, None, None, None, None, None, None, None
854.591861246,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.24,51401.7,48194.3,76410.9,255.23288981099998,16.0,0.0,-0.26,3516.5,3223.9,5560.0,331.264404297,22.0,4.0,0.45,8319.0,8169.6,12864.0,None, None, None, None, None, None, None, None
854.591861246,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.24,51401.7,48194.3,76410.9,279.232981364,18.0,2.0,0.09,6646.1,4572.3,8291.3,307.264404297,20.0,2.0,0.48,460.1,0.0,0.0,None, None, None, None, None, None, None, None
854.591861246,H85 C47 N1 O10 P1 ,PC,38.0,4.0,0.0,PC 38:4:0,0.24,51401.7,48194.3,76410.9,281.248606364,18.0,1.0,0.0,2291.6,1680.9,2333.8,305.248697917,20.0,3.0,0.3,4926.5,4044.0,5302.0,None, None, None, None, None, None, None, None
