,168[P6_MSMS_1],168[P6_MSMS_2],168[P6_MSMS_3],168[P6_MSMS_4],237.2[P6_MSMS_1],237.2[P6_MSMS_2],237.2[P6_MSMS_3],237.2[P6_MSMS_4],255.2[P6_MSMS_1],255.2[P6_MSMS_2],255.2[P6_MSMS_3],255.2[P6_MSMS_4],281.2[P6_MSMS_4],283.3[P6_MSMS_1],283.3[P6_MSMS_2],283.3[P6_MSMS_4],448.3[P6_MSMS_1],448.3[P6_MSMS_2],448.3[P6_MSMS_3],448.3[P6_MSMS_4],466.3[P6_MSMS_1],466.3[P6_MSMS_2],466.3[P6_MSMS_3],466.3[P6_MSMS_4],704.6[P6_MSMS_1],704.6[P6_MSMS_2],704.6[P6_MSMS_3],704.6[P6_MSMS_4],764.6[P6_MSMS_1],764.6[P6_MSMS_2],764.6[P6_MSMS_3],764.6[P6_MSMS_4],
56.00,490.661102,,472.863861,621.609619,,,,,448934.500000,475479.031250,466995.187500,448882.031250,275.349243,264.838562,369.339874,260.590271,4379.301270,5183.476074,4385.129883,3925.440186,18647.060547,25614.828125,21871.369141,22778.197266,180277.406250,200933.562500,192239.640625,187471.156250,219.569382,,,206.710800,
58.00,315.729279,,598.435547,837.326172,,,,,496064.968750,495816.000000,493691.218750,501132.218750,496.557587,259.610535,544.763367,328.579987,5637.868164,5786.939453,6488.568359,6309.438965,20540.916016,23212.552734,22195.468750,24076.697266,132189.484375,132227.437500,125200.257813,130020.578125,,,,,
60.00,562.329712,224.145325,658.943237,685.021301,,,,,503227.000000,510828.812500,555965.500000,503985.281250,380.806854,435.368073,325.950378,,7809.668945,6208.306152,6958.674316,6583.481445,24528.439453,26604.449219,23834.982422,24042.222656,86370.507813,93718.460938,93407.265625,83680.078125,,,,,
62.00,655.440613,723.102600,1114.274780,823.602600,,,,,549136.437500,550534.312500,554722.125000,546355.312500,739.787415,360.442993,397.024597,563.376892,8530.574219,8110.907227,7239.663574,8335.870117,27725.367188,28455.984375,29372.169922,30098.273438,58536.660156,61984.984375,60301.351563,65327.429688,,,,,
64.00,940.535095,1024.421387,581.297607,1265.492188,,,,,547128.125000,571251.062500,566679.750000,542142.062500,,651.900330,486.386841,446.066589,8782.453125,12988.272461,9763.524414,8827.735352,25625.119141,32355.312500,27706.083984,24729.431641,29625.029297,38081.304688,34674.902344,34461.332031,,,,,
66.00,1433.825195,804.099243,728.505615,986.491272,,,,,538399.375000,584310.437500,565954.062500,557161.562500,,285.022491,354.984100,284.242462,9035.412109,9148.969727,10855.906250,9734.250977,24893.093750,25159.023438,29383.556641,24617.085938,16971.816406,19478.904297,20167.515625,14682.278320,,,,,
68.00,957.470215,1116.770508,1695.572021,1481.301270,,,,,571352.625000,547398.250000,593215.562500,578660.500000,,240.690674,326.572571,549.718384,12570.685547,8908.848633,10703.049805,11665.202148,29793.617188,24048.947266,28762.320313,28772.242188,8342.965820,8466.897461,9323.625977,8602.154297,,,,,
70.00,1659.556396,884.238281,1278.836060,1315.702637,,,,,551740.125000,566438.937500,575230.125000,584190.000000,,,582.893799,356.368896,11236.591797,10420.515625,9997.182617,12587.982422,28218.503906,26503.941406,32022.707031,33448.898438,3509.723389,4200.647949,4308.323242,5447.446289,,,,,
72.00,1214.505127,2197.595215,2058.365967,1211.121338,,,,,545317.250000,572745.125000,580544.187500,563888.062500,222.978729,234.026978,363.551636,305.858765,10967.540039,9135.525391,12612.163086,10846.307617,27925.439453,25303.279297,28429.990234,28530.156250,1821.790771,2592.571777,3192.094971,1899.106934,,,,,
74.00,1374.462646,2129.742432,2526.495605,2616.560791,,,,,539069.687500,563428.875000,545996.312500,529827.187500,,344.782898,,338.649384,11036.420898,11892.136719,9631.502930,9341.341797,23590.402344,25055.136719,26395.134766,25997.693359,930.662170,1529.361816,1064.334351,1129.393188,,,,,
76.00,1991.595093,1807.684082,2728.962646,1995.590942,,,,185.059906,531671.812500,519885.968750,570913.937500,537409.500000,318.671753,353.707733,,420.401642,12145.543945,8824.461914,12751.898438,11679.920898,25553.523438,25904.271484,27355.925781,27253.054688,542.372253,531.747253,765.544373,526.790771,,,,,
78.00,2492.517334,2760.360840,2415.253418,2962.696289,171.344864,,,,505231.468750,530519.625000,549497.500000,513060.625000,634.758057,214.419235,,,9919.761719,9719.651367,8371.499023,9954.271484,24920.486328,24538.265625,26623.335938,20895.103516,398.806305,372.100311,290.928589,221.226242,,,,,
80.00,5220.463867,2045.140137,4222.661133,4012.799805,,,,,510894.406250,512315.406250,517408.718750,516952.656250,464.403992,491.907776,442.249603,207.991592,8009.841797,9663.880859,7665.121094,7596.039063,22830.058594,22823.517578,23328.611328,24081.353516,,423.526978,,,,,,,
82.00,2197.092773,3801.571045,3944.842285,4523.536621,,,292.194153,,474884.500000,489979.187500,503290.531250,500764.250000,405.764069,,538.614014,,8452.908203,7899.305664,10096.297852,8469.253906,19886.500000,21944.421875,21822.916016,18743.748047,,,,,,,,,
84.00,5751.452148,4354.519531,4190.844727,3687.444092,,401.738098,,,486549.968750,485653.562500,467225.906250,450569.000000,,288.839142,,561.190308,9314.863281,6954.429199,5729.286133,9877.553711,23373.169922,17340.863281,18785.214844,19552.117188,,,,,,,,,
86.00,4599.997070,5113.247070,5012.448242,5451.395996,,,432.031281,,452789.187500,455968.750000,452649.562500,447577.968750,,420.685211,387.468079,273.952484,7574.843262,7753.476563,7864.341797,6917.092773,15369.571289,16400.359375,17026.599609,16965.445313,,,,,,,,,
88.00,6753.359863,6299.177734,5442.257813,6686.930664,314.047638,,492.022430,386.385956,415475.718750,435165.656250,421924.656250,437212.500000,,292.756226,662.812378,520.257019,6690.193848,5361.994629,7792.037109,6063.639648,16022.446289,12501.182617,13793.337891,12539.245117,,,,,,,,,
90.00,6044.287598,6390.362305,5275.384277,6334.681152,430.720428,,495.325195,460.647095,387419.281250,415925.093750,419182.468750,406587.406250,,673.368042,358.424530,,4703.564941,5676.408691,5862.090332,4668.343750,14115.296875,10150.582031,13830.221680,12018.624023,,,,,,,,,
92.00,6656.040527,7066.399414,7821.568848,8090.758789,489.563354,346.095062,,503.996887,368754.843750,373909.281250,370939.031250,377008.000000,,212.986603,,380.245911,3985.481201,3823.548096,3814.340820,4396.369629,10156.243164,9943.081055,8750.216797,12799.216797,,,,,,,,,
94.00,8129.321777,7305.163574,8262.658203,7988.129883,361.827515,472.514465,745.287109,328.413086,352599.437500,350783.375000,355112.875000,367443.906250,,325.466797,,240.771423,4732.982422,3612.816650,3077.435303,4691.690430,9244.486328,7004.725586,7036.617188,10191.337891,,,,,,,,,
96.00,7571.321289,7648.888184,8350.482422,7935.312988,504.668335,497.640991,724.543701,401.224060,319760.968750,340169.906250,335138.218750,332310.750000,,,,,3302.185303,2040.340820,2647.269287,2507.085938,6317.275391,5308.043945,7051.082031,7172.420410,,,,,,,,,
98.00,8291.806641,8146.843262,9625.319336,6784.866699,672.987244,639.976440,448.654938,387.393158,293428.687500,288793.875000,295466.218750,286045.625000,179.815491,,,,2773.943359,3379.764404,2489.311768,3611.584229,6137.238281,5363.682617,6251.983887,5755.812988,,,,,,,,,
100.00,7966.344238,6347.484375,7938.859375,8243.632813,579.400940,775.202332,788.580994,545.876526,272867.468750,264412.812500,268566.562500,255075.328125,553.420654,,359.916962,,1978.239258,1801.052490,2169.500244,1784.813477,4973.922363,3653.323242,4065.333496,4673.018066,,,,,,,,,
102.00,8492.129883,7264.880371,8620.974609,6837.443848,556.286621,390.664368,754.996338,1021.051147,248722.828125,240314.359375,243314.859375,235754.859375,,268.486908,356.491516,,2091.701904,949.273071,1733.028809,1608.174927,4431.284180,3825.861084,3058.066406,3032.660400,,,,,,,,,
104.00,6139.055176,6879.676270,7635.395508,7170.035156,673.421936,375.857513,507.242096,735.906189,211103.671875,229659.656250,224941.468750,214410.093750,622.182617,,,,1489.981201,1533.939819,1594.210449,842.272339,1727.441162,4103.717285,2355.330811,1316.291992,,,,,,,,,
106.00,7419.243652,7048.899902,7402.636230,6466.328613,420.286377,801.768311,420.893890,698.199219,190329.859375,201991.109375,198775.843750,193511.359375,230.000427,,,,502.307861,1001.545227,1112.917114,1564.013184,1638.834229,2412.973877,1602.067871,2433.847656,,,,,,,,,
108.00,6813.323730,7042.106934,6930.177734,6348.236816,687.263062,499.223785,676.490051,701.305115,170020.921875,170298.421875,174229.187500,161996.890625,419.732147,,,,598.786804,480.300018,940.821472,1129.256958,1519.624756,1682.696045,1687.509888,1422.552124,,,,,,,,,
