Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PS 34:1:0	281.25	240116_PS_FTMSMS-_1.mzXML	35.0	629634.5	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.936..0.936]	[589337.9..589337.9]	[0.275..0.275]	[0.9..1.0]	[0.936..0.936]	[589337.9..589337.9]	[0.275..0.275]	[0.904..1.0]	0.8967037	[528461.5..528461.5]
Group-1	PS 34:1:0	283.26	240116_PS_FTMSMS-_1.mzXML	25.0	199787.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.986..0.998]	[196990.56..199388.03]	[0.72..0.731]	[0.0..0.0]	[0.986..0.986]	[196990.56..196990.56]	[0.718..0.718]	[0.0..0.0]	0.8967037	[176642.17..178791.98]
Group-1	PS 34:1:0	283.26	240116_PS_FTMSMS-_1.mzXML	30.0	438655.2	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.968..0.975]	[424618.22..427688.8]	[0.76..0.762]	[0.0..0.0]	[0.968..0.968]	[424618.22..424618.22]	[0.758..0.758]	[0.0..0.0]	0.8967037	[380756.75..383510.16]
Group-1	PS 34:1:0	283.26	240116_PS_FTMSMS-_1.mzXML	35.0	503483.1	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.961..0.962]	[483847.28..484350.75]	[0.762..0.764]	[0.0..0.0]	[0.961..0.961]	[483847.28..483847.28]	[0.762..0.762]	[0.0..0.0]	0.8967037	[433867.62..434319.1]
Group-1	PS 34:2:0	251.2	240116_PS_FTMSMS-_1.mzXML	25.0	579.4	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.856..0.907]	[495.966..525.516]	[0.037..0.039]	[1.0..1.0]	[0.907..0.907]	[525.5158..525.5158]	[0.04..0.04]	[1.0..1.0]	0.8987426	[445.7462..472.30347]
Group-1	PS 34:2:0	251.2	240116_PS_FTMSMS-_1.mzXML	30.0	935.8	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.916..0.928]	[857.193..868.422]	[0.047..0.048]	[1.0..1.0]	[0.928..0.928]	[868.42236..868.42236]	[0.048..0.048]	[1.0..1.0]	0.8987426	[770.3957..780.4882]
Group-1	PS 34:2:0	251.2	240116_PS_FTMSMS-_1.mzXML	35.0	1052.0	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.967..0.975]	[1017.284..1025.7]	[0.051..0.051]	[1.0..1.0]	[0.975..0.975]	[1025.7001..1025.7001]	[0.051..0.051]	[1.0..1.0]	0.8987426	[914.2765..921.84033]
Group-1	PS 34:2:0	253.22	240116_PS_FTMSMS-_1.mzXML	25.0	14247.4	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.927..0.927]	[13207.34..13207.34]	[0.345..0.345]	[0.87..0.97]	[0.927..0.927]	[13207.34..13207.34]	[0.345..0.345]	[0.869..0.971]	0.8987426	[11869.999..11869.999]
Group-1	PS 34:2:0	253.22	240116_PS_FTMSMS-_1.mzXML	30.0	25506.4	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.929..0.929]	[23695.447..23695.447]	[0.315..0.315]	[0.87..0.97]	[0.929..0.929]	[23695.447..23695.447]	[0.315..0.315]	[0.869..0.971]	0.8987426	[21296.107..21296.107]
Group-1	PS 34:2:0	253.22	240116_PS_FTMSMS-_1.mzXML	35.0	29197.8	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.93..0.93]	[27153.955..27153.955]	[0.294..0.294]	[0.87..0.97]	[0.93..0.93]	[27153.955..27153.955]	[0.294..0.294]	[0.869..0.971]	0.8987426	[24404.418..24404.418]
Group-1	PS 34:2:0	255.23	240116_PS_FTMSMS-_1.mzXML	25.0	10736.2	0.0	0.0	[0.0..0.0]	[1.0..1.0]	[1.0..1.0]	[10736.2..10736.2]	[0.723..0.723]	[0.0..0.0]	[1.0..1.0]	[10736.2..10736.2]	[0.723..0.723]	[0.0..0.0]	0.8987426	[9649.081..9649.081]
Group-1	PS 34:2:0	255.23	240116_PS_FTMSMS-_1.mzXML	30.0	21289.5	0.0	0.0	[0.0..0.0]	[1.0..1.0]	[1.0..1.0]	[21289.5..21289.5]	[0.725..0.725]	[0.0..0.0]	[1.0..1.0]	[21289.5..21289.5]	[0.725..0.725]	[0.0..0.0]	0.8987426	[19133.781..19133.781]
Group-1	PS 34:2:0	255.23	240116_PS_FTMSMS-_1.mzXML	35.0	27647.0	0.0	0.0	[0.0..0.0]	[1.0..1.0]	[1.0..1.0]	[27647.0..27647.0]	[0.75..0.75]	[0.0..0.0]	[1.0..1.0]	[27647.0..27647.0]	[0.75..0.75]	[0.0..0.0]	0.8987426	[24847.537..24847.537]
Group-1	PS 34:2:0	279.23	240116_PS_FTMSMS-_1.mzXML	25.0	4657.0	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.882..0.882]	[4107.474..4107.474]	[0.277..0.277]	[1.0..1.0]	[0.882..0.882]	[4107.474..4107.474]	[0.277..0.277]	[1.0..1.0]	0.8987426	[3691.562..3691.562]
Group-1	PS 34:2:0	279.23	240116_PS_FTMSMS-_1.mzXML	30.0	8694.2	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.929..0.929]	[8076.912..8076.912]	[0.275..0.275]	[1.0..1.0]	[0.929..0.929]	[8076.912..8076.912]	[0.275..0.275]	[1.0..1.0]	0.8987426	[7259.065..7259.065]
Group-1	PS 34:2:0	279.23	240116_PS_FTMSMS-_1.mzXML	35.0	9369.3	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.981..0.981]	[9191.283..9191.283]	[0.25..0.25]	[1.0..1.0]	[0.981..0.981]	[9191.283..9191.283]	[0.25..0.25]	[1.0..1.0]	0.8987426	[8260.598..8260.598]
Group-1	PS 34:2:0	281.25	240116_PS_FTMSMS-_1.mzXML	25.0	28264.4	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.888..0.888]	[25098.787..25098.787]	[0.655..0.655]	[0.03..0.13]	[0.888..0.888]	[25098.787..25098.787]	[0.655..0.655]	[0.029..0.131]	0.8987426	[22557.352..22557.352]
Group-1	PS 34:2:0	281.25	240116_PS_FTMSMS-_1.mzXML	30.0	56071.5	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.919..0.919]	[51529.71..51529.71]	[0.685..0.685]	[0.03..0.13]	[0.919..0.919]	[51529.71..51529.71]	[0.685..0.685]	[0.029..0.131]	0.8987426	[46311.95..46311.95]
Group-1	PS 34:2:0	281.25	240116_PS_FTMSMS-_1.mzXML	35.0	69504.6	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.936..0.936]	[65056.305..65056.305]	[0.706..0.706]	[0.03..0.13]	[0.936..0.936]	[65056.305..65056.305]	[0.706..0.706]	[0.029..0.131]	0.8987426	[58468.875..58468.875]
Group-1	PS 34:2:0	283.26	240116_PS_FTMSMS-_1.mzXML	25.0	12949.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.986..0.998]	[12768.404..12923.801]	[0.961..0.963]	[0.0..0.0]	[0.986..0.986]	[12768.404..12768.404]	[0.96..0.96]	[0.0..0.0]	0.8987426	[11475.509..11615.171]
Group-1	PS 34:2:0	283.26	240116_PS_FTMSMS-_1.mzXML	30.0	17848.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.968..0.975]	[17277.543..17402.482]	[0.952..0.953]	[0.0..0.0]	[0.968..0.968]	[17277.541..17277.541]	[0.952..0.952]	[0.0..0.0]	0.8987426	[15528.0625..15640.353]
Group-1	PS 34:2:0	283.26	240116_PS_FTMSMS-_1.mzXML	35.0	19774.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.961..0.962]	[19003.486..19023.262]	[0.949..0.949]	[0.0..0.0]	[0.961..0.961]	[19003.486..19003.486]	[0.949..0.949]	[0.0..0.0]	0.8987426	[17079.244..17097.016]
Group-1	PS 35:0:0	269.25	240116_PS_FTMSMS-_1.mzXML	25.0	1017.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.99..0.997]	[1007.523..1014.647]	[0.072..0.072]	[1.0..1.0]	[0.997..0.997]	[1014.6469..1014.6469]	[0.073..0.073]	[1.0..1.0]	0.88078475	[887.4109..893.6855]
Group-1	PS 35:0:0	269.25	240116_PS_FTMSMS-_1.mzXML	30.0	757.6	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.981..0.986]	[743.206..746.994]	[0.036..0.036]	[1.0..1.0]	[0.986..0.986]	[746.9936..746.9936]	[0.036..0.036]	[1.0..1.0]	0.88078475	[654.6042..657.94055]
Group-1	PS 35:0:0	269.25	240116_PS_FTMSMS-_1.mzXML	35.0	3242.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.979..0.979]	[3174.701..3174.701]	[0.109..0.11]	[1.0..1.0]	[0.979..0.979]	[3174.7012..3174.7012]	[0.11..0.11]	[1.0..1.0]	0.88078475	[2796.2283..2796.2283]
Group-1	PS 35:0:0	283.26	240116_PS_FTMSMS-_1.mzXML	25.0	13093.4	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.986..0.998]	[12910.093..13067.214]	[0.928..0.928]	[0.0..0.0]	[0.986..0.986]	[12910.093..12910.093]	[0.927..0.927]	[0.0..0.0]	0.88078475	[11371.014..11509.403]
Group-1	PS 35:0:0	283.26	240116_PS_FTMSMS-_1.mzXML	30.0	20673.0	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.968..0.975]	[20011.465..20156.176]	[0.964..0.964]	[0.0..0.0]	[0.968..0.968]	[20011.465..20011.465]	[0.964..0.964]	[0.0..0.0]	0.88078475	[17625.791..17753.252]
Group-1	PS 35:0:0	283.26	240116_PS_FTMSMS-_1.mzXML	35.0	26863.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.961..0.962]	[25816.016..25842.879]	[0.89..0.891]	[0.0..0.0]	[0.961..0.961]	[25816.016..25816.016]	[0.89..0.89]	[0.0..0.0]	0.88078475	[22738.354..22762.014]
Group-1	PS 35:1:0	267.23	240116_PS_FTMSMS-_1.mzXML	25.0	34151.3	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.877..0.933]	[29950.69..31863.164]	[0.27..0.28]	[1.0..1.0]	[0.933..0.933]	[31863.164..31863.164]	[0.282..0.282]	[1.0..1.0]	0.8827558	[26439.146..28127.395]
Group-1	PS 35:1:0	267.23	240116_PS_FTMSMS-_1.mzXML	30.0	58524.6	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.916..0.927]	[53608.535..54252.305]	[0.243..0.244]	[1.0..1.0]	[0.927..0.927]	[54252.305..54252.305]	[0.246..0.246]	[1.0..1.0]	0.8827558	[47323.246..47891.54]
Group-1	PS 35:1:0	267.23	240116_PS_FTMSMS-_1.mzXML	35.0	68195.9	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.923..0.938]	[62944.812..63967.754]	[0.244..0.247]	[1.0..1.0]	[0.938..0.938]	[63967.754..63967.754]	[0.247..0.247]	[1.0..1.0]	0.8827558	[55564.9..56467.906]
