Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
PC 36:4:0	3.5404592	3.585683	3.6724958	[3.5404592..3.6724958]	Sum	[2.5147307..2.586519]	[2.336486..2.5283585]	[2.0598657..2.7196512]	[2.0598657..2.7196512]	
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/20:4 (5z-8z)	[2.1904864..2.2427871]	[2.0382442..2.2149444]	[1.7797354..2.3860545]	[1.7797354..2.3860545]	
					PC 18:1/18:3 (6z-9z)	[0.0123087065..0.02317606]	[0.01270436..0.024421373]	[0.0030444753..0.016763378]	[0.0030444753..0.024421373]	
					PC 18:3 (6z-9z)/18:1	[0.010221446..0.020813283]	[0.0059030363..0.016016616]	[0.010655664..0.03037467]	[0.0059030363..0.03037467]	
					PC 18:2/18:2	[0.27897668..0.30467072]	[0.27534017..0.29014748]	[0.25348032..0.30656666]	[0.25348032..0.30656666]	
PC 36:5:0	0.09829744	0.10823164	0.107238896	[0.09829744..0.10823164]	Sum	[0.0562186..0.068885766]	[0.06436947..0.07983342]	[0.038165767..0.07592138]	[0.038165767..0.07983342]	
					PC 20:4 (5z-8z)/16:1	[0.0..0.0018084432]	[0.0..0.002013892]	[0.0..0.008399377]	[0.0..0.008399377]	
					PC 16:1/20:4 (5z-8z)	[0.024777051..0.037675902]	[0.022360407..0.03596235]	[0.011099056..0.03373244]	[0.011099056..0.037675902]	
					PC 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:3 (6z-9z)/18:2	[0.028822342..0.033136223]	[0.038283784..0.042763323]	[0.02651451..0.03595907]	[0.02651451..0.042763323]	
PC 38:2:0	0.098865144	0.09378212	0.0	[0.0..0.098865144]	Sum	[0.07485294..0.08055902]	[0.09726758..0.12377697]	[0.053881265..0.07473857]	[0.053881265..0.12377697]	
					PC 20:1/18:1	[0.03730496..0.03971208]	[0.049592916..0.071038604]	[0.02096226..0.037549186]	[0.02096226..0.071038604]	
					PC 18:1/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 20:2/18:0	[0.0..0.001671324]	[0.008897124..0.020175746]	[0.0..0.002359688]	[0.0..0.020175746]	
					PC 18:0/20:2	[0.035266224..0.040763997]	[0.02695305..0.04204161]	[0.03163108..0.03999471]	[0.02695305..0.04204161]	
PC 38:3:0	-3.3285432E-5	-4.0588555E-5	-4.580466E-5	[-4.580466E-5..-3.3285432E-5]	Sum	[0.29233956..0.3690767]	[0.34268704..0.41065025]	[0.29421863..0.3602676]	[0.29233956..0.41065025]	
					PC 22:3 (13z)/16:0	[0.0..0.007113116]	[0.0..0.007629806]	[0.0..0.0016369153]	[0.0..0.007629806]	
					PC 16:0/22:3 (13z)	[0.0..0.007113116]	[0.0..0.007629806]	[0.0..0.0]	[0.0..0.007629806]	
					PC 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
