Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
PC 38:2:0	0.06623967	0.062408756	0.0	[0.0..0.06623967]	Sum	[0.091813564..0.091813564]	[0.14908221..0.14908221]	[0.0654278..0.0654278]	[0.0654278..0.14908221]
					PC 18:1-20:1	[0.048345216..0.048345216]	[0.0862165..0.0862165]	[0.026282208..0.026282208]	[0.026282208..0.0862165]
					PC 18:0-20:2	[0.043468367..0.043468367]	[0.062865704..0.062865704]	[0.03914558..0.03914558]	[0.03914558..0.062865704]
PC 38:3:0	-2.230125E-5	-2.7010281E-5	-3.005039E-5	[-3.005039E-5..-2.230125E-5]	Sum	[0.31222212..0.31222212]	[0.3794821..0.3794821]	[0.3100964..0.3100964]	[0.3100964..0.3794821]
					PC 16:0-22:3	[0.0019081066..0.0019081066]	[0.008277596..0.008277596]	[0.0015499434..0.0015499434]	[0.0015499434..0.008277596]
					PC 18:2-20:1	[0.044480465..0.044480465]	[0.06697828..0.06697828]	[0.04042744..0.04042744]	[0.04042744..0.06697828]
					PC 18:1-20:2	[0.058344677..0.058344677]	[0.0729989..0.0729989]	[0.049878757..0.049878757]	[0.049878757..0.0729989]
					PC 18:0-20:3 (0z-11z)	[0.20748895..0.20748895]	[0.23122731..0.23122731]	[0.21824025..0.21824025]	[0.20748895..0.23122731]
PC 38:4:0	2.8569055	2.8533406	2.8637424	[2.8533406..2.8637424]	Sum	[1.8844198..1.8844198]	[1.8180385..1.8180385]	[1.8280734..1.8280734]	[1.8180385..1.8844198]
					PC 16:0-22:4 (0z-10z)	[0.103032656..0.103032656]	[0.09727848..0.09727848]	[0.10354368..0.10354368]	[0.09727848..0.10354368]
					PC 18:2-20:2	[0.037721016..0.037721016]	[0.04180419..0.04180419]	[0.03346398..0.03346398]	[0.03346398..0.04180419]
					PC 18:1-20:3 (0z-11z)	[0.049625244..0.049625244]	[0.056122843..0.056122843]	[0.050623745..0.050623745]	[0.049625244..0.056122843]
					PC 18:0-20:4 (0z-8z)	[1.6940413..1.6940413]	[1.6228329..1.6228329]	[1.6404417..1.6404417]	[1.6228329..1.6940413]
PC 38:5:0	1.2157713	1.2104702	1.1882092	[1.1882092..1.2157713]	Sum	[0.5576176..0.5576176]	[0.57517105..0.57517105]	[0.5919458..0.5919458]	[0.5576176..0.5919458]
					PC 16:0-22:5 (0z-7z)	[0.40231356..0.40231356]	[0.40910345..0.40910345]	[0.4361112..0.4361112]	[0.40231356..0.4361112]
					PC 18:1-20:4 (0z-8z)	[0.15530413..0.15530413]	[0.16606756..0.16606756]	[0.15583451..0.15583451]	[0.15530413..0.16606756]
PC 38:6:0	0.75306743	0.747292	0.77546376	[0.747292..0.77546376]	Sum	[0.30362457..0.30362457]	[0.33230904..0.33230904]	[0.30821803..0.30821803]	[0.30362457..0.33230904]
					PC 16:0-22:6	[0.2878433..0.2878433]	[0.3085104..0.3085104]	[0.29873198..0.29873198]	[0.2878433..0.3085104]
					PC 18:2-20:4 (0z-8z)	[0.015781334..0.015781334]	[0.023798639..0.023798639]	[0.009486001..0.009486001]	[0.009486001..0.023798639]
PC 40:4:0	-2.230125E-5	-2.7010281E-5	0.0	[-2.7010281E-5..0.0]	Sum	[0.04984822..0.04984822]	[0.06310374..0.06310374]	[0.061266933..0.061266933]	[0.04984822..0.06310374]
					PC 18:0-22:4 (0z-10z)	[0.049848232..0.049848232]	[0.06310374..0.06310374]	[0.06126692..0.06126692]	[0.049848232..0.06310374]
PC 40:5:0	0.40164307	0.40237665	0.3692659	[0.3692659..0.40237665]	Sum	[0.165816..0.165816]	[0.18537337..0.18537337]	[0.1672223..0.1672223]	[0.165816..0.18537337]
					PC 18:0-22:5 (0z-7z)	[0.16581604..0.16581604]	[0.18537337..0.18537337]	[0.16722228..0.16722228]	[0.16581604..0.18537337]
PC 40:6:0	0.26897413	0.2774496	0.28884938	[0.26897413..0.28884938]	Sum	[0.15397388..0.15397388]	[0.15700036..0.15700036]	[0.15024793..0.15024793]	[0.15024793..0.15700036]
					PC 18:1-22:5 (0z-7z)	[0.05916742..0.05916742]	[0.06749446..0.06749446]	[0.057317358..0.057317358]	[0.057317358..0.06749446]
					PC 18:0-22:6	[0.094806485..0.094806485]	[0.089505896..0.089505896]	[0.09293055..0.09293055]	[0.089505896..0.094806485]
PC 44:0:0	6.0151863	5.9959884	5.973734	[5.973734..6.0151863]	Sum	[7.418761..7.418761]	[7.91217..7.91217]	[7.4084134..7.4084134]	[7.4084134..7.91217]
					PC 22:0/22:0	[7.418762..7.418762]	[7.91217..7.91217]	[7.4084125..7.4084125]	[7.4084125..7.91217]
PC 44:12:0	6.0536027	6.017892	6.063813	[6.017892..6.063813]	Sum	[0.42807502..0.42807502]	[0.45013437..0.45013437]	[0.4045955..0.4045955]	[0.4045955..0.45013437]
					PC 22:6/22:6	[0.4280751..0.4280751]	[0.45013437..0.45013437]	[0.40459543..0.40459543]	[0.40459543..0.45013437]
