Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 18:0/18:3 (6z-9z)	[0.030640146..0.042803656]	[0.03313775..0.04660447]	[0.03784642..0.053999715]	[0.030640146..0.053999715]
					PC 18:3 (6z-9z)/18:0	[0.0..0.0043659727]	[0.0..5.1264913E-4]	[0.0..0.0]	[0.0..0.0043659727]
					PC 18:1/18:2	[1.3054343..1.3903742]	[1.4009968..1.4787704]	[1.3698767..1.4384615]	[1.3054343..1.4787704]
					PC 18:2/18:1	[0.11389696..0.1598478]	[0.086990006..0.12858872]	[0.14061627..0.15967563]	[0.086990006..0.1598478]
PC 36:4:0	2.3721087	2.3861482	2.4093604	[2.3721087..2.4093604]	Sum	[2.503206..2.5980058]	[2.348644..2.5287719]	[2.0703242..2.7201133]	[2.0703242..2.7201133]
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/20:4 (5z-8z)	[2.1800606..2.25442]	[2.04949..2.2149556]	[1.7885642..2.3860033]	[1.7885642..2.3860033]
					PC 18:1/18:3 (6z-9z)	[0.012440879..0.020499235]	[0.011737107..0.024122974]	[0.0030443629..0.016747437]	[0.0030443629..0.024122974]
					PC 18:3 (6z-9z)/18:1	[0.012409856..0.020465067]	[0.005946112..0.017105382]	[0.010725834..0.03038157]	[0.005946112..0.03038157]
					PC 18:2/18:2	[0.2794939..0.30654466]	[0.27704117..0.29071903]	[0.2549142..0.3071634]	[0.2549142..0.3071634]
PC 36:5:0	0.06585932	0.07202441	0.07035465	[0.06585932..0.07202441]	Sum	[0.056313384..0.06936606]	[0.06473668..0.079856865]	[0.038315214..0.07628869]	[0.038315214..0.079856865]
