Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/20:4 (5z-8z)	[8.371444..8.967205]	[8.238244..8.718644]	[7.055307..9.766968]	[7.055307..9.766968]
					PC 18:1/18:3 (6z-9z)	[0.047773037..0.08153798]	[0.04717913..0.09858322]	[0.011948909..0.0688416]	[0.011948909..0.09858322]
					PC 18:3 (6z-9z)/18:1	[0.047653906..0.08140206]	[0.023901323..0.06990447]	[0.04209814..0.12488572]	[0.023901323..0.12488572]
					PC 18:2/18:2	[1.0787059..1.2106235]	[1.1222947..1.1490102]	[1.0171686..1.2573559]	[1.0171686..1.2573559]
PC 36:5:0	0.26444724	0.28225535	0.26620013	[0.26444724..0.28225535]	Sum	[0.2161656..0.2759904]	[0.2600691..0.3169751]	[0.1503025..0.28773698]	[0.1503025..0.3169751]
					PC 20:4 (5z-8z)/16:1	[0.0..0.0076847593]	[0.0..0.008130433]	[0.0..0.030697977]	[0.0..0.030697977]
					PC 16:1/20:4 (5z-8z)	[0.09514729..0.15068157]	[0.09040698..0.14263918]	[0.043665115..0.121817365]	[0.043665115..0.15068157]
					PC 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:3 (6z-9z)/18:2	[0.114446685..0.12736706]	[0.15556437..0.1741475]	[0.10628983..0.14713082]	[0.10628983..0.1741475]
PC 38:2:0	0.26597452	0.24457271	0.0	[0.0..0.26597452]	Sum	[0.290971..0.3089529]	[0.3852367..0.5052088]	[0.21647406..0.28669068]	[0.21647406..0.5052088]
					PC 20:1/18:1	[0.14464827..0.15905407]	[0.20312682..0.28984386]	[0.08420138..0.13453045]	[0.08420138..0.28984386]
					PC 18:1/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 20:2/18:0	[1.4615757E-4..0.0067506637]	[0.03529577..0.08248478]	[0.0..0.00967817]	[0.0..0.08248478]
					PC 18:0/20:2	[0.13987279..0.15683518]	[0.10571597..0.1709998]	[0.124875575..0.16403678]	[0.10571597..0.1709998]
PC 38:3:0	-8.954701E-5	-1.0585017E-4	-1.1370134E-4	[-1.1370134E-4..-8.954701E-5]	Sum	[1.1634333..1.4326293]	[1.3862962..1.6742202]	[1.1099098..1.4109396]	[1.1099098..1.6742202]
					PC 22:3 (13z)/16:0	[0.0..0.027603753]	[0.0..0.031267807]	[0.0..0.0067187953]	[0.0..0.031267807]
					PC 16:0/22:3 (13z)	[0.0..0.027603753]	[0.0..0.031267807]	[0.0..0.0]	[0.0..0.031267807]
					PC 20:1/18:2	[0.15011159..0.16115922]	[0.19395688..0.24234135]	[0.104315005..0.14402452]	[0.104315005..0.24234135]
					PC 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 20:2/18:1	[0.15585952..0.2071906]	[0.22633415..0.23907262]	[0.13071866..0.2501489]	[0.13071866..0.2501489]
					PC 18:1/20:2	[0.0..0.032736115]	[0.005246945..0.012466978]	[3.2517078E-4..0.049127433]	[0.0..0.049127433]
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:3 (5z-11z)	[0.80460423..1.0627567]	[0.87215245..1.1727035]	[0.81237835..1.1085769]	[0.80460423..1.1727035]
PC 38:4:0	11.471435	11.181912	10.835511	[10.835511..11.471435]	Sum	[10.848295..11.998918]	[10.055972..12.231723]	[11.055006..14.041554]	[10.055972..14.041554]
					PC 22:4 (7z-10z)/16:0	[0.0..0.0075815204]	[0.0..0.0]	[0.0..0.048796035]	[0.0..0.048796035]
					PC 16:0/22:4 (7z-10z)	[0.41012284..0.54153717]	[0.41908684..0.5223441]	[0.40984327..0.54827005]	[0.40984327..0.54827005]
					PC 20:2/18:2	[0.09036807..0.13014452]	[0.10502019..0.14748459]	[0.11570606..0.13754655]	[0.09036807..0.14748459]
					PC 18:2/20:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
