CLASS,SPECIE,MolSPECIE,QUANTITY
PC,PC 24:0:0,PC 12:0/12:0,
PC,PC 25:0:0,PC 12:0/13:0,40.8
PC,PC 44:0:0,PC 22:0/22:0,
PC,PC 44:12:0,PC 22:6/22:6,
