PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240604_eggPEO_25-35_1.mzXML,PRI:240604_eggPEO_25-35_2.mzXML,PRI:240604_eggPEO_25-35_3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240604_eggPEO_25-35_1.mzXML,FA1I:240604_eggPEO_25-35_2.mzXML,FA1I:240604_eggPEO_25-35_3.mzXML,FACO1M,FACO1I:240604_eggPEO_25-35_1.mzXML,FACO1I:240604_eggPEO_25-35_2.mzXML,FACO1I:240604_eggPEO_25-35_3.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,
###,PEOFAS,,,,,,,,,,,,,,,,,,,,
698.5133700351563,C39 H73 O7 N1 P1 ,PE O-,34.0,3.0,0.0,PE O- 34:3:0,0.51,164375.5,157234.9,162430.5,281.24854532877606,18.0,1.0,-0.21,5540.5,5407.8,5896.6,, None, None, None
698.5133700351563,C39 H73 O7 N1 P1 ,PE O-,34.0,3.0,0.0,PE O- 34:3:0,0.51,164375.5,157234.9,162430.5,279.23288981119794,18.0,2.0,-0.23,202383.5,198485.1,187900.6,, None, None, None
698.5133700351563,C39 H73 O7 N1 P1 ,PE O-,34.0,3.0,0.0,PE O- 34:3:0,0.51,164375.5,157234.9,162430.5,277.2172546386719,18.0,3.0,-0.18,3335.2,3408.9,2616.8,, None, None, None
698.5133700351563,C39 H73 O7 N1 P1 ,PE O-,34.0,3.0,0.0,PE O- 34:3:0,0.51,164375.5,157234.9,162430.5,253.21715291341147,16.0,1.0,-0.6,4375.4,4366.8,3779.1,, None, None, None
722.5129427890625,C41 H73 O7 N1 P1 ,PE O-,36.0,5.0,0.0,PE O- 36:5:0,-0.1,35919.3,37621.5,36651.0,303.23292032877606,20.0,4.0,-0.12,36452.2,35552.3,34026.7,, None, None, None
722.5129427890625,C41 H73 O7 N1 P1 ,PE O-,36.0,5.0,0.0,PE O- 36:5:0,-0.1,35919.3,37621.5,36651.0,277.2172088623047,18.0,3.0,-0.35,0.0,1149.2,1463.8,, None, None, None
726.544538654948,C41 H77 O7 N1 P1 ,PE O-,36.0,3.0,0.0,PE O- 36:3:0,0.31,658003.9,633009.5,614519.7,281.24851481119794,18.0,1.0,-0.32,137595.4,136122.5,129660.4,, None, None, None
726.544538654948,C41 H77 O7 N1 P1 ,PE O-,36.0,3.0,0.0,PE O- 36:3:0,0.31,658003.9,633009.5,614519.7,279.2328592936198,18.0,2.0,-0.34,796429.1,768960.6,745898.0,, None, None, None
726.544538654948,C41 H77 O7 N1 P1 ,PE O-,36.0,3.0,0.0,PE O- 36:3:0,0.31,658003.9,633009.5,614519.7,277.2172546386719,18.0,3.0,-0.18,12056.0,10234.7,9662.9,, None, None, None
728.5604891757813,C41 H79 O7 N1 P1 ,PE O-,36.0,2.0,0.0,PE O- 36:2:0,0.72,1087610.4,1109217.6,1059027.2,281.24851481119794,18.0,1.0,-0.32,895275.8,868537.5,858343.1,, None, None, None
728.5604891757813,C41 H79 O7 N1 P1 ,PE O-,36.0,2.0,0.0,PE O- 36:2:0,0.72,1087610.4,1109217.6,1059027.2,279.23288981119794,18.0,2.0,-0.23,943737.3,892532.7,906269.1,, None, None, None
