Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PEO 36:3:0	281.25	240604_eggPEO_25-35_1.mzXML	35.0	127091.9	0.0	0.0	[9.0..9.0]	[0.5..0.5]	[0.907..0.907]	[115272.35..115272.35]	[0.5..0.5]	[0.5..0.5]	[0.907..0.907]	[115272.35..115272.35]	[0.5..0.5]	[0.5..0.5]	0.9325677	[107499.28..107499.28]
Group-1	PEO 36:5:0	303.23	240604_eggPEO_25-35_1.mzXML	25.0	36452.2	2593.3	0.07114249	[5.0..5.0]	[0.5..0.5]	[1.269..1.269]	[46257.844..46257.844]	[0.5..0.5]	[0.5..0.5]	[1.269..1.269]	[46257.844..46257.844]	[0.5..0.5]	[0.5..0.5]	0.93703	[43344.99..43344.99]
Group-1	PEO 36:5:0	303.23	240604_eggPEO_25-35_1.mzXML	30.0	23818.1	2803.9	0.11772139	[5.0..5.0]	[0.5..0.5]	[1.823..1.823]	[43420.395..43420.395]	[0.5..0.5]	[0.5..0.5]	[1.823..1.823]	[43420.395..43420.395]	[0.5..0.5]	[0.5..0.5]	0.93703	[40686.21..40686.21]
Group-1	PEO 36:5:0	303.23	240604_eggPEO_25-35_1.mzXML	35.0	12415.6	1243.8	0.100180425	[6.2..6.2]	[0.5..0.5]	[2.913..2.913]	[36166.645..36166.645]	[0.5..0.5]	[0.5..0.5]	[2.913..2.913]	[36166.645..36166.645]	[0.5..0.5]	[0.5..0.5]	0.93703	[33889.23..33889.23]
Group-1	PEO 38:5:0	303.23	240604_eggPEO_25-35_1.mzXML	25.0	40049.1	2822.3	0.070470996	[5.0..5.0]	[0.5..0.5]	[1.269..1.269]	[50822.312..50822.312]	[0.5..0.5]	[0.5..0.5]	[1.269..1.269]	[50822.312..50822.312]	[0.5..0.5]	[0.5..0.5]	0.90691674	[46091.605..46091.605]
Group-1	PEO 38:5:0	303.23	240604_eggPEO_25-35_1.mzXML	30.0	28798.5	2761.1	0.09587652	[5.0..5.0]	[0.5..0.5]	[1.823..1.823]	[52499.664..52499.664]	[0.5..0.5]	[0.5..0.5]	[1.823..1.823]	[52499.664..52499.664]	[0.5..0.5]	[0.5..0.5]	0.90691674	[47612.824..47612.824]
Group-1	PEO 38:5:0	303.23	240604_eggPEO_25-35_1.mzXML	35.0	14087.7	0.0	0.0	[5.0..5.0]	[0.5..0.5]	[2.913..2.913]	[41037.473..41037.473]	[0.5..0.5]	[0.5..0.5]	[2.913..2.913]	[41037.473..41037.473]	[0.5..0.5]	[0.5..0.5]	0.90691674	[37217.57..37217.57]
Group-1	PEO 38:5:0	329.25	240604_eggPEO_25-35_1.mzXML	25.0	117199.9	24404.9	0.20823312	[4.0..4.0]	[0.5..0.5]	[1.585..1.585]	[185761.84..185761.84]	[0.5..0.5]	[0.5..0.5]	[1.585..1.585]	[185761.84..185761.84]	[0.5..0.5]	[0.5..0.5]	0.90691674	[168470.52..168470.52]
Group-1	PEO 38:5:0	329.25	240604_eggPEO_25-35_1.mzXML	30.0	64459.3	21732.3	0.33714762	[4.0..4.0]	[0.5..0.5]	[2.844..2.844]	[183322.27..183322.27]	[0.5..0.5]	[0.5..0.5]	[2.844..2.844]	[183322.27..183322.27]	[0.5..0.5]	[0.5..0.5]	0.90691674	[166258.03..166258.03]
Group-1	PEO 38:5:0	329.25	240604_eggPEO_25-35_1.mzXML	35.0	25769.9	10832.1	0.4203392	[4.6..4.6]	[0.5..0.5]	[5.963..5.963]	[153665.9..153665.9]	[0.5..0.5]	[0.5..0.5]	[5.963..5.963]	[153665.9..153665.9]	[0.5..0.5]	[0.5..0.5]	0.90691674	[139362.19..139362.19]
Group-1	PEO 38:5:0	331.26	240604_eggPEO_25-35_1.mzXML	25.0	32059.7	0.0	0.0	[7.0..10.0]	[0.5..0.5]	[1.03..1.03]	[33021.49..33021.49]	[0.5..0.5]	[0.5..0.5]	[1.03..1.03]	[33021.49..33021.49]	[0.5..0.5]	[0.5..0.5]	0.90691674	[29947.742..29947.742]
Group-1	PEO 38:5:0	331.26	240604_eggPEO_25-35_1.mzXML	30.0	28364.4	0.0	0.0	[7.0..10.0]	[0.5..0.5]	[1.293..1.293]	[36675.168..36675.168]	[0.5..0.5]	[0.5..0.5]	[1.293..1.293]	[36675.168..36675.168]	[0.5..0.5]	[0.5..0.5]	0.90691674	[33261.324..33261.324]
Group-1	PEO 38:5:0	331.26	240604_eggPEO_25-35_1.mzXML	35.0	16425.5	0.0	0.0	[7.0..10.0]	[0.5..0.5]	[1.835..1.835]	[30140.793..30140.793]	[0.5..0.5]	[0.5..0.5]	[1.835..1.835]	[30140.793..30140.793]	[0.5..0.5]	[0.5..0.5]	0.90691674	[27335.19..27335.19]
Group-1	PEO 38:6:0	329.25	240604_eggPEO_25-35_1.mzXML	25.0	112310.0	29683.1	0.26429614	[4.0..4.0]	[0.5..0.5]	[1.585..1.585]	[178011.36..178011.36]	[0.5..0.5]	[0.5..0.5]	[1.585..1.585]	[178011.36..178011.36]	[0.5..0.5]	[0.5..0.5]	0.90900636	[161813.45..161813.45]
Group-1	PEO 38:6:0	329.25	240604_eggPEO_25-35_1.mzXML	30.0	63769.5	25879.0	0.40582097	[4.0..4.0]	[0.5..0.5]	[2.844..2.844]	[181360.47..181360.47]	[0.5..0.5]	[0.5..0.5]	[2.844..2.844]	[181360.47..181360.47]	[0.5..0.5]	[0.5..0.5]	0.90900636	[164857.83..164857.83]
Group-1	PEO 38:6:0	329.25	240604_eggPEO_25-35_1.mzXML	35.0	23103.1	10031.1	0.4341885	[4.5..4.5]	[0.5..0.5]	[5.963..5.963]	[137763.78..137763.78]	[0.5..0.5]	[0.5..0.5]	[5.963..5.963]	[137763.78..137763.78]	[0.5..0.5]	[0.5..0.5]	0.90900636	[125228.16..125228.16]
Group-1	PEO 40:5:0	329.25	240604_eggPEO_25-35_1.mzXML	25.0	142993.7	31399.9	0.2195894	[4.0..4.0]	[0.5..0.5]	[1.585..1.585]	[226645.03..226645.03]	[0.5..0.5]	[0.5..0.5]	[1.585..1.585]	[226645.03..226645.03]	[0.5..0.5]	[0.5..0.5]	0.87881356	[199178.72..199178.72]
Group-1	PEO 40:5:0	329.25	240604_eggPEO_25-35_1.mzXML	30.0	86192.6	25553.4	0.29646862	[4.3..4.3]	[0.5..0.5]	[2.844..2.844]	[245131.77..245131.77]	[0.5..0.5]	[0.5..0.5]	[2.844..2.844]	[245131.77..245131.77]	[0.5..0.5]	[0.5..0.5]	0.87881356	[215425.12..215425.12]
Group-1	PEO 40:5:0	329.25	240604_eggPEO_25-35_1.mzXML	35.0	41160.1	15933.8	0.3871176	[4.9..4.9]	[0.5..0.5]	[5.963..5.963]	[245437.66..245437.66]	[0.5..0.5]	[0.5..0.5]	[5.963..5.963]	[245437.67..245437.67]	[0.5..0.5]	[0.5..0.5]	0.87881356	[215693.95..215693.95]
Group-1	PEO 40:5:0	331.26	240604_eggPEO_25-35_1.mzXML	25.0	81455.3	0.0	0.0	[7.0..10.0]	[0.5..0.5]	[1.03..1.03]	[83898.95..83898.95]	[0.5..0.5]	[0.5..0.5]	[1.03..1.03]	[83898.95..83898.95]	[0.5..0.5]	[0.5..0.5]	0.87881356	[73731.54..73731.54]
Group-1	PEO 40:5:0	331.26	240604_eggPEO_25-35_1.mzXML	30.0	66287.5	0.0	0.0	[7.0..10.0]	[0.5..0.5]	[1.293..1.293]	[85709.734..85709.734]	[0.5..0.5]	[0.5..0.5]	[1.293..1.293]	[85709.734..85709.734]	[0.5..0.5]	[0.5..0.5]	0.87881356	[75322.88..75322.88]
