Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/20:4 (5z-8z)	[8.453789..8.974884]	[8.252826..8.713231]	[7.0674024..9.760944]	[7.0674024..9.760944]	
					PC 18:1/18:3 (6z-9z)	[0.047416553..0.09062626]	[0.051439803..0.10008154]	[0.012028039..0.0688701]	[0.012028039..0.10008154]	
					PC 18:3 (6z-9z)/18:1	[0.03937584..0.081387006]	[0.023901323..0.065637894]	[0.04209814..0.124790266]	[0.023901323..0.124790266]	
					PC 18:2/18:2	[1.0761852..1.2118293]	[1.1224266..1.1502274]	[1.0172884..1.254112]	[1.0172884..1.254112]	
PC 36:5:0	0.26444724	0.28225535	0.26620013	[0.26444724..0.28225535]	Sum	[0.21648766..0.27574652]	[0.2604895..0.3167716]	[0.15070184..0.2872758]	[0.15070184..0.3167716]	
					PC 20:4 (5z-8z)/16:1	[0.0..0.0072367857]	[0.0..0.007985606]	[0.0..0.030332522]	[0.0..0.030332522]	
					PC 16:1/20:4 (5z-8z)	[0.09544808..0.15076636]	[0.09053702..0.1426001]	[0.043849885..0.121817365]	[0.043849885..0.15076636]	
					PC 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:3 (6z-9z)/18:2	[0.114641..0.12733883]	[0.15558429..0.17432506]	[0.10641024..0.14710245]	[0.10641024..0.17432506]	
PC 38:2:0	0.26597452	0.24457271	0.0	[0.0..0.26597452]	Sum	[0.29114145..0.3094486]	[0.38594875..0.5048947]	[0.21638119..0.2871517]	[0.21638119..0.5048947]	
					PC 20:1/18:1	[0.14476876..0.15891448]	[0.20323735..0.28958946]	[0.0841275..0.13464211]	[0.0841275..0.28958946]	
					PC 18:1/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 20:2/18:0	[0.0..0.0064473283]	[0.03499984..0.08224661]	[0.0..0.009694463]	[0.0..0.08224661]	
					PC 18:0/20:2	[0.14027157..0.1572519]	[0.10602892..0.17138298]	[0.12496731..0.16431293]	[0.10602892..0.17138298]	
PC 38:3:0	-8.954701E-5	-1.0585017E-4	-1.1370134E-4	[-1.1370134E-4..-8.954701E-5]	Sum	[1.1624435..1.4328783]	[1.3867811..1.6750703]	[1.1116071..1.411964]	[1.1116071..1.6750703]	
					PC 22:3 (13z)/16:0	[0.0..0.027603753]	[0.0..0.031267807]	[0.0..0.0067250472]	[0.0..0.031267807]	
					PC 16:0/22:3 (13z)	[0.0..0.027603753]	[0.0..0.031267807]	[0.0..0.0]	[0.0..0.031267807]	
					PC 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 20:1/18:2	[0.15439092..0.1628889]	[0.19417626..0.24254099]	[0.104315005..0.1441318]	[0.104315005..0.24254099]	
					PC 20:2/18:1	[0.155792..0.20761499]	[0.22674324..0.23975089]	[0.13076787..0.2509833]	[0.13076787..0.2509833]	
					PC 18:1/20:2	[0.0..0.03280317]	[0.004778572..0.012476832]	[0.0..0.049192727]	[0.0..0.049192727]	
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:3 (5z-11z)	[0.8051598..1.0640365]	[0.87215245..1.1739663]	[0.81393206..1.109838]	[0.8051598..1.1739663]	
PC 38:4:0	11.471435	11.181912	10.835511	[10.835511..11.471435]	Sum	[10.803757..12.00743]	[9.952081..12.186846]	[11.064143..14.042348]	[9.952081..14.042348]	
					PC 22:4 (7z-10z)/16:0	[0.0..0.0075780936]	[0.0..0.0]	[0.0..0.047228206]	[0.0..0.047228206]	
					PC 16:0/22:4 (7z-10z)	[0.41095626..0.54129237]	[0.41995576..0.5221103]	[0.41285706..0.5491651]	[0.41095626..0.5491651]	
					PC 20:2/18:2	[0.09045217..0.13018174]	[0.10511792..0.14750953]	[0.11564267..0.13767157]	[0.09045217..0.14750953]	
					PC 18:2/20:2	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 20:3 (5z-11z)/18:1	[0.0..0.0120514445]	[0.0..0.041200697]	[0.0..0.02985595]	[0.0..0.041200697]	
					PC 18:1/20:3 (5z-11z)	[0.17487682..0.23630284]	[0.1711353..0.26581094]	[0.16363378..0.25089034]	[0.16363378..0.26581094]	
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:4 (5z-8z)	[10.093661..11.080563]	[9.241164..11.341718]	[10.371531..13.046708]	[9.241164..13.046708]	
PC 38:5:0	4.8817296	4.743693	4.4958143	[4.4958143..4.8817296]	Sum	[4.3194904..4.589009]	[4.4478865..4.82786]	[4.21803..5.3745313]	[4.21803..5.3745313]	
					PC 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/22:5 (4z-7z)	[3.4819183..3.6231172]	[3.5617378..3.840841]	[3.511977..4.183184]	[3.4819183..4.183184]	
					PC 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.013962139]	[0.0..0.13048586]	[0.0..0.13048586]	
					PC 18:1/20:4 (5z-8z)	[0.7672847..0.96589166]	[0.8025514..0.9972956]	[0.65981394..1.0608606]	[0.65981394..1.0608606]	
PC 38:6:0	3.0238185	2.928551	2.9341137	[2.928551..3.0238185]	Sum	[2.7324853..3.1437237]	[3.0571854..3.482197]	[2.889682..3.7878351]	[2.7324853..3.7878351]	
					PC 22:6 (4z)/16:0	[0.0..0.023791043]	[0.0..0.0]	[0.0..0.0]	[0.0..0.023791043]	
					PC 16:0/22:6 (4z)	[2.6834464..2.975544]	[3.0080779..3.3009975]	[2.8702633..3.5955505]	[2.6834464..3.5955505]	
					PC 20:4 (5z-8z)/18:2	[0.018094094..0.10158101]	[0.03326879..0.12586568]	[0.002171363..0.1152733]	[0.002171363..0.12586568]	
					PC 18:2/20:4 (5z-8z)	[0.0..0.068262435]	[0.0..0.08357481]	[0.0..0.10778054]	[0.0..0.10778054]	
PC 40:4:0	-8.954701E-5	-1.0585017E-4	0.0	[-1.0585017E-4..0.0]	Sum	[0.22778141..0.28472382]	[0.25171307..0.35305467]	[0.21636243..0.3446218]	[0.21636243..0.35305467]	
					PC 22:4 (7z-10z)/18:0	[0.0..0.0]	[0.0..0.030335592]	[0.0..0.0]	[0.0..0.030335592]	
					PC 18:0/22:4 (7z-10z)	[0.22778141..0.28472382]	[0.25171307..0.32271907]	[0.21636243..0.3446218]	[0.21636243..0.3446218]	
PC 40:5:0	1.6127317	1.5768677	1.3971875	[1.3971875..1.6127317]	Sum	[1.2565566..1.550089]	[1.4122902..1.6128192]	[1.1699828..1.5799935]	[1.1699828..1.6128192]	
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.017547984]	[0.0..0.0]	[0.0..0.017547984]	
					PC 18:0/22:5 (4z-7z)	[1.2565566..1.550089]	[1.4122902..1.5952713]	[1.1699828..1.5799935]	[1.1699828..1.5952713]	
PC 40:6:0	1.0800215	1.087293	1.0929163	[1.0800215..1.0929163]	Sum	[1.0552735..1.2557656]	[0.9764242..1.2245067]	[0.9297687..1.0754176]	[0.9297687..1.2557656]	
					PC 22:5 (4z-7z)/18:1	[0.16763091..0.26176235]	[0.19642003..0.30690998]	[0.18346883..0.23759164]	[0.16763091..0.30690998]	
					PC 18:1/22:5 (4z-7z)	[0.0..0.029317386]	[0.0..0.051253967]	[0.0..0.0]	[0.0..0.051253967]	
					PC 22:6 (4z)/18:0	[0.0..0.0]	[0.0..0.11580773]	[0.0..0.1510372]	[0.0..0.1510372]	
					PC 18:0/22:6 (4z)	[0.85572714..0.97300965]	[0.6608903..0.8977344]	[0.6152554..0.8437832]	[0.6152554..0.97300965]	
