Species	PRI_20180509_PC_egg_01.mzXML	PRI_20180509_PC_egg_02.mzXML	PRI_20180509_PC_egg_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_egg_01.mzXML	FAI.FC_20180509_PC_egg_02.mzXML	FAI.FC_20180509_PC_egg_03.mzXML	FAI.FC_Group-1
					PC 18:1-20:1	[0.20167287..0.20167287]	[0.36576402..0.36576402]	[0.11046271..0.11046271]	[0.11046271..0.36576402]	
					PC 18:0-20:2	[0.18132901..0.18132901]	[0.26670083..0.26670083]	[0.16452679..0.16452679]	[0.16452679..0.26670083]	
PC 38:3:0	-8.954701E-5	-1.0585017E-4	-1.1370134E-4	[-1.1370134E-4..-8.954701E-5]	Sum	[1.30244..1.30244]	[1.6099111..1.6099111]	[1.3033184..1.3033184]	[1.30244..1.6099111]	
					PC 16:0-22:3	[0.007959698..0.007959698]	[0.035116788..0.035116788]	[0.006514329..0.006514329]	[0.006514329..0.035116788]	
					PC 18:2-20:1	[0.18555099..0.18555099]	[0.284148..0.284148]	[0.16991436..0.16991436]	[0.16991436..0.284148]	
					PC 18:1-20:2	[0.24338579..0.24338579]	[0.30968982..0.30968982]	[0.20963775..0.20963775]	[0.20963775..0.30968982]	
					PC 18:0-20:3 (0z-11z)	[0.8655436..0.8655436]	[0.98095644..0.98095644]	[0.917252..0.917252]	[0.8655436..0.98095644]	
PC 38:4:0	11.471435	11.181912	10.835511	[10.835511..11.471435]	Sum	[7.8608904..7.8608904]	[7.7128286..7.7128286]	[7.6832933..7.6832933]	[7.6832933..7.8608904]	
					PC 16:0-22:4 (0z-10z)	[0.42980245..0.42980245]	[0.41269326..0.41269326]	[0.4351885..0.4351885]	[0.41269326..0.4351885]	
					PC 18:2-20:2	[0.15735383..0.15735383]	[0.17734967..0.17734967]	[0.14064732..0.14064732]	[0.14064732..0.17734967]	
					PC 18:1-20:3 (0z-11z)	[0.20701253..0.20701253]	[0.238095..0.238095]	[0.2127689..0.2127689]	[0.20701253..0.238095]	
					PC 18:0-20:4 (0z-8z)	[7.066721..7.066721]	[6.8846903..6.8846903]	[6.8946886..6.8946886]	[6.8846903..7.066721]	
PC 38:5:0	4.8817296	4.743693	4.4958143	[4.4958143..4.8817296]	Sum	[2.3261116..2.3261116]	[2.4400997..2.4400997]	[2.4879162..2.4879162]	[2.3261116..2.4879162]	
					PC 16:0-22:5 (0z-7z)	[1.6782578..1.6782578]	[1.7355764..1.7355764]	[1.8329521..1.8329521]	[1.6782578..1.8329521]	
					PC 18:1-20:4 (0z-8z)	[0.64785373..0.64785373]	[0.7045233..0.7045233]	[0.65496415..0.65496415]	[0.64785373..0.7045233]	
PC 38:6:0	3.0238185	2.928551	2.9341137	[2.928551..3.0238185]	Sum	[1.2665751..1.2665751]	[1.4097846..1.4097846]	[1.2954236..1.2954236]	[1.2665751..1.4097846]	
					PC 16:0-22:6	[1.2007431..1.2007431]	[1.3088214..1.3088214]	[1.2555546..1.2555546]	[1.2007431..1.3088214]	
					PC 18:2-20:4 (0z-8z)	[0.06583209..0.06583209]	[0.10096311..0.10096311]	[0.039869156..0.039869156]	[0.039869156..0.10096311]	
PC 40:4:0	-8.954701E-5	-1.0585017E-4	0.0	[-1.0585017E-4..0.0]	Sum	[0.20794271..0.20794271]	[0.2677107..0.2677107]	[0.2575016..0.2575016]	[0.20794271..0.2677107]	
					PC 18:0-22:4 (0z-10z)	[0.20794271..0.20794271]	[0.2677107..0.2677107]	[0.2575016..0.2575016]	[0.20794271..0.2677107]	
PC 40:5:0	1.6127317	1.5768677	1.3971875	[1.3971875..1.6127317]	Sum	[0.69170433..0.69170433]	[0.7864261..0.7864261]	[0.70282626..0.70282626]	[0.69170433..0.7864261]	
					PC 18:0-22:5 (0z-7z)	[0.69170433..0.69170433]	[0.7864261..0.7864261]	[0.70282626..0.70282626]	[0.69170433..0.7864261]	
PC 40:6:0	1.0800215	1.087293	1.0929163	[1.0800215..1.0929163]	Sum	[0.64230466..0.64230466]	[0.6660568..0.6660568]	[0.6314839..0.6314839]	[0.6314839..0.6660568]	
					PC 18:1-22:5 (0z-7z)	[0.24681786..0.24681786]	[0.28633782..0.28633782]	[0.2409018..0.2409018]	[0.2409018..0.28633782]	
					PC 18:0-22:6	[0.39548683..0.39548683]	[0.37971893..0.37971893]	[0.3905821..0.3905821]	[0.37971893..0.39548683]	
PC 44:0:0	24.152992	23.497587	22.602753	[22.602753..24.152992]	Sum	[30.947489..30.947489]	[33.56651..33.56651]	[31.13716..31.13716]	[30.947489..33.56651]	
					PC 22:0/22:0	[30.947489..30.947489]	[33.56651..33.56651]	[31.13716..31.13716]	[30.947489..33.56651]	
PC 44:12:0	24.307247	23.583424	22.943584	[22.943584..24.307247]	Sum	[1.7857224..1.7857224]	[1.9096456..1.9096456]	[1.700493..1.700493]	[1.700493..1.9096456]	
					PC 22:6/22:6	[1.7857224..1.7857224]	[1.9096456..1.9096456]	[1.700493..1.700493]	[1.700493..1.9096456]	
