Species	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	FAI.FC_Group-1
PC 40:6:0	5.477113	5.483001	5.4866447	[5.477113..5.4866447]	Sum	[5.066978..5.8525414]	[5.046168..5.826704]	[5.1703506..5.4748526]	[5.046168..5.8525414]	
					PC 22:6 (4z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/22:6 (4z)	[5.124202..5.792552]	[5.10108..5.7784524]	[5.1843143..5.4673347]	[5.10108..5.792552]	
PC 40:8:0	7.2940826	7.3545194	7.3884106	[7.2940826..7.3884106]	Sum	[7.6780667..8.122266]	[7.7801595..8.129226]	[7.6556535..8.284945]	[7.6556535..8.284945]	
					PC 20:4 (5z-8z)/20:4 (5z-8z)	[7.764779..8.039012]	[7.863589..8.061907]	[7.6763296..8.273567]	[7.6763296..8.273567]	
PC 43:6:0	2.5780811	2.5818586	2.594757	[2.5780811..2.594757]	Sum	[2.3663485..2.5687199]	[2.3035185..2.5416224]	[2.399187..2.5226586]	[2.3035185..2.5687199]	
					PC 22:6 (4z)/21:0	[0.07982447..0.16046804]	[0.028249698..0.11340609]	[0.041169044..0.23052865]	[0.028249698..0.23052865]	
					PC 21:0/22:6 (4z)	[2.2641122..2.4245718]	[2.2458508..2.4357655]	[2.1989112..2.4631484]	[2.1989112..2.4631484]	
PC 44:0:0	9.416676	9.33279	9.409407	[9.33279..9.416676]	Sum	[9.038225..9.6042]	[9.094102..9.626643]	[9.315685..9.727324]	[9.038225..9.727324]	
					PC 22:0/22:0	[9.13987..9.497627]	[9.193064..9.546924]	[9.341283..9.701485]	[9.13987..9.701485]	
PC 44:12:0	9.313269	9.34908	9.391708	[9.313269..9.391708]	Sum	[8.180795..8.82262]	[8.381179..8.890694]	[8.277878..8.752307]	[8.180795..8.890694]	
					PC 22:6 (4z)/22:6 (4z)	[8.271417..8.732187]	[8.4723835..8.817068]	[8.300235..8.740288]	[8.271417..8.817068]	
