Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PI 39:4:0	14.184314	14.287664	14.090872	[14.090872..14.287664]	Sum	[8.870597..10.727273]	[8.856899..9.580379]	[8.800989..10.497555]	[8.800989..10.727273]	
					PI 17:0_22:4 (7z-10z)	[8.870597..10.727273]	[8.856899..9.580379]	[8.800989..10.497555]	[8.800989..10.727273]	
PS 31:1:0	18.06512	17.900717	18.210884	[17.900717..18.210884]	Sum	[12.509579..12.880158]	[12.098749..12.607498]	[11.928483..13.858086]	[11.928483..13.858086]	
					PS 17:0/14:1	[12.509579..12.881367]	[12.120501..12.631861]	[11.91636..13.844029]	[11.91636..13.844029]	
					PS 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 33:1:0	33.628307	34.036514	34.255447	[33.628307..34.255447]	Sum	[23.3171..25.057241]	[21.645962..24.36286]	[22.736845..24.20425]	[21.645962..25.057241]	
					PS 17:0/16:1	[22.704727..24.836275]	[21.154615..24.083094]	[22.758465..24.228971]	[21.154615..24.836275]	
					PS 16:1/17:0	[0.0..0.6457432]	[0.0..0.67432666]	[0.0..0.048457943]	[0.0..0.67432666]	
PS 37:3:0	34.551994	34.26691	33.78211	[33.78211..34.551994]	Sum	[21.036516..22.9131]	[21.62926..24.348835]	[22.098799..23.30416]	[21.036516..24.348835]	
					PS 17:0/20:3 (5z-11z)	[21.03849..22.91498]	[21.592777..24.303814]	[22.076384..23.280476]	[21.03849..24.303814]	
					PS 20:3 (5z-11z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PS 39:4:0	13.754575	13.7958555	13.751562	[13.751562..13.7958555]	Sum	[8.932016..9.905202]	[9.16881..10.392906]	[9.393203..10.456159]	[8.932016..10.456159]	
					PS 17:0/22:4 (7z-10z)	[8.932855..9.906014]	[9.153344..10.2189245]	[9.384415..10.36336]	[8.932855..10.36336]	
					PS 22:4 (7z-10z)/17:0	[0.0..0.0]	[0.0..0.19415955]	[0.0..0.103633605]	[0.0..0.19415955]	
