Species	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	PRI_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_2.mzXML	FAI.FC_20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_3.mzXML	FAI.FC_Group-1
PI 31:1:0	36.52367	36.579697	36.85036	[36.52367..36.85036]	Sum	[37.523163..39.9168]	[36.355343..39.611824]	[34.558117..41.191597]	[34.558117..41.191597]
					PI 14:1_17:0	[37.523163..39.9168]	[36.355343..39.611824]	[34.558117..41.191597]	[34.558117..41.191597]
PI 33:1:0	70.65297	71.14301	70.76907	[70.65297..71.14301]	Sum	[69.09693..72.15156]	[66.50257..69.719986]	[67.0465..79.54605]	[66.50257..79.54605]
					PI 16:1_17:0	[69.09693..72.15156]	[66.50257..69.719986]	[67.0465..79.54605]	[66.50257..79.54605]
PI 35:1:0	85.9	85.9	85.9	[85.9..85.9]	Sum	[85.9..85.9]	[85.899994..85.9]	[85.9..85.9]	[85.899994..85.9]
					PI 17:0_18:1	[85.9..85.9]	[85.899994..85.9]	[85.9..85.9]	[85.899994..85.9]
PI 37:3:0	61.688755	61.944878	61.121494	[61.121494..61.944878]	Sum	[56.732353..66.134094]	[54.09047..65.55843]	[57.23937..65.008965]	[54.09047..66.134094]
					PI 17:0_20:3 (8z)	[56.732353..66.134094]	[54.09047..65.55843]	[57.23937..65.008965]	[54.09047..66.134094]
PI 39:4:0	27.911448	28.282436	27.676998	[27.676998..28.282436]	Sum	[25.891592..31.028654]	[25.1593..27.342436]	[26.937733..29.812004]	[25.1593..31.028654]
					PI 17:0_22:4 (7z)	[25.891592..31.028654]	[25.1593..27.342436]	[26.937733..29.812004]	[25.1593..31.028654]
PS 31:1:0	36.746834	36.363956	37.224617	[36.363956..37.224617]	Sum	[36.082184..37.861263]	[34.802258..39.148838]	[35.445915..42.790424]	[34.802258..42.790424]
					PS 17:0/14:1	[36.082184..37.861263]	[34.802258..39.148838]	[35.445915..42.790424]	[34.802258..42.790424]
					PS 14:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 33:1:0	68.4044	69.14261	70.02109	[68.4044..70.02109]	Sum	[67.527626..72.61399]	[60.983578..70.37758]	[64.0252..74.59536]	[60.983578..74.59536]
					PS 17:0/16:1	[67.527626..72.61399]	[60.983578..70.37758]	[64.0252..74.59536]	[60.983578..74.59536]
					PS 16:1/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 35:1:0	93.4	93.4	93.4	[93.4..93.4]	Sum	[93.4..93.4]	[93.4..93.40001]	[93.4..93.4]	[93.4..93.40001]
					PS 18:1/17:0	[0.0..4.2964005]	[0.0..0.0]	[0.0..0.0]	[0.0..4.2964005]
					PS 17:0/18:1	[89.0811..93.4]	[93.4..93.40001]	[93.4..93.4]	[89.0811..93.40001]
PS 37:3:0	70.28331	69.610634	69.05354	[69.05354..70.28331]	Sum	[62.80888..67.82842]	[64.046715..75.03317]	[63.780506..71.53299]	[62.80888..75.03317]
					PS 17:0/20:3 (8z)	[62.80888..67.82842]	[64.046715..75.03317]	[63.780506..71.53299]	[62.80888..75.03317]
					PS 20:3 (8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
PS 39:4:0	27.978617	28.025238	28.109377	[27.978617..28.109377]	Sum	[27.28086..29.477589]	[28.229876..31.61938]	[27.563189..33.551777]	[27.28086..33.551777]
					PS 17:0/22:4 (7z)	[27.28086..29.477589]	[28.201645..31.61938]	[27.563189..33.551777]	[27.28086..33.551777]
					PS 22:4 (7z)/17:0	[0.0..0.0]	[0.0..0.031619385]	[0.0..0.0]	[0.0..0.031619385]
