Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PE 31:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	508045.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.981..0.984]	[498392.8..499916.97]	[0.287..0.309]	[0.0..0.02]	[0.981..0.981]	[498392.8..498392.8]	[0.286..0.286]	[0.0..0.016]	0.98769516	[492260.16..493765.56]
Group-1	PE 33:1:0	253.22	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	2218809.8	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.963..1.008]	[2136713.8..2236560.2]	[0.735..0.743]	[1.0..1.0]	[1.008..1.008]	[2236560.2..2236560.2]	[0.744..0.744]	[1.0..1.0]	0.954019	[2038465.6..2133721.0]
Group-1	PE 33:1:0	253.22	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	2287457.2	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.983..0.99]	[2248570.5..2264582.8]	[0.719..0.72]	[1.0..1.0]	[0.99..0.99]	[2264582.8..2264582.8]	[0.721..0.721]	[1.0..1.0]	0.954019	[2145179.0..2160455.0]
Group-1	PE 33:1:0	253.22	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	1988197.1	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.984..1.021]	[1956386.0..2029949.2]	[0.703..0.71]	[1.0..1.0]	[1.021..1.021]	[2029949.4..2029949.4]	[0.71..0.71]	[1.0..1.0]	0.954019	[1866429.5..1936610.2]
Group-1	PE 33:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	776698.0	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.993..0.997]	[771261.06..774367.9]	[0.257..0.265]	[0.0..0.0]	[0.993..0.993]	[771261.06..771261.06]	[0.256..0.256]	[0.0..0.0]	0.954019	[735797.75..738761.7]
Group-1	PE 33:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	892927.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.982..0.986]	[876855.1..880426.8]	[0.28..0.281]	[0.0..0.0]	[0.982..0.982]	[876855.1..876855.1]	[0.279..0.279]	[0.0..0.0]	0.954019	[836536.44..839943.94]
Group-1	PE 33:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	844135.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[0.981..0.984]	[828097.1..830629.56]	[0.29..0.297]	[0.0..0.0]	[0.981..0.981]	[828097.1..828097.1]	[0.29..0.29]	[0.0..0.0]	0.954019	[790020.4..792436.4]
Group-1	PE 35:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	25.0	1247317.6	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[0.993..0.993]	[1238586.4..1238586.4]	[0.267..0.267]	[0.0..0.0]	[0.993..0.993]	[1238586.4..1238586.4]	[0.267..0.267]	[0.0..0.0]	0.9227341	[1142885.9..1142885.9]
Group-1	PE 35:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	30.0	1445914.0	0.0	0.0	[0.0..0.0]	[0.0..0.3]	[0.982..0.983]	[1419887.5..1421333.4]	[0.287..0.288]	[0.0..0.0]	[0.982..0.982]	[1419887.5..1419887.5]	[0.287..0.287]	[0.0..0.0]	0.9227341	[1310178.6..1311512.8]
Group-1	PE 35:1:0	269.25	20220709_Ultimate_Neg_MSMS_NCE25_S50_C200_1.mzXML	35.0	1322146.4	0.0	0.0	[0.0..0.0]	[0.3..0.3]	[0.982..0.982]	[1298347.8..1298347.8]	[0.3..0.3]	[0.0..0.0]	[0.982..0.982]	[1298347.8..1298347.8]	[0.3..0.3]	[0.0..0.0]	0.9227341	[1198029.6..1198029.6]
