Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
					PE 18:3 (6z-9z)/18:1	[0.007765664..0.023887942]	[0.010638964..0.029933682]	[0.011753223..0.024749907]	[0.007765664..0.029933682]	
					PE 18:2/18:2	[0.13349986..0.1434195]	[0.14675944..0.15880916]	[0.13767551..0.14490885]	[0.13349986..0.15880916]	
PE 36:5:0	0.069316514	0.08817501	0.0856439	[0.069316514..0.08817501]	Sum	[0.072270036..0.09205067]	[0.09318098..0.112693235]	[0.08301219..0.124673665]	[0.072270036..0.124673665]	
					PE 22:5 (4z-7z)/14:0	[0.0..0.001657729]	[0.0..0.00461359]	[0.0..0.0039693383]	[0.0..0.00461359]	
					PE 14:0/22:5 (4z-7z)	[0.0017237882..0.0050540515]	[0.0..0.00461359]	[0.0..0.0039693383]	[0.0..0.0050540515]	
					PE 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0019007308]	[0.0..0.006841554]	[0.0..0.006841554]	
					PE 16:1/20:4 (5z-8z)	[0.018204974..0.022701386]	[0.0148132..0.022361537]	[0.011558333..0.02426083]	[0.011558333..0.02426083]	
					PE 20:5 (5z)/16:0	[0.031129621..0.045959305]	[0.052336253..0.06547198]	[0.046093117..0.0664014]	[0.031129621..0.0664014]	
					PE 16:0/20:5 (5z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:3 (6z-9z)/18:2	[0.0192865..0.020836415]	[0.019073164..0.019927952]	[0.020351859..0.021830438]	[0.019073164..0.021830438]	
					PE 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 37:1:0	0.17453885	0.17445955	0.18356504	[0.17445955..0.18356504]	Sum	[0.56500316..0.67177665]	[0.6154927..0.7337275]	[0.61946183..0.71452194]	[0.56500316..0.7337275]	
					PE 20:1/17:0	[0.0..0.0]	[0.0..9.466587E-4]	[0.0..8.3733886E-4]	[0.0..9.466587E-4]	
					PE 17:0/20:1	[0.016250117..0.017813835]	[0.014462054..0.018204974]	[0.015123406..0.016746778]	[0.014462054..0.018204974]	
					PE 19:0/18:1	[0.22255783..0.24881393]	[0.2601994..0.29807788]	[0.26078588..0.2932962]	[0.22255783..0.29807788]	
					PE 18:1/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 19:1/18:0	[0.3239387..0.4048632]	[0.34113693..0.41278476]	[0.34310865..0.4032837]	[0.3239387..0.41278476]	
					PE 18:0/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 38:1:0	0.108870424	0.10860056	0.12700547	[0.10860056..0.12700547]	Sum	[0.4422293..0.5038589]	[0.5585992..0.6259528]	[0.5623632..0.57996047]	[0.4422293..0.6259528]	
					PE 20:0/18:1	[0.21576208..0.23647498]	[0.31000566..0.32976627]	[0.2869554..0.31811857]	[0.21576208..0.32976627]	
					PE 18:1/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 20:1/18:0	[0.17560758..0.2603378]	[0.2291323..0.29112944]	[0.2383373..0.2800379]	[0.17560758..0.29112944]	
					PE 18:0/20:1	[0.0056941495..0.061146002]	[0.0..0.019214543]	[0.0..0.027163683]	[0.0..0.061146002]	
PE 38:4:0	21.391396	21.220913	21.201084	[21.201084..21.391396]	Sum	[13.984031..16.012209]	[13.27977..14.594333]	[12.455118..15.452114]	[12.455118..16.012209]	
					PE 22:4 (7z-10z)/16:0	[0.0..0.045778442]	[0.0..0.1138289]	[0.008490942..0.104002774]	[0.0..0.1138289]	
					PE 16:0/22:4 (7z-10z)	[0.11818843..0.19732088]	[0.098842844..0.2463829]	[0.091702186..0.21478835]	[0.091702186..0.2463829]	
					PE 20:3 (5z-11z)/18:1	[0.0..0.0071777613]	[0.0..0.0052097696]	[0.0..5.879251E-4]	[0.0..0.0071777613]	
					PE 18:1/20:3 (5z-11z)	[0.05449221..0.08647906]	[0.043305397..0.080150306]	[0.04394139..0.07349063]	[0.043305397..0.08647906]	
					PE 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:0/20:4 (5z-8z)	[13.746283..15.735971]	[12.977502..14.306908]	[12.243202..15.14065]	[12.243202..15.735971]	
PE 38:5:0	3.9167783	3.958134	4.0187335	[3.9167783..4.0187335]	Sum	[2.8228338..3.1925385]	[2.6490626..3.350495]	[2.7861795..3.2623005]	[2.6490626..3.350495]	
					PE 22:5 (4z-7z)/16:0	[0.0..0.041010715]	[0.0..0.1874382]	[0.0..0.1542039]	[0.0..0.1874382]	
					PE 16:0/22:5 (4z-7z)	[2.1867387..2.4175785]	[1.9913961..2.4030538]	[2.082729..2.3723679]	[1.9913961..2.4175785]	
					PE 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.014742283]	[0.0..0.0]	[0.0..0.014742283]	
					PE 18:1/20:4 (5z-8z)	[0.62310964..0.75973374]	[0.6350149..0.77590966]	[0.67853504..0.7685521]	[0.62310964..0.77590966]	
PE 38:6:0	2.1337883	2.1179547	2.146568	[2.1179547..2.146568]	Sum	[1.3319032..1.7128901]	[1.6947714..1.9156553]	[1.5143175..1.7619821]	[1.3319032..1.9156553]	
					PE 22:6 (4z)/16:0	[0.3195121..0.83980674]	[0.57818395..0.9750961]	[0.49992615..1.0490624]	[0.3195121..1.0490624]	
					PE 16:0/22:6 (4z)	[0.64565307..1.242521]	[0.7736732..1.1909711]	[0.5760343..1.1361995]	[0.5760343..1.242521]	
					PE 20:4 (5z-8z)/18:2	[0.0..0.04213704]	[0.0014245732..0.02280155]	[0.0..0.032606304]	[0.0..0.04213704]	
					PE 18:2/20:4 (5z-8z)	[0.0..0.04213704]	[0.019516654..0.04842807]	[0.007971986..0.043187153]	[0.0..0.04842807]	
PE 40:4:0	-3.5877129E-6	-4.139409E-6	-4.285598E-6	[-4.285598E-6..-3.5877129E-6]	Sum	[0.46640387..0.7225223]	[0.46572083..0.8078592]	[0.4991896..0.80516636]	[0.46572083..0.8078592]	
					PE 24:4 (9z)/16:0	[0.14062795..0.15043762]	[0.20358309..0.22545353]	[0.17953677..0.20857677]	[0.14062795..0.22545353]	
