Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
					PE 18:0-20:1	[0.32031548..0.32031548]	[0.33505437..0.33505437]	[0.3315561..0.3315561]	[0.32031548..0.33505437]	
PE 38:4:0	21.391396	21.220913	21.201084	[21.201084..21.391396]	Sum	[7.832775..7.832775]	[7.5381866..7.5381866]	[7.121152..7.121152]	[7.121152..7.832775]	
					PE 16:0-22:4 (0z-10z)	[0.13099235..0.13099235]	[0.1904131..0.1904131]	[0.14862819..0.14862819]	[0.13099235..0.1904131]	
					PE 18:1-20:3 (0z-11z)	[0.059155498..0.059155498]	[0.046588633..0.046588633]	[0.04255772..0.04255772]	[0.04255772..0.059155498]	
					PE 18:0-20:4 (0z-8z)	[7.6426306..7.6426306]	[7.3011837..7.3011837]	[6.9299655..6.9299655]	[6.9299655..7.6426306]	
PE 38:5:0	3.9167783	3.958134	4.0187335	[3.9167783..4.0187335]	Sum	[1.3548185..1.3548185]	[1.4242495..1.4242495]	[1.4236443..1.4236443]	[1.3548185..1.4242495]	
					PE 16:0-22:5 (0z-7z)	[0.9965759..0.9965759]	[1.0210598..1.0210598]	[1.0244274..1.0244274]	[0.9965759..1.0244274]	
					PE 18:1-20:4 (0z-8z)	[0.35824323..0.35824323]	[0.40318972..0.40318972]	[0.39921674..0.39921674]	[0.35824323..0.40318972]	
PE 38:6:0	2.1337883	2.1179547	2.146568	[2.1179547..2.146568]	Sum	[0.799117..0.799117]	[1.0118676..1.0118676]	[0.9569269..0.9569269]	[0.799117..1.0118676]	
					PE 16:0-22:6	[0.77985513..0.77985513]	[0.9810158..0.9810158]	[0.92882526..0.92882526]	[0.77985513..0.9810158]	
					PE 18:2-20:4 (0z-8z)	[0.019262314..0.019262314]	[0.030851707..0.030851707]	[0.028101645..0.028101645]	[0.019262314..0.030851707]	
PE 40:4:0	-3.5877129E-6	-4.139409E-6	-4.285598E-6	[-4.285598E-6..-3.5877129E-6]	Sum	[0.5569211..0.5569211]	[0.6352304..0.6352304]	[0.6296692..0.6296692]	[0.5569211..0.6352304]	
