PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:240116_PG_FTMSMS-_1.mzXML,PRI:240116_PG_FTMSMS-_2.mzXML,PRI:240116_PG_FTMSMS-_3.mzXML,PRI:240116_PG_FTMSMS-_4.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:240116_PG_FTMSMS-_1.mzXML,FA1I:240116_PG_FTMSMS-_2.mzXML,FA1I:240116_PG_FTMSMS-_3.mzXML,FA1I:240116_PG_FTMSMS-_4.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:240116_PG_FTMSMS-_1.mzXML,FA2I:240116_PG_FTMSMS-_2.mzXML,FA2I:240116_PG_FTMSMS-_3.mzXML,FA2I:240116_PG_FTMSMS-_4.mzXML,FACO2M,FACO2I:240116_PG_FTMSMS-_1.mzXML,FACO2I:240116_PG_FTMSMS-_2.mzXML,FACO2I:240116_PG_FTMSMS-_3.mzXML,FACO2I:240116_PG_FTMSMS-_4.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731.487843778,H72 C39 O10 P1 ,PG,33,2,0,PG 33:2:0,1.34,135238.3,164511.1,155213.4,180280.2,255.233016968,16,0,0.24,9497.7,12546.8,15318.9,11967.8,265.217498779,17,2,0.73,11988.9,12331.1,13538.3,12607.1,None, None, None, None, None
733.503728178,H74 C39 O10 P1 ,PG,33,1,0,PG 33:1:0,1.66,382103.9,389447.2,396450.4,377230.4,241.217205048,15,0,-0.42,63178.1,64832.3,60643.5,67325.1,281.248710632,18,1,0.37,277837.0,298260.2,302477.5,300494.2,None, None, None, None, None
733.503728178,H74 C39 O10 P1 ,PG,33,1,0,PG 33:1:0,1.66,382103.9,389447.2,396450.4,377230.4,253.217376709,16,1,0.28,11578.0,13464.3,12344.2,13282.0,269.248825073,17,0,0.82,5403.8,5624.3,5685.9,5429.8,None, None, None, None, None
733.503728178,H74 C39 O10 P1 ,PG,33,1,0,PG 33:1:0,1.66,382103.9,389447.2,396450.4,377230.4,255.233016968,16,0,0.24,90821.9,98809.9,94341.5,90874.0,267.233146667,17,1,0.72,182592.0,188108.2,200383.0,196704.2,None, None, None, None, None
735.519353178,H76 C39 O10 P1 ,PG,33,0,0,PG 33:0:0,1.62,37108.5,42318.7,43697.0,47348.3,241.217208862,15,0,-0.40,1509.4,2078.4,1675.7,2004.2,283.264358521,18,0,0.36,4375.8,4978.1,5439.1,4598.0,None, None, None, None, None
735.519353178,H76 C39 O10 P1 ,PG,33,0,0,PG 33:0:0,1.62,37108.5,42318.7,43697.0,47348.3,255.233028412,16,0,0.29,23822.0,25603.6,25564.5,24620.2,269.248832703,17,0,0.84,29292.4,30255.7,30859.3,31699.6,None, None, None, None, None
741.472768095,H70 C40 O10 P1 ,PG,34,4,0,PG 34:4:0,2.10,69445.6,64074.4,58912.1,78071.6,227.201381683,14,0,-1.20,6302.0,6259.0,6366.6,6756.4,303.233100891,20,4,0.48,18057.7,19582.7,18953.5,19394.2,None, None, None, None, None
741.472768095,H70 C40 O10 P1 ,PG,34,4,0,PG 34:4:0,2.10,69445.6,64074.4,58912.1,78071.6,249.186004639,16,3,-0.00,2033.8,1880.9,1745.5,1864.4,281.248748779,18,1,0.51,13356.6,12707.9,14161.2,13871.1,None, None, None, None, None
741.472768095,H70 C40 O10 P1 ,PG,34,4,0,PG 34:4:0,2.10,69445.6,64074.4,58912.1,78071.6,251.201686859,16,2,0.13,4622.5,4466.1,4762.0,5188.7,279.233085632,18,2,0.47,23575.3,25960.0,26002.8,24864.9,None, None, None, None, None
741.472768095,H70 C40 O10 P1 ,PG,34,4,0,PG 34:4:0,2.10,69445.6,64074.4,58912.1,78071.6,253.217357635,16,1,0.21,3834.3,3854.8,3936.3,3893.2,277.217407227,18,3,0.37,10622.5,10880.6,11382.2,11503.5,None, None, None, None, None
741.472768095,H70 C40 O10 P1 ,PG,34,4,0,PG 34:4:0,2.10,69445.6,64074.4,58912.1,78071.6,255.233043671,16,0,0.35,3434.6,3716.6,3622.7,3073.7,275.201728821,18,4,0.27,1139.4,1460.6,1167.5,1509.4,None, None, None, None, None
743.488225248,H72 C40 O10 P1 ,PG,34,3,0,PG 34:3:0,1.84,1360865.7,1531880.3,1493744.2,1507638.7,251.201649984,16,2,-0.02,0.0,9770.0,10454.5,9358.3,281.24874115,18,1,0.48,38608.8,41495.4,45155.1,41373.9,None, None, None, None, None
743.488225248,H72 C40 O10 P1 ,PG,34,3,0,PG 34:3:0,1.84,1360865.7,1531880.3,1493744.2,1507638.7,253.21736145,16,1,0.22,277820.8,294559.7,281520.1,289823.8,279.233062744,18,2,0.39,823233.1,865376.0,858359.6,871596.1,None, None, None, None, None
743.488225248,H72 C40 O10 P1 ,PG,34,3,0,PG 34:3:0,1.84,1360865.7,1531880.3,1493744.2,1507638.7,255.233024597,16,0,0.27,193860.8,216217.3,220275.7,208747.9,277.217407227,18,3,0.37,636684.0,682436.6,673615.0,659528.8,None, None, None, None, None
