Group	Specie	Mz	Sample	CE	C.FAI	C.COI	FA-CO.ratio	FA_Isomer	1st Pos	1st CF	1st C.FAI	1st rel_FAI	2nd Pos	2nd CF	2nd C.FAI	2nd rel_FAI	3rd Pos	TX.CF	C.FAI with TX.CF
Group-1	PG 30:1:0	227.2	240116_PG_FTMSMS-_4.mzXML	35.0	7110.7	0.0	0.0	[0.0..0.0]	[0.0..0.0]	[1.016..1.016]	[7224.472..7224.472]	[0.331..0.331]	[0.05..0.11]	[1.016..1.016]	[7224.4717..7224.4717]	[0.331..0.331]	[0.046..0.109]	0.9730279	[7029.6123..7029.6123]
Group-1	PG 30:1:0	253.22	240116_PG_FTMSMS-_4.mzXML	25.0	10630.5	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[1.014..1.014]	[10779.327..10779.327]	[0.697..0.697]	[0.89..0.95]	[1.014..1.014]	[10779.327..10779.327]	[0.697..0.697]	[0.891..0.954]	0.9730279	[10488.586..10488.586]
Group-1	PG 30:1:0	253.22	240116_PG_FTMSMS-_4.mzXML	30.0	14698.3	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[1.013..1.013]	[14889.378..14889.378]	[0.687..0.687]	[0.89..0.95]	[1.013..1.013]	[14889.378..14889.378]	[0.687..0.687]	[0.891..0.954]	0.9730279	[14487.779..14487.779]
Group-1	PG 30:1:0	253.22	240116_PG_FTMSMS-_4.mzXML	35.0	14313.0	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[1.021..1.021]	[14613.573..14613.573]	[0.669..0.669]	[0.89..0.95]	[1.021..1.021]	[14613.573..14613.573]	[0.669..0.669]	[0.891..0.954]	0.9730279	[14219.414..14219.414]
Group-1	PG 30:1:0	255.23	240116_PG_FTMSMS-_4.mzXML	25.0	5525.1	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[5525.1..5525.1]	[0.422..0.424]	[0.32..0.46]	[1.0..1.0]	[5525.1..5525.1]	[0.422..0.423]	[0.32..0.456]	0.9730279	[5376.0767..5376.0767]
Group-1	PG 30:1:0	255.23	240116_PG_FTMSMS-_4.mzXML	30.0	8711.8	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[8711.8..8711.8]	[0.459..0.463]	[0.32..0.46]	[1.0..1.0]	[8711.8..8711.8]	[0.46..0.461]	[0.32..0.456]	0.9730279	[8476.824..8476.824]
Group-1	PG 30:1:0	255.23	240116_PG_FTMSMS-_4.mzXML	35.0	9506.7	0.0	0.0	[0.0..0.0]	[0.0..1.0]	[1.0..1.0]	[9506.7..9506.7]	[0.474..0.481]	[0.32..0.46]	[1.0..1.0]	[9506.7..9506.7]	[0.476..0.477]	[0.32..0.456]	0.9730279	[9250.284..9250.284]
Group-1	PG 30:1:0	281.25	240116_PG_FTMSMS-_4.mzXML	25.0	3027.8	0.0	0.0	[9.0..9.0]	[1.0..1.0]	[0.958..0.958]	[2900.633..2900.633]	[0.834..0.834]	[1.0..1.0]	[0.958..0.958]	[2900.6326..2900.6326]	[0.834..0.834]	[1.0..1.0]	0.9730279	[2822.3962..2822.3962]
Group-1	PG 30:1:0	281.25	240116_PG_FTMSMS-_4.mzXML	30.0	3658.3	0.0	0.0	[9.0..9.0]	[0.0..0.0]	[0.911..0.911]	[3332.712..3332.712]	[0.765..0.765]	[1.0..1.0]	[0.911..0.911]	[3332.7114..3332.7114]	[0.765..0.765]	[1.0..1.0]	0.9730279	[3242.821..3242.821]
Group-1	PG 30:1:0	281.25	240116_PG_FTMSMS-_4.mzXML	35.0	4109.2	0.0	0.0	[9.0..9.0]	[0.0..1.0]	[0.912..0.936]	[3747.591..3846.212]	[0.794..0.801]	[1.0..1.0]	[0.936..0.936]	[3846.2114..3846.2114]	[0.805..0.805]	[1.0..1.0]	0.9730279	[3646.5103..3742.471]
