PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,PRI:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,PRI:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FA1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FA1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FA2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FA2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FACO1M,FACO1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FACO1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FACO1I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML,FACO2M,FACO2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML,FACO2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML,FACO2I:20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML
920.63955,H91 C52 N1 O10 P1 ,PC,43,6,0,PC 43:6:0,1.02,306237.4,333634.4,325578.9,325.311381,21,0,0.54,111617.4,123441.9,116106.8,327.2331441,22,6,0.58,115661.2,128590.9,117085.1,None, None, None, None, None, None, None, None
922.5612216,H81 C53 N1 O10 P1 ,PC,44,12,0,PC 44:12:0,0.93,1106276.8,1208112.1,1178431,327.2331543,22,6,0.61,545228.5,616335,564069.2,327.2331543,22,6,0.61,545228.5,616335,564069.2,None, None, None, None, None, None, None, None
946.7484571,H105 C53 N1 O10 P1 ,PC,44,0,0,PC 44:0:0,0.31,1118559.9,1206007.1,1180651.7,339.3239246,22,0,0.2,1248269.4,1439577.6,1321964.9,339.3239246,22,0,0.2,1248269.4,1439577.6,1321964.9,None, None, None, None, None, None, None, None
###,PCCOCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
874.5609164,H81 C49 N1 O10 P1 ,PC,40,8,0,PC 40:8:0,0.64,866427.7,950369.9,927065.9,303.2331034,20,4,0.49,837827.3,940647,891242.2,303.2331034,20,4,0.49,837827.3,940647,891242.2,259.2431641,45687.5,50516.9,45870.8,259.2431641,45687.5,50516.9,45870.8
922.5612216,H81 C53 N1 O10 P1 ,PC,44,12,0,PC 44:12:0,0.93,1106276.8,1208112.1,1178431,327.2331543,22,6,0.61,545228.5,616335,564069.2,327.2331543,22,6,0.61,545228.5,616335,564069.2,283.2432556,206558.8,238944.2,215300.2,283.2432556,206558.8,238944.2,215300.2
###,PCCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826.5614454,H81 C45 N1 O10 P1 ,PC,36,4,0,PC 36:4:0,1.31,1105335.8,1211718.1,1166505.9,255.2329305,16,0,-0.1,360570.1,388156.5,371643.2,303.2331136,20,4,0.52,426153,485261.6,434494.4,None, None, None, None,259.2431539,20986.3,23938.9,21173.9
840.5761549,H83 C46 N1 O10 P1 ,PC,37,4,0,PC 37:4:0,0.17,495812.2,540402.7,523380.3,269.2487793,17,0,0.65,125309,143007.6,129762.6,303.2331136,20,4,0.52,329376.4,371319.2,337748.6,None, None, None, None,259.2431641,16829.9,18124.8,15973.4
850.5606316,H81 C47 N1 O10 P1 ,PC,38,6,0,PC 38:6:0,0.32,875746.8,964868.8,930767.3,255.2329305,16,0,-0.1,530557.7,582725.5,555368.5,327.2331746,22,6,0.67,205421.1,229515.7,209493.3,None, None, None, None,283.2432556,66659.1,80491.9,72349.7
