Species	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	PRI_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	PRI_Group-1	Mspecies	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S1.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S2.mzXML	FAI.FC_20171128_FTMS-DIA_interlab_QE-MPI_PC_S3.mzXML	FAI.FC_Group-1
					PC 18:0/18:2	[4.235631..4.50417]	[4.2084107..4.6640077]	[4.204364..4.738129]	[4.204364..4.738129]	
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.027984045]	[0.0..0.0]	[0.0..0.027984045]	
PC 36:4:0	9.597436	9.658067	9.5787	[9.5787..9.658067]	Sum	[8.054791..10.664401]	[7.879232..10.513681]	[8.964612..9.833047]	[7.879232..10.664401]	
					PC 20:4 (5z-8z)/16:0	[1.528122..2.8476236]	[1.5179921..2.786071]	[1.7564548..2.1500394]	[1.5179921..2.8476236]	
					PC 16:0/20:4 (5z-8z)	[4.0462008..5.607852]	[3.953239..5.493155]	[4.816529..5.367883]	[3.953239..5.607852]	
					PC 18:2/18:2	[2.3188472..2.3958814]	[2.2914226..2.4083083]	[2.265634..2.3851635]	[2.265634..2.4083083]	
PC 36:6:0	4.9911985	4.973649	4.90641	[4.90641..4.9911985]	Sum	[5.031825..6.3195505]	[4.980654..6.3645334]	[4.875802..6.386485]	[4.875802..6.386485]	
					PC 18:3 (6z-9z)/18:3 (6z-9z)	[5.0884137..6.2531857]	[5.029572..6.2993755]	[4.8849607..6.369309]	[4.8849607..6.369309]	
PC 37:4:0	4.3050504	4.3073096	4.2977085	[4.2977085..4.3073096]	Sum	[4.1135025..4.3268485]	[4.036249..4.3696394]	[3.9664085..4.2727513]	[3.9664085..4.3696394]	
					PC 20:4 (5z-8z)/17:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 17:0/20:4 (5z-8z)	[4.069651..4.2824974]	[4.0314937..4.3334537]	[3.9557412..4.2668843]	[3.9557412..4.3334537]	
PC 38:4:0	2.5828946	2.5683594	2.558123	[2.558123..2.5828946]	Sum	[2.288308..2.5363815]	[2.108588..2.434218]	[2.1960099..2.5084145]	[2.108588..2.5363815]	
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.012242323]	[0.0..0.0]	[0.0..0.012242323]	
					PC 18:0/20:4 (5z-8z)	[2.2642775..2.5135784]	[2.0911264..2.4484646]	[2.1929944..2.515307]	[2.0911264..2.515307]	
PC 38:6:0	7.603956	7.690541	7.642945	[7.603956..7.690541]	Sum	[6.7186713..7.4923863]	[6.669815..7.433473]	[6.724342..7.511935]	[6.669815..7.511935]	
					PC 16:0/22:6 (4z)	[1.8474772..2.5676527]	[1.8131607..2.7109895]	[1.6730385..2.845317]	[1.6730385..2.845317]	
					PC 22:6 (4z)/16:0	[4.464164..5.362726]	[4.3284097..5.451689]	[4.2506056..5.720984]	[4.2506056..5.720984]	
PC 40:6:0	5.649036	5.647358	5.6530914	[5.647358..5.6530914]	Sum	[5.066978..5.8525414]	[5.046168..5.826704]	[5.1703506..5.4748526]	[5.046168..5.8525414]	
					PC 22:6 (4z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/22:6 (4z)	[5.124202..5.792552]	[5.10108..5.7784524]	[5.1843143..5.4673347]	[5.10108..5.792552]	
PC 40:8:0	7.523039	7.5749755	7.612551	[7.523039..7.612551]	Sum	[7.6780667..8.122266]	[7.7801595..8.129226]	[7.6556535..8.284945]	[7.6556535..8.284945]	
					PC 20:4 (5z-8z)/20:4 (5z-8z)	[7.764779..8.039012]	[7.863589..8.061907]	[7.6763296..8.273567]	[7.6763296..8.273567]	
PC 43:6:0	2.6590054	2.6592515	2.6734734	[2.6590054..2.6734734]	Sum	[2.3663485..2.5687199]	[2.3035185..2.5416224]	[2.399187..2.5226586]	[2.3035185..2.5687199]	
					PC 22:6 (4z)/21:0	[0.07982447..0.16046804]	[0.028249698..0.11340609]	[0.041169044..0.23052865]	[0.028249698..0.23052865]	
					PC 21:0/22:6 (4z)	[2.2641122..2.4245718]	[2.2458508..2.4357655]	[2.1989112..2.4631484]	[2.1989112..2.4631484]	
PC 44:0:0	9.712258	9.612547	9.694858	[9.612547..9.712258]	Sum	[9.038225..9.6042]	[9.094102..9.626643]	[9.315685..9.727324]	[9.038225..9.727324]	
					PC 22:0/22:0	[9.13987..9.497627]	[9.193064..9.546924]	[9.341283..9.701485]	[9.13987..9.701485]	
PC 44:12:0	9.605607	9.629325	9.676621	[9.605607..9.676621]	Sum	[8.180795..8.82262]	[8.381179..8.890694]	[8.277878..8.752307]	[8.180795..8.890694]	
					PC 22:6 (4z)/22:6 (4z)	[8.271417..8.732187]	[8.4723835..8.817068]	[8.300235..8.740288]	[8.271417..8.817068]	
