Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 20:1/16:1	[0.023609173..0.039940547]	[0.022809848..0.03466218]	[0.030961882..0.045393985]	[0.022809848..0.045393985]	
					PC 16:1/20:1	[0.0057711313..0.02116665]	[0.009047906..0.01819537]	[0.005736925..0.015305451]	[0.005736925..0.02116665]	
					PC 20:2/16:0	[0.18085238..0.21444072]	[0.16989936..0.20374958]	[0.20488831..0.24491623]	[0.16989936..0.24491623]	
					PC 16:0/20:2	[0.08852709..0.1172194]	[0.100422665..0.1340057]	[0.06990641..0.0906255]	[0.06990641..0.1340057]	
					PC 18:0/18:2	[0.57270503..0.6252414]	[0.528577..0.5794548]	[0.56148165..0.6197542]	[0.528577..0.6252414]	
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:1/18:1	[3.0430937..3.1307895]	[2.8684485..3.0191293]	[2.9163222..3.0905056]	[2.8684485..3.1307895]	
PC 36:3:0	0.4361961	0.42867336	0.44406694	[0.42867336..0.44406694]	Sum	[0.4020156..0.6237431]	[0.41596386..0.64198047]	[0.38997522..0.62577057]	[0.38997522..0.64198047]	
					PC 20:3 (5z-11z)/16:0	[0.054980546..0.14698349]	[0.053078484..0.15677837]	[0.060073264..0.17138728]	[0.053078484..0.17138728]	
					PC 16:0/20:3 (5z-11z)	[0.16380213..0.27909568]	[0.16753823..0.2958966]	[0.13516484..0.26471698]	[0.13516484..0.2958966]	
					PC 18:1/18:2	[0.08170898..0.10099375]	[0.08147352..0.0958806]	[0.08680072..0.11236974]	[0.08147352..0.11236974]	
