Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
PC 36:3:0	1.6003075	1.5358119	1.7110779	[1.5358119..1.7110779]	Sum	[1.5158641..2.3145761]	[1.5471503..2.4227984]	[1.372148..2.31984]	[1.372148..2.4227984]	
					PC 20:3 (5z-11z)/16:0	[0.20775054..0.5592314]	[0.19806415..0.58942497]	[0.2119064..0.62512517]	[0.19806415..0.62512517]	
					PC 16:0/20:3 (5z-11z)	[0.6189459..1.0618817]	[0.6251745..1.1124549]	[0.47678944..0.96553993]	[0.47678944..1.1124549]	
					PC 18:1/18:2	[0.30874714..0.37239522]	[0.30149287..0.36367306]	[0.3061866..0.41518348]	[0.30149287..0.41518348]	
					PC 18:2/18:1	[0.35561052..0.4247152]	[0.35682568..0.4207485]	[0.30687..0.41593698]	[0.30687..0.4247152]	
PC 36:4:0	6.932589	6.660237	7.3395624	[6.660237..7.3395624]	Sum	[7.2768016..7.9132767]	[7.086011..7.5833855]	[7.005259..7.503211]	[7.005259..7.9132767]	
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/20:4 (5z-8z)	[7.260314..7.8994107]	[7.0612435..7.5619216]	[6.983151..7.503211]	[6.983151..7.8994107]	
					PC 18:2/18:2	[0.013746895..0.020383528]	[0.021279981..0.027181923]	[0.0..0.022202685]	[0.0..0.027181923]	
PC 38:1:0	1.6401316	1.5266162	1.7708473	[1.5266162..1.7708473]	Sum	[1.7312938..1.835724]	[1.8631287..1.8865087]	[1.7709435..1.9188497]	[1.7312938..1.9188497]	
					PC 22:1/16:0	[0.037262417..0.084056035]	[0.06061886..0.09816716]	[0.02775845..0.08109793]	[0.02775845..0.09816716]	
					PC 16:0/22:1	[0.14294821..0.20256527]	[0.13661206..0.18802388]	[0.15335405..0.21841712]	[0.13661206..0.21841712]	
					PC 20:0/18:1	[0.22993228..0.31506377]	[0.29983905..0.37288502]	[0.33020014..0.37580574]	[0.22993228..0.37580574]	
					PC 18:1/20:0	[0.014304544..0.04396239]	[9.852324E-4..0.03253861]	[0.0..7.516115E-4]	[0.0..0.04396239]	
					PC 20:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:1	[1.2130044..1.2930274]	[1.2767148..1.2953577]	[1.1864438..1.3093026]	[1.1864438..1.3093026]	
PC 38:2:0	1.7436571	1.7265444	1.8639662	[1.7265444..1.8639662]	Sum	[1.7215035..1.7736211]	[1.8223754..1.8849243]	[1.8776797..1.9722301]	[1.7215035..1.9722301]	
					PC 22:1/16:1	[0.0..0.0033689986]	[0.0..0.0060602115]	[0.0..0.0]	[0.0..0.0060602115]	
					PC 16:1/22:1	[0.025905589..0.032708723]	[0.018162176..0.045910694]	[0.02511366..0.039320488]	[0.018162176..0.045910694]	
					PC 22:2/16:0	[0.022483017..0.060233142]	[0.01727748..0.064435445]	[0.026038677..0.07832511]	[0.01727748..0.07832511]	
					PC 16:0/22:2	[0.052356288..0.09501565]	[0.06539046..0.121223606]	[0.0511474..0.10853623]	[0.0511474..0.121223606]	
					PC 20:1/18:1	[0.8875987..0.96594554]	[0.95602906..1.0916929]	[0.99900436..1.2764366]	[0.8875987..1.2764366]	
					PC 18:1/20:1	[0.2811952..0.34372604]	[0.22212088..0.34765613]	[0.11439998..0.34773818]	[0.11439998..0.34773818]	
					PC 20:2/18:0	[0.0..0.0]	[0.0..0.013052254]	[0.0..0.04655708]	[0.0..0.04655708]	
					PC 18:0/20:2	[0.33912617..0.38256794]	[0.3696054..0.39552286]	[0.3533977..0.41200954]	[0.33912617..0.41200954]	
PC 38:3:0	-7.712036E-5	-8.908565E-5	-7.666559E-5	[-8.908565E-5..-7.666559E-5]	Sum	[1.0596532..1.3538826]	[1.1179599..1.3936605]	[1.0946455..1.2973313]	[1.0596532..1.3936605]	
					PC 22:3 (13z)/16:0	[0.028078131..0.06888852]	[0.020521363..0.078678556]	[0.03822022..0.07623358]	[0.020521363..0.078678556]	
					PC 16:0/22:3 (13z)	[0.074695885..0.122727074]	[0.06801735..0.13989149]	[0.073630124..0.11659253]	[0.06801735..0.13989149]	
					PC 20:1/18:2	[0.028624788..0.04311344]	[0.020122254..0.048095327]	[0.024795422..0.043807816]	[0.020122254..0.048095327]	
					PC 18:2/20:1	[0.0..0.004914932]	[0.0..0.005434772]	[0.0..0.0]	[0.0..0.005434772]	
					PC 20:2/18:1	[0.14910388..0.22335826]	[0.1721186..0.22471872]	[0.19239882..0.2542237]	[0.14910388..0.2542237]	
					PC 18:1/20:2	[0.019772908..0.06463027]	[0.02067164..0.051896375]	[0.0..0.028981503]	[0.0..0.06463027]	
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:3 (5z-11z)	[0.67405856..0.93896824]	[0.7315341..0.98916703]	[0.66674924..0.87328494]	[0.66674924..0.98916703]	
PC 38:4:0	8.899433	8.584011	9.524631	[8.584011..9.524631]	Sum	[8.601119..10.008458]	[9.043442..10.098496]	[8.204464..10.034135]	[8.204464..10.098496]	
					PC 22:4 (7z-10z)/16:0	[0.0..0.2606163]	[0.028028298..0.2811574]	[0.0..0.31356168]	[0.0..0.31356168]	
					PC 16:0/22:4 (7z-10z)	[1.1800706..1.7145809]	[1.2317699..1.6716084]	[1.0882218..1.6768004]	[1.0882218..1.7145809]	
					PC 20:3 (5z-11z)/18:1	[0.0046421345..0.10446143]	[0.044671323..0.11847366]	[0.049264114..0.15285175]	[0.0046421345..0.15285175]	
					PC 18:1/20:3 (5z-11z)	[0.11373229..0.24746205]	[0.10661556..0.19830902]	[0.08383178..0.19575301]	[0.08383178..0.24746205]	
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:4 (5z-8z)	[7.2430906..7.681338]	[7.6233788..7.8660436]	[6.983146..7.6951675]	[6.983146..7.8660436]	
PC 38:5:0	3.0524497	2.9240732	3.2294357	[2.9240732..3.2294357]	Sum	[2.7807724..3.5571682]	[2.4352996..4.050039]	[2.5099905..3.5299644]	[2.4352996..4.050039]	
					PC 22:5 (4z-7z)/16:0	[0.35616815..0.67487276]	[0.14193094..0.8416077]	[0.3366947..0.6623816]	[0.14193094..0.8416077]	
					PC 16:0/22:5 (4z-7z)	[0.966742..1.3913596]	[0.9042117..1.7706805]	[0.9759492..1.3979644]	[0.9042117..1.7706805]	
					PC 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:1/20:4 (5z-8z)	[1.345992..1.490936]	[1.3030667..1.5312976]	[1.1973467..1.4696186]	[1.1973467..1.5312976]	
PC 38:6:0	3.2468228	3.2511759	3.361479	[3.2468228..3.361479]	Sum	[3.2415147..3.5258791]	[3.4244194..3.8615003]	[3.1272116..3.7424204]	[3.1272116..3.8615003]	
					PC 22:6 (4z)/16:0	[0.31861565..0.69524175]	[0.2993037..0.6240275]	[0.43648604..0.8645117]	[0.2993037..0.8645117]	
					PC 16:0/22:6 (4z)	[2.5811083..3.1637013]	[2.8795083..3.4953194]	[2.4085238..3.1946123]	[2.4085238..3.4953194]	
PC 40:2:0	0.34587198	0.3034406	0.36480466	[0.3034406..0.36480466]	Sum	[0.31637383..0.34106487]	[0.33687305..0.3615315]	[0.30905202..0.3647845]	[0.30905202..0.3647845]	
					PC 22:1/18:1	[0.096830785..0.11398788]	[0.104807705..0.1273781]	[0.084726855..0.13595006]	[0.084726855..0.13595006]	
					PC 18:1/22:1	[0.08463312..0.100492045]	[0.09313839..0.1152895]	[0.06372619..0.11161332]	[0.06372619..0.1152895]	
					PC 22:2/18:0	[0.0..0.0077564563]	[0.0..0.0053834324]	[0.0..0.010929158]	[0.0..0.010929158]	
					PC 18:0/22:2	[0.06394398..0.094590925]	[0.07773854..0.09613272]	[0.066381685..0.112671725]	[0.06394398..0.112671725]	
					PC 20:1/20:1	[0.04177956..0.045752242]	[0.03979984..0.044925533]	[0.042313304..0.055933036]	[0.03979984..0.055933036]	
PC 40:3:0	0.0	0.0	-7.666559E-5	[-7.666559E-5..0.0]	Sum	[0.16007033..0.1773095]	[0.17281105..0.20171486]	[0.16354832..0.18835513]	[0.16007033..0.20171486]	
					PC 22:2/18:1	[0.0069944696..0.037704196]	[0.0072621168..0.030302025]	[0.012557198..0.04502263]	[0.0069944696..0.04502263]	
					PC 18:1/22:2	[0.0..0.020775013]	[0.008768334..0.0328197]	[0.0..0.028544348]	[0.0..0.0328197]	
					PC 22:3 (13z)/18:0	[0.0..0.0011570071]	[0.0..0.043151032]	[0.0..0.01992322]	[0.0..0.043151032]	
					PC 18:0/22:3 (13z)	[0.12875783..0.14470844]	[0.10821422..0.1646986]	[0.108308285..0.14333251]	[0.10821422..0.1646986]	
