PRM,EC,CLASS,PRC,PRDB,PROH,SPECIE,PRERR,PRI:20180509_PC_brain_01.mzXML,PRI:20180509_PC_brain_02.mzXML,PRI:20180509_PC_brain_03.mzXML,FA1M,FA1C,FA1DB,FA1ERR,FA1I:20180509_PC_brain_01.mzXML,FA1I:20180509_PC_brain_02.mzXML,FA1I:20180509_PC_brain_03.mzXML,FA2M,FA2C,FA2DB,FA2ERR,FA2I:20180509_PC_brain_01.mzXML,FA2I:20180509_PC_brain_02.mzXML,FA2I:20180509_PC_brain_03.mzXML,FACO1M,FACO1I:20180509_PC_brain_01.mzXML,FACO1I:20180509_PC_brain_02.mzXML,FACO1I:20180509_PC_brain_03.mzXML,FACO2M,FACO2I:20180509_PC_brain_01.mzXML,FACO2I:20180509_PC_brain_02.mzXML,FACO2I:20180509_PC_brain_03.mzXML
#NCE,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
###,PCFAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
826.561099527,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.9,161807.6,134571.9,172322.6,277.21716308599997,18.0,3.0,-0.51,246.8,0.0,0.0,281.248626709,18.0,1.0,0.08,1224.1,1179.6,2381.9,None, None, None, None, None, None, None, None
826.561099527,H81 C45 N1 O10 P1 ,PC,36.0,4.0,0.0,PC 36:4:0,0.9,161807.6,134571.9,172322.6,279.232940674,18.0,2.0,-0.05,420.7,520.5,0.0,279.232940674,18.0,2.0,-0.05,420.7,520.5,0.0,None, None, None, None, None, None, None, None
828.577395914,H83 C45 N1 O10 P1 ,PC,36.0,3.0,0.0,PC 36:3:0,1.67,37351.4,31031.5,40173.7,255.232854207,16.0,0.0,-0.4,15155.6,11566.3,12475.6,305.248677572,20.0,3.0,0.24,19318.4,15295.0,16623.8,None, None, None, None, None, None, None, None
828.577395914,H83 C45 N1 O10 P1 ,PC,36.0,3.0,0.0,PC 36:3:0,1.67,37351.4,31031.5,40173.7,279.232961019,18.0,2.0,0.02,11948.7,8562.2,10262.7,281.248616536,18.0,1.0,0.04,11674.6,8679.8,10059.4,None, None, None, None, None, None, None, None
830.592451253,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.95,328741.9,279618.4,354974.5,253.217178345,16.0,1.0,-0.5,3271.6,2283.1,2757.6,309.280008952,20.0,1.0,0.33,1661.8,1821.4,1955.5,None, None, None, None, None, None, None, None
830.592451253,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.95,328741.9,279618.4,354974.5,255.232854207,16.0,0.0,-0.4,17497.0,13111.7,15348.1,307.264363607,20.0,2.0,0.35,15181.4,12545.8,10690.2,None, None, None, None, None, None, None, None
830.592451253,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.95,328741.9,279618.4,354974.5,279.232991536,18.0,2.0,0.13,48739.0,36215.1,42130.1,283.264241536,18.0,0.0,-0.05,16736.6,12636.0,14345.0,None, None, None, None, None, None, None, None
830.592451253,H85 C45 N1 O10 P1 ,PC,36.0,2.0,0.0,PC 36:2:0,0.95,328741.9,279618.4,354974.5,281.248616536,18.0,1.0,0.04,345207.3,262930.4,291216.8,281.248616536,18.0,1.0,0.04,345207.3,262930.4,291216.8,None, None, None, None, None, None, None, None
832.607913492,H87 C45 N1 O10 P1 ,PC,36.0,1.0,0.0,PC 36:1:0,0.73,1289400.5,1073807.5,1395991.3,255.232849121,16.0,0.0,-0.42,53174.9,40665.7,44461.2,309.28003946900003,20.0,1.0,0.43,47437.4,33360.3,37619.7,None, None, None, None, None, None, None, None
832.607913492,H87 C45 N1 O10 P1 ,PC,36.0,1.0,0.0,PC 36:1:0,0.73,1289400.5,1073807.5,1395991.3,281.248636882,18.0,1.0,0.11,1166852.3,859103.6,1043469.3,283.264261882,18.0,0.0,0.02,354269.1,271472.6,319198.7,None, None, None, None, None, None, None, None
850.560733316,H81 C47 N1 O10 P1 ,PC,38.0,6.0,0.0,PC 38:6:0,0.44,75781.3,65690.9,78922.8,253.21715545700002,16.0,1.0,-0.59,0.0,462.4,861.7,329.24873352099996,22.0,5.0,0.39,298.9,0.0,393.4,None, None, None, None, None, None, None, None
850.560733316,H81 C47 N1 O10 P1 ,PC,38.0,6.0,0.0,PC 38:6:0,0.44,75781.3,65690.9,78922.8,255.232859294,16.0,0.0,-0.38,32242.5,29370.3,33281.5,327.233062744,22.0,6.0,0.33,32367.9,30189.7,31130.9,None, None, None, None, None, None, None, None
852.577029703,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,1.2,71244.6,59081.7,75822.6,253.21705627400002,16.0,1.0,-0.98,0.0,0.0,215.1,331.264480591,22.0,4.0,0.68,500.0,0.0,340.0,None, None, None, None, None, None, None, None
852.577029703,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,1.2,71244.6,59081.7,75822.6,255.232874552,16.0,0.0,-0.32,19768.2,17592.9,17422.9,329.24872843400004,22.0,5.0,0.37,21758.4,17502.7,18533.8,None, None, None, None, None, None, None, None
852.577029703,H83 C47 N1 O10 P1 ,PC,38.0,5.0,0.0,PC 38:5:0,1.2,71244.6,59081.7,75822.6,281.248636882,18.0,1.0,0.11,10908.4,9343.2,8861.3,303.233032227,20.0,4.0,0.25,27651.6,22625.2,22201.2,None, None, None, None, None, None, None, None
