Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
					PC 18:0/18:3 (6z-9z)	[0.087526806..0.12960668]	[0.07265707..0.11260873]	[0.091005445..0.11631058]	[0.07265707..0.12960668]
					PC 18:3 (6z-9z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:1/18:2	[1.7025044..1.925781]	[1.5512711..1.7219024]	[1.6718723..1.8198192]	[1.5512711..1.925781]
					PC 18:2/18:1	[0.031255484..0.14497234]	[0.068315916..0.123890795]	[0.12989019..0.19372268]	[0.031255484..0.19372268]
PC 36:4:0	4.4331846	4.351008	4.4861956	[4.351008..4.4861956]	Sum	[4.3975716..4.4746103]	[4.5864778..4.8969803]	[4.4760613..4.8132596]	[4.3975716..4.8969803]
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/20:4 (5z-8z)	[3.653833..3.774919]	[3.8580675..4.1131744]	[3.7367349..4.072928]	[3.653833..4.1131744]
					PC 18:1/18:3 (6z-9z)	[0.007563431..0.025322897]	[0.014048005..0.020005427]	[0.0061747814..0.01649374]	[0.0061747814..0.025322897]
					PC 18:3 (6z-9z)/18:1	[0.0..0.0082046185]	[0.0..1.20032564E-4]	[0.0..8.906619E-4]	[0.0..0.0082046185]
					PC 18:2/18:2	[0.67730963..0.7231004]	[0.7181451..0.770721]	[0.7197202..0.7383608]	[0.67730963..0.770721]
PC 36:5:0	0.13865086	0.147048	0.155235	[0.13865086..0.155235]	Sum	[0.6626114..0.750104]	[0.61730224..0.72133136]	[0.6935987..0.7858111]	[0.61730224..0.7858111]
					PC 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:1/20:4 (5z-8z)	[0.5257067..0.60121125]	[0.48148978..0.5977277]	[0.5535025..0.64861506]	[0.48148978..0.64861506]
					PC 20:5 (5z)/16:0	[0.0..0.016788278]	[0.00309576..0.016798556]	[0.0..0.010072872]	[0.0..0.016798556]
					PC 16:0/20:5 (5z)	[0.107187524..0.145985]	[0.10021089..0.1297222]	[0.11216827..0.13798456]	[0.10021089..0.145985]
PC 38:1:0	0.0	0.0	0.10333741	[0.0..0.10333741]	Sum	[0.0038202659..0.011977393]	[0.0..0.004574774]	[0.0036296453..0.009543349]	[0.0..0.011977393]
					PC 18:0/20:1	[0.0010606917..0.011776878]	[0.0..0.0045806705]	[0.0029804218..0.0093814265]	[0.0..0.011776878]
					PC 20:1/18:0	[0.0..0.00856179]	[0.0..0.0022903353]	[0.0..0.0018106155]	[0.0..0.00856179]
PC 38:2:0	0.15407677	0.13702413	0.1651419	[0.13702413..0.1651419]	Sum	[0.13508293..0.15349768]	[0.10934623..0.13570476]	[0.14122434..0.16438413]	[0.10934623..0.16438413]
					PC 20:0/18:2	[0.083037876..0.102253504]	[0.062065914..0.081650235]	[0.089800425..0.100984015]	[0.062065914..0.102253504]
					PC 18:2/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 20:2/18:0	[0.0..0.0035180082]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0035180082]
					PC 18:0/20:2	[0.048493505..0.0541232]	[0.0442614..0.055815578]	[0.050285652..0.06460665]	[0.0442614..0.06460665]
