Species	PRI_20180509_PC_heart_01.mzXML	PRI_20180509_PC_heart_02.mzXML	PRI_20180509_PC_heart_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_heart_01.mzXML	FAI.FC_20180509_PC_heart_02.mzXML	FAI.FC_20180509_PC_heart_03.mzXML	FAI.FC_Group-1
PC 36:4:0	6.951829	6.7469225	6.966898	[6.7469225..6.966898]	Sum	[4.391942..4.4788947]	[4.572585..4.9729395]	[4.4495506..4.8126035]	[4.391942..4.9729395]	
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/20:4 (5z-8z)	[3.6578946..3.7804623]	[3.8458376..4.1786]	[3.7150059..4.0735765]	[3.6578946..4.1786]	
					PC 18:1/18:3 (6z-9z)	[0.0075745373..0.025147945]	[0.014105164..0.01983765]	[0.006183911..0.016406467]	[0.006183911..0.025147945]	
					PC 18:3 (6z-9z)/18:1	[0.0..0.0081479335]	[0.0..1.190259E-4]	[0.0..8.8594935E-4]	[0.0..0.0081479335]	
					PC 18:2/18:2	[0.6761186..0.7181887]	[0.7166269..0.77218163]	[0.71842736..0.7335702]	[0.6761186..0.77218163]	
PC 36:5:0	0.21742317	0.22802106	0.24107426	[0.21742317..0.24107426]	Sum	[0.65623194..0.7484419]	[0.61241615..0.72201926]	[0.6731405..0.77867466]	[0.61241615..0.77867466]	
					PC 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:1/20:4 (5z-8z)	[0.51691717..0.6024068]	[0.4745475..0.5927169]	[0.53306216..0.6419863]	[0.4745475..0.6419863]	
					PC 20:5 (5z)/16:0	[0.0..0.016497372]	[0.0031075645..0.016778624]	[0.0..0.010039165]	[0.0..0.016778624]	
					PC 16:0/20:5 (5z)	[0.10699485..0.14599442]	[0.1008232..0.13165808]	[0.1115049..0.1375228]	[0.1008232..0.14599442]	
PC 38:1:0	0.0	0.0	0.1604792	[0.0..0.1604792]	Sum	[0.0038216764..0.011877865]	[0.0..0.0045203012]	[0.0036023357..0.009512635]	[0.0..0.011877865]	
					PC 18:0/20:1	[0.0010605388..0.0116775455]	[0.0..0.0045262137]	[0.002965469..0.009352588]	[0.0..0.0116775455]	
					PC 20:1/18:0	[0.0..0.008489575]	[0.0..0.0022631069]	[0.0..0.0017863443]	[0.0..0.008489575]	
PC 38:2:0	0.24161309	0.21247745	0.2564593	[0.21247745..0.2564593]	Sum	[0.13532044..0.15262331]	[0.11027232..0.13528408]	[0.14020108..0.16383065]	[0.11027232..0.16383065]	
					PC 20:0/18:2	[0.08315982..0.101635404]	[0.063094646..0.08139141]	[0.08931539..0.100633]	[0.063094646..0.101635404]	
					PC 18:2/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 20:2/18:0	[0.0..0.0034536081]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0034536081]	
					PC 18:0/20:2	[0.048584692..0.05396263]	[0.043825306..0.056055926]	[0.049945798..0.06439043]	[0.043825306..0.06439043]	
PC 38:3:0	1.0011004	0.9974612	1.0870485	[0.9974612..1.0870485]	Sum	[0.5842795..0.73704743]	[0.5554051..0.73316413]	[0.6145938..0.80033]	[0.5554051..0.80033]	
					PC 22:3 (13z)/16:0	[0.0..0.0031638197]	[0.0..0.0073888805]	[0.0..0.013241513]	[0.0..0.013241513]	
					PC 16:0/22:3 (13z)	[0.0..0.0]	[0.0..0.0073888805]	[0.0..0.013241513]	[0.0..0.013241513]	
					PC 20:1/18:2	[0.04419813..0.06901172]	[0.039690275..0.04542656]	[0.047309734..0.05548828]	[0.039690275..0.06901172]	
					PC 18:2/20:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 20:2/18:1	[0.016232377..0.021132356]	[0.006919085..0.026881529]	[0.012643923..0.023349743]	[0.006919085..0.026881529]	
					PC 18:1/20:2	[0.0046858666..0.0073736156]	[0.0..0.010214981]	[0.004091361..0.01285229]	[0.0..0.01285229]	
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:3 (5z-11z)	[0.49797156..0.64861375]	[0.4998285..0.65913826]	[0.52954066..0.71278584]	[0.49797156..0.71278584]	
PC 38:4:0	2.0126278	2.0529265	2.1471853	[2.0126278..2.1471853]	Sum	[1.2247827..1.3620949]	[1.2500715..1.3773123]	[1.2857074..1.475044]	[1.2247827..1.475044]	
					PC 22:4 (7z-10z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.005821394]	[0.0..0.005821394]	
					PC 16:0/22:4 (7z-10z)	[0.19597766..0.24241176]	[0.19465259..0.23652312]	[0.21732499..0.2646088]	[0.19465259..0.2646088]	
					PC 20:3 (5z-11z)/18:1	[0.0..9.0557104E-4]	[0.0..0.0]	[0.0..0.0]	[0.0..9.0557104E-4]	
					PC 18:1/20:3 (5z-11z)	[0.097384214..0.12936729]	[0.079364695..0.10998052]	[0.085039556..0.11081867]	[0.079364695..0.12936729]	
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/20:4 (5z-8z)	[0.9168758..1.0119545]	[0.9472935..1.043621]	[0.98231053..1.1025779]	[0.9168758..1.1025779]	
PC 38:5:0	0.95091957	0.94948	1.0178483	[0.94948..1.0178483]	Sum	[0.52584463..0.6935487]	[0.5001759..0.69252264]	[0.5484515..0.7187179]	[0.5001759..0.7187179]	
					PC 22:5 (4z-7z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 16:0/22:5 (4z-7z)	[0.35161743..0.37566695]	[0.3495293..0.38229635]	[0.367719..0.40229288]	[0.3495293..0.40229288]	
					PC 20:3 (5z-11z)/18:2	[0.015973067..0.03749453]	[0.0..0.020362964]	[0.009153134..0.02953948]	[0.0..0.03749453]	
					PC 18:2/20:3 (5z-11z)	[0.02168867..0.044797808]	[0.02403774..0.053167004]	[0.02015228..0.04728799]	[0.02015228..0.053167004]	
					PC 20:4 (5z-8z)/18:1	[0.0..0.037082538]	[0.0..0.03962854]	[0.0..0.02740495]	[0.0..0.03962854]	
					PC 18:1/20:4 (5z-8z)	[0.13309675..0.2194233]	[0.12607762..0.20014416]	[0.14087318..0.21749958]	[0.12607762..0.2194233]	
PC 38:6:0	0.32311398	0.25871634	0.3209584	[0.25871634..0.32311398]	Sum	[0.13196585..0.31987292]	[0.109462894..0.28550562]	[0.15784802..0.28902087]	[0.109462894..0.31987292]	
					PC 20:4 (5z-8z)/18:2	[0.12513216..0.22666144]	[0.090209775..0.18838641]	[0.123630464..0.19584407]	[0.090209775..0.22666144]	
					PC 18:2/20:4 (5z-8z)	[0.006673715..0.093661755]	[0.01914045..0.097492635]	[0.034090795..0.09346035]	[0.006673715..0.097492635]	
PC 40:5:0	0.0	0.0	0.16059442	[0.0..0.16059442]	Sum	[0.08270332..0.1400787]	[0.09953761..0.1535019]	[0.10303316..0.1675092]	[0.08270332..0.1675092]	
					PC 22:5 (4z-7z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PC 18:0/22:5 (4z-7z)	[0.08259364..0.14027588]	[0.099431895..0.15370268]	[0.10294846..0.16767353]	[0.08259364..0.16767353]	
