Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
PE 36:3:0	2.0506277	2.1845822	2.2045603	[2.0506277..2.2045603]	Sum	[3.627199..4.459774]	[3.7149253..4.468424]	[3.5425532..4.225392]	[3.5425532..4.468424]	
					PE 20:3 (5z-11z)/16:0	[0.0..0.10139664]	[0.0..0.15789779]	[0.0..0.10925401]	[0.0..0.15789779]	
					PE 16:0/20:3 (5z-11z)	[0.37104586..0.5964508]	[0.30023748..0.59584075]	[0.33605918..0.5517879]	[0.30023748..0.5964508]	
					PE 18:0/18:3 (6z-9z)	[0.098444276..0.20283324]	[0.104224764..0.20236427]	[0.07663147..0.21076046]	[0.07663147..0.21076046]	
					PE 18:3 (6z-9z)/18:0	[0.057268057..0.15627256]	[0.066302605..0.15933758]	[0.06478623..0.19665219]	[0.057268057..0.19665219]	
					PE 18:1/18:2	[2.9516194..3.399418]	[3.1000621..3.408226]	[2.9193473..3.1791801]	[2.9193473..3.408226]	
					PE 18:2/18:1	[0.0031004406..0.1633354]	[0.05134679..0.11776391]	[0.0..0.14624229]	[0.0..0.1633354]	
PE 36:4:0	6.2442765	6.6962953	6.5121827	[6.2442765..6.6962953]	Sum	[5.6036897..6.3051386]	[5.5821795..7.171033]	[5.4450507..6.4065495]	[5.4450507..7.171033]	
					PE 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 16:0/20:4 (5z-8z)	[5.3506937..6.0283666]	[5.3219914..6.880594]	[5.1950555..6.0868716]	[5.1950555..6.880594]	
					PE 18:1/18:3 (6z-9z)	[0.0218813..0.050150994]	[0.020506276..0.0563429]	[0.023796417..0.046948787]	[0.020506276..0.0563429]	
					PE 18:3 (6z-9z)/18:1	[0.012045765..0.03873555]	[0.015868617..0.049811527]	[0.018135838..0.039731286]	[0.012045765..0.049811527]	
					PE 18:2/18:2	[0.20663908..0.2279412]	[0.22273333..0.2598322]	[0.20428008..0.23326151]	[0.20428008..0.2598322]	
PE 36:5:0	0.07399289	0.0937164	0.09161243	[0.07399289..0.0937164]	Sum	[0.11121295..0.15038954]	[0.14725244..0.18888396]	[0.12749813..0.20570794]	[0.11121295..0.20570794]	
					PE 22:5 (4z-7z)/14:0	[0.0..0.003041321]	[0.0..0.00741059]	[0.0..0.0064876718]	[0.0..0.00741059]	
					PE 14:0/22:5 (4z-7z)	[0.0025011196..0.008197631]	[0.0..0.00741059]	[0.0..0.0064876718]	[0.0..0.008197631]	
					PE 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.00301617]	[0.0..0.011183345]	[0.0..0.011183345]	
					PE 16:1/20:4 (5z-8z)	[0.02839443..0.036833294]	[0.021975633..0.035906788]	[0.017149275..0.03965725]	[0.017149275..0.03965725]	
					PE 20:5 (5z)/16:0	[0.048140664..0.0710113]	[0.0840495..0.102739304]	[0.07047509..0.10625425]	[0.048140664..0.10625425]	
					PE 16:0/20:5 (5z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:3 (6z-9z)/18:2	[0.029089529..0.03377782]	[0.02822455..0.033097208]	[0.030723331..0.035642184]	[0.02822455..0.035642184]	
					PE 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 37:1:0	0.18631399	0.18542351	0.1963577	[0.18542351..0.1963577]	Sum	[0.87746245..1.0452404]	[0.9951273..1.2075478]	[0.95536363..1.1595291]	[0.87746245..1.2075478]	
					PE 20:1/17:0	[0.0..0.0]	[0.0..0.0015446597]	[0.0..0.0013326529]	[0.0..0.0015446597]	
					PE 17:0/20:1	[0.025148015..0.027530177]	[0.02330712..0.030287445]	[0.023474578..0.027196996]	[0.02330712..0.030287445]	
					PE 19:0/18:1	[0.34829193..0.38824597]	[0.42065376..0.4956466]	[0.40317625..0.47943386]	[0.34829193..0.4956466]	
					PE 18:1/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 19:1/18:0	[0.5004096..0.62946814]	[0.5461463..0.68165517]	[0.5240459..0.6528982]	[0.5004096..0.68165517]	
					PE 18:0/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 38:1:0	0.11621528	0.115425594	0.13585648	[0.115425594..0.13585648]	Sum	[0.687055..0.8022909]	[0.8815146..1.031919]	[0.8458842..0.928377]	[0.687055..1.031919]	
					PE 20:0/18:1	[0.33763903..0.3836942]	[0.45904619..0.5483497]	[0.42542234..0.48631436]	[0.33763903..0.5483497]	
					PE 18:1/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 20:1/18:0	[0.27498606..0.40896899]	[0.3695055..0.48356926]	[0.3675066..0.45156616]	[0.27498606..0.48356926]	
					PE 18:0/20:1	[0.008213869..0.096277244]	[0.0..0.03384985]	[0.0..0.045608185]	[0.0..0.096277244]	
PE 38:4:0	22.83455	22.554546	22.678589	[22.554546..22.83455]	Sum	[21.704693..24.98593]	[19.672203..23.821653]	[18.584702..24.093882]	[18.584702..24.98593]	
					PE 22:4 (7z-10z)/16:0	[0.0..0.07391839]	[0.0..0.16209453]	[0.012853555..0.16916038]	[0.0..0.16916038]	
					PE 16:0/22:4 (7z-10z)	[0.18289071..0.31999302]	[0.17024031..0.36923584]	[0.13660052..0.35050917]	[0.13660052..0.36923584]	
					PE 20:3 (5z-11z)/18:1	[0.0..0.011775813]	[0.0..0.008226592]	[0.0..0.0010800676]	[0.0..0.011775813]	
					PE 18:1/20:3 (5z-11z)	[0.084016256..0.14018826]	[0.06418921..0.12854049]	[0.06505518..0.12000752]	[0.06418921..0.14018826]	
					PE 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:0/20:4 (5z-8z)	[21.43476..24.67267]	[19.424292..23.220463]	[18.36762..23.454103]	[18.36762..24.67267]	
PE 38:5:0	4.181021	4.206884	4.2987995	[4.181021..4.2987995]	Sum	[4.33254..4.978418]	[3.9508767..5.5825124]	[4.080814..5.388248]	[3.9508767..5.5825124]	
					PE 22:5 (4z-7z)/16:0	[0.0..0.06713991]	[0.0..0.27560127]	[0.0..0.2558451]	[0.0..0.27560127]	
					PE 16:0/22:5 (4z-7z)	[3.370225..3.7875402]	[3.009055..3.9942214]	[3.082533..3.876441]	[3.009055..3.9942214]	
					PE 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.023210617]	[0.0..0.0]	[0.0..0.023210617]	
					PE 18:1/20:4 (5z-8z)	[0.9623151..1.1908774]	[0.94182163..1.2894788]	[0.9982812..1.255962]	[0.94182163..1.2894788]	
PE 38:6:0	2.2777429	2.251058	2.2961624	[2.251058..2.2961624]	Sum	[2.0433757..2.6655254]	[2.484765..3.0832746]	[2.2217748..2.903535]	[2.0433757..3.0832746]	
					PE 22:6 (4z)/16:0	[0.49041015..1.313264]	[0.8498936..1.5936625]	[0.740107..1.7289168]	[0.49041015..1.7289168]	
					PE 16:0/22:6 (4z)	[0.98490703..1.9267967]	[1.1389065..1.9451618]	[0.84173363..1.8573985]	[0.84173363..1.9451618]	
					PE 20:4 (5z-8z)/18:2	[0.0..0.06513345]	[0.0024111508..0.03428326]	[0.0..0.04989849]	[0.0..0.06513345]	
					PE 18:2/20:4 (5z-8z)	[0.0..0.06513345]	[0.03210947..0.07241772]	[0.0125003625..0.06600329]	[0.0..0.07241772]	
PE 40:4:0	-3.8297553E-6	-4.3995515E-6	-4.584262E-6	[-4.584262E-6..-3.8297553E-6]	Sum	[0.73074234..1.1540167]	[0.7873494..1.225409]	[0.7657972..1.2211269]	[0.73074234..1.225409]	
					PE 24:4 (9z)/16:0	[0.21739973..0.23250829]	[0.3268687..0.34771088]	[0.27444133..0.31985527]	[0.21739973..0.34771088]	
					PE 16:0/24:4 (9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 22:4 (7z-10z)/18:0	[0.20404074..0.40283778]	[0.18323709..0.38622892]	[0.22290951..0.43825468]	[0.18323709..0.43825468]	
					PE 18:0/22:4 (7z-10z)	[0.26225236..0.47224322]	[0.22671707..0.44395712]	[0.22414447..0.43963066]	[0.22414447..0.47224322]	
					PE 20:0/20:4 (5z-8z)	[0.033803575..0.05025732]	[0.020210812..0.051047187]	[0.024587678..0.043624144]	[0.020210812..0.051047187]	
					PE 20:4 (5z-8z)/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 40:5:0	1.897669	1.798722	1.8205848	[1.798722..1.897669]	Sum	[2.0999153..2.715609]	[1.9503059..3.0844033]	[1.7839649..3.2140963]	[1.7839649..3.2140963]	
					PE 22:4 (7z-10z)/18:1	[0.060878858..0.07172245]	[0.07194425..0.086407654]	[0.06946867..0.08010171]	[0.060878858..0.086407654]	
					PE 18:1/22:4 (7z-10z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 22:5 (4z-7z)/18:0	[0.0..0.15579984]	[0.0..0.39027497]	[0.0..0.5195687]	[0.0..0.5195687]	
					PE 18:0/22:5 (4z-7z)	[1.9978079..2.4343724]	[1.8456876..2.5508168]	[1.6673064..2.5594516]	[1.6673064..2.5594516]	
					PE 20:1/20:4 (5z-8z)	[0.03733676..0.05371442]	[0.027019886..0.056718733]	[0.040672053..0.05545743]	[0.027019886..0.056718733]	
					PE 20:4 (5z-8z)/20:1	[0.0..0.0]	[0.0..0.0069196858]	[0.0..0.0026619567]	[0.0..0.0069196858]	
PE 40:6:0	1.2624865	1.1432754	1.2243153	[1.1432754..1.2624865]	Sum	[1.8900951..2.114245]	[1.7149034..2.420539]	[1.807339..2.3121207]	[1.7149034..2.420539]	
					PE 22:5 (4z-7z)/18:1	[0.08326096..0.13649267]	[0.09909397..0.23288848]	[0.082467586..0.24278945]	[0.082467586..0.24278945]	
					PE 18:1/22:5 (4z-7z)	[0.055002693..0.10242021]	[0.0..0.071962535]	[0.0..0.12139472]	[0.0..0.12139472]	
					PE 22:6 (4z)/18:0	[0.8156944..1.1157752]	[1.0470444..1.8554993]	[1.0283905..1.4575056]	[0.8156944..1.8554993]	
					PE 18:0/22:6 (4z)	[0.6642574..0.9558596]	[0.16481254..0.72732264]	[0.39579505..0.74587756]	[0.16481254..0.9558596]	
					PE 20:2/20:4 (5z-8z)	[0.018030673..0.04525574]	[0.0..0.049430452]	[0.033439476..0.046265114]	[0.0..0.049430452]	
					PE 20:4 (5z-8z)/20:2	[0.0..0.012852631]	[0.0..0.0]	[0.0..0.0]	[0.0..0.012852631]	
PE 40:7:0	0.07533309	0.0	0.0	[0.0..0.07533309]	Sum	[0.18527278..0.23648673]	[0.21239623..0.27739286]	[0.21537884..0.2607693]	[0.18527278..0.27739286]	
					PE 22:6 (4z)/18:1	[0.18527278..0.23648673]	[0.21239623..0.27739286]	[0.21537884..0.2607693]	[0.18527278..0.27739286]	
					PE 18:1/22:6 (4z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
