Species	PRI_240604_eggPE_25-35_1.mzXML	PRI_240604_eggPE_25-35_2.mzXML	PRI_240604_eggPE_25-35_3.mzXML	PRI_Group-1	Mspecies	FAI.FC_240604_eggPE_25-35_1.mzXML	FAI.FC_240604_eggPE_25-35_2.mzXML	FAI.FC_240604_eggPE_25-35_3.mzXML	FAI.FC_Group-1
					PE 18:3 (6z-9z)/18:1	[0.007802368..0.023892106]	[0.010712553..0.029980743]	[0.011708166..0.024817701]	[0.007802368..0.029980743]	
					PE 18:2/18:2	[0.13360941..0.14189672]	[0.14687711..0.15736793]	[0.1362056..0.14367688]	[0.13360941..0.15736793]	
PE 36:5:0	0.069316514	0.08817501	0.0856439	[0.069316514..0.08817501]	Sum	[0.071295194..0.09227245]	[0.093163535..0.11271048]	[0.08305176..0.12468743]	[0.071295194..0.12468743]	
					PE 22:5 (4z-7z)/14:0	[0.0..0.0018758883]	[0.0..0.0046137515]	[0.0..0.003971891]	[0.0..0.0046137515]	
					PE 14:0/22:5 (4z-7z)	[0.0015958865..0.0050563025]	[0.0..0.0046137515]	[0.0..0.003971891]	[0.0..0.0050563025]	
					PE 20:4 (5z-8z)/16:1	[0.0..0.0]	[0.0..0.0018778341]	[0.0..0.0068466826]	[0.0..0.0068466826]	
					PE 16:1/20:4 (5z-8z)	[0.018353712..0.022718793]	[0.014835263..0.022355169]	[0.011563604..0.024279015]	[0.011563604..0.024279015]	
					PE 20:5 (5z)/16:0	[0.031126957..0.04599594]	[0.052328292..0.065517835]	[0.04607862..0.066449516]	[0.031126957..0.066449516]	
					PE 16:0/20:5 (5z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:3 (6z-9z)/18:2	[0.018842075..0.020834178]	[0.019053768..0.019920668]	[0.020358734..0.021820907]	[0.018842075..0.021820907]	
					PE 18:2/18:3 (6z-9z)	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 37:1:0	0.17453885	0.17445955	0.18356504	[0.17445955..0.18356504]	Sum	[0.5646219..0.67212826]	[0.6146228..0.7332562]	[0.6188989..0.7144459]	[0.5646219..0.7332562]	
					PE 20:1/17:0	[0.0..0.0]	[0.0..9.297054E-4]	[0.0..8.2073937E-4]	[0.0..9.297054E-4]	
					PE 17:0/20:1	[0.01626029..0.01783204]	[0.014485873..0.018229518]	[0.01515476..0.016749784]	[0.014485873..0.018229518]	
					PE 19:0/18:1	[0.22223425..0.2490259]	[0.25959617..0.2983216]	[0.26028323..0.29351965]	[0.22223425..0.2983216]	
					PE 18:1/19:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 19:1/18:0	[0.32355657..0.40523386]	[0.34002462..0.41284588]	[0.34263608..0.40360963]	[0.32355657..0.41284588]	
					PE 18:0/19:1	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
PE 38:1:0	0.108870424	0.10860056	0.12700547	[0.10860056..0.12700547]	Sum	[0.44210023..0.50409585]	[0.55862653..0.6254949]	[0.56272477..0.57937044]	[0.44210023..0.6254949]	
					PE 20:0/18:1	[0.21543697..0.23666278]	[0.3098919..0.33004272]	[0.2868585..0.31796616]	[0.21543697..0.33004272]	
					PE 18:1/20:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 20:1/18:0	[0.17546004..0.26109403]	[0.22803128..0.29105243]	[0.23725557..0.28030744]	[0.17546004..0.29105243]	
					PE 18:0/20:1	[0.005241014..0.06146534]	[0.0..0.02037367]	[0.0..0.028311051]	[0.0..0.06146534]	
PE 38:4:0	21.391396	21.220913	21.201084	[21.201084..21.391396]	Sum	[13.98761..16.01771]	[13.282882..14.595988]	[12.459033..15.453896]	[12.459033..16.01771]	
					PE 22:4 (7z-10z)/16:0	[0.0..0.0455929]	[0.0..0.10831143]	[0.008667038..0.10356359]	[0.0..0.10831143]	
					PE 16:0/22:4 (7z-10z)	[0.11846328..0.19737184]	[0.10310641..0.24672307]	[0.09210851..0.21458921]	[0.09210851..0.24672307]	
					PE 20:3 (5z-11z)/18:1	[0.0..0.007263328]	[0.0..0.005121785]	[0.0..6.612405E-4]	[0.0..0.007263328]	
					PE 18:1/20:3 (5z-11z)	[0.054419607..0.08646819]	[0.04333272..0.08002789]	[0.043866124..0.07347117]	[0.04333272..0.08646819]	
					PE 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	
					PE 18:0/20:4 (5z-8z)	[13.748527..15.742863]	[12.979295..14.301078]	[12.246778..15.140454]	[12.246778..15.742863]	
PE 38:5:0	3.9167783	3.958134	4.0187335	[3.9167783..4.0187335]	Sum	[2.8190875..3.1915102]	[2.688967..3.3311863]	[2.7765112..3.2660227]	[2.688967..3.3311863]	
					PE 22:5 (4z-7z)/16:0	[0.0..0.043411557]	[0.0..0.1658799]	[0.0..0.15663384]	[0.0..0.1658799]	
					PE 16:0/22:5 (4z-7z)	[2.182986..2.4167116]	[2.0313463..2.4040568]	[2.0785244..2.37324]	[2.0313463..2.4167116]	
					PE 20:4 (5z-8z)/18:1	[0.0..0.0]	[0.0..0.01397009]	[0.0..0.0]	[0.0..0.01397009]	
					PE 18:1/20:4 (5z-8z)	[0.62331754..0.7598618]	[0.6358029..0.7761162]	[0.67313206..0.7689268]	[0.62331754..0.7761162]	
PE 38:6:0	2.1337883	2.1179547	2.146568	[2.1179547..2.146568]	Sum	[1.3295791..1.7151892]	[1.6911311..1.9173352]	[1.511655..1.765118]	[1.3295791..1.9173352]	
					PE 22:6 (4z)/16:0	[0.31765193..0.84913474]	[0.57374436..0.979938]	[0.49904752..1.0584798]	[0.31765193..1.0584798]	
					PE 16:0/22:6 (4z)	[0.63795096..1.2458348]	[0.7688505..1.1960739]	[0.5675735..1.137139]	[0.5675735..1.2458348]	
					PE 20:4 (5z-8z)/18:2	[0.0..0.042114213]	[0.0014603188..0.022908045]	[0.0..0.032625053]	[0.0..0.042114213]	
