CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,sn_x
34,24,6,6,1,2.8205047,0
35,24,6,6,1,2.410294799,0
36,24,6,6,1,2.024056199,0
37,24,6,6,1,1.6752789,0
38,24,6,6,1,1.3746703,0
39,24,6,6,1,1.1299163,0
40,24,6,6,1,0.923275,0
41,24,6,6,1,0.7291898,0
42,24,6,6,1,0.5716615,0
43,24,6,6,1,0.44816434,0
44,24,6,6,1,0.35134652,0
45,24,6,6,1,0.27544442,0
19,16,3,7,1,0.017756624,0
20,16,3,7,1,0.026443949,0
21,16,3,7,1,0.039381497,0
22,16,3,7,1,0.05864867,0
23,16,3,7,1,0.08734219,0
24,16,3,7,1,0.12630984,0
25,16,3,7,1,0.17285983,0
26,16,3,7,1,0.21683742,0
27,16,3,7,1,0.2559324,0
28,16,3,7,1,0.28812936,0
29,16,3,7,1,0.3144026,0
30,16,3,7,1,0.3374657,0
31,16,3,7,1,0.36005372,0
32,16,3,7,1,0.3849018,0
33,16,3,7,1,0.41474506,0
34,16,3,7,1,0.451899,0
35,16,3,7,1,0.48391896,0
36,16,3,7,1,0.4873595,0
37,16,3,7,1,0.4668649,0
38,16,3,7,1,0.43437535,0
39,16,3,7,1,0.39973992,0
40,16,3,7,1,0.36524323,0
41,16,3,7,1,0.33145976,0
42,16,3,7,1,0.298964,0
43,16,3,7,1,0.26833043,0
44,16,3,7,1,0.23993315,0
45,16,3,7,1,0.21314462,0
19,22,4,7,1,0.10472697,0
20,22,4,7,1,0.16797836,0
21,22,4,7,1,0.26943135,0
22,22,4,7,1,0.3809207,0
23,22,4,7,1,0.5039678,0
24,22,4,7,1,0.627416,0
25,22,4,7,1,0.75156796,0
26,22,4,7,1,0.87587804,0
27,22,4,7,1,0.9965228,0
28,22,4,7,1,1.1088872,0
29,22,4,7,1,1.2083564,0
30,22,4,7,1,1.2898797,0
31,22,4,7,1,1.3450404,0
32,22,4,7,1,1.3638532,0
33,22,4,7,1,1.3404061,0
34,22,4,7,1,1.2850895,0
35,22,4,7,1,1.2123444,0
36,22,4,7,1,1.13265,0
37,22,4,7,1,1.0476071,0
38,22,4,7,1,0.9576091,0
39,22,4,7,1,0.8630496,0
40,22,4,7,1,0.7643221,0
41,22,4,7,1,0.6624127,0
42,22,4,7,1,0.56194305,0
43,22,4,7,1,0.4689124,0
44,22,4,7,1,0.38927582,0
45,22,4,7,1,0.32430962,0
19,18,4,8,1,0.2831494,0
20,18,4,8,1,0.4089816,0
21,18,4,8,1,0.5840942,0
22,18,4,8,1,0.7890968,0
23,18,4,8,1,0.99652916,0
24,18,4,8,1,1.2083228,0
