CE,FA_C,FA_DB,FA_iso,sn_y,norm_Intensity,norm_Intensity_var,,,,,,,,
24,20,4,5,1,2.77459575,0.840174918,,,,,,,,
25,20,4,5,1,3.00399125,0.909638135,,,,,,,,
26,20,4,5,1,3.19795325,0.968371738,,,,,,,,
27,20,4,5,1,3.3024025,1,,,,,,,,
28,20,4,5,1,3.2894887,0.996089574,,,,,,,,
29,20,4,5,1,3.2045442,0.970367543,,,,,,,,
30,20,4,5,1,3.1335376,0.948866045,,,,,,,,
31,20,4,5,1,3.0145059,0.912822074,,,,,,,,
32,20,4,5,1,2.7876111,0.844116094,,,,,,,,
33,20,4,5,1,2.5669451,0.777296256,,,,,,,,
34,20,4,5,1,2.3408013,0.708817687,,,,,,,,
35,20,4,5,1,2.06323825,0.624768861,,,,,,,,
36,20,4,5,1,1.82548705,0.552775457,,,,,,,,
37,20,4,5,1,1.6032672,0.485485098,,,,,,,,
38,20,4,5,1,1.3636951,0.412940306,,,,,,,,
39,20,4,5,1,1.18172765,0.35783877,,,,,,,,
40,20,4,5,1,1.02680745,0.310927408,,,,,,,,
41,20,4,5,1,0.846065485,0.256196961,,,,,,,,
42,20,4,5,1,0.680843965,0.206166258,,,,,,,,
43,20,4,5,1,0.569755935,0.172527708,,,,,,,,
44,20,4,5,1,0.48930198,0.148165458,,,,,,,,
45,20,4,5,1,0.39625583,0.119990168,,,,,,,,
46,20,4,5,1,0.303675785,0.091956018,,,,,,,,
47,20,4,5,1,0.234375035,0.070971069,,,,,,,,
48,20,4,5,1,0.1754207,0.053119116,,,,,,,,
17,22,6,4,1,3.2824762,0.362240444,,,,,,,,
18,22,6,4,1,4.34421635,0.479409679,,,,,,,,
19,22,6,4,1,5.53474665,0.61079166,,,,,,,,
20,22,6,4,1,6.65874025,0.734830927,,,,,,,,
21,22,6,4,1,7.6336779,0.842420998,,,,,,,,
22,22,6,4,1,8.451369,0.932657992,,,,,,,,
23,22,6,4,1,8.95489,0.988224479,,,,,,,,
24,22,6,4,1,9.061595,1,,,,,,,,
25,22,6,4,1,8.8746605,0.979370685,,,,,,,,
26,22,6,4,1,8.43023675,0.930325925,,,,,,,,
27,22,6,4,1,7.7979207,0.860546151,,,,,,,,
28,22,6,4,1,7.08789585,0.782190757,,,,,,,,
29,22,6,4,1,6.3202092,0.697472045,,,,,,,,
30,22,6,4,1,5.50191075,0.607168026,,,,,,,,
31,22,6,4,1,4.72281145,0.521189862,,,,,,,,
32,22,6,4,1,4.0650256,0.448599347,,,,,,,,
33,22,6,4,1,3.450596,0.380793448,,,,,,,,
34,22,6,4,1,2.86229585,0.315871086,,,,,,,,
35,22,6,4,1,2.36090755,0.260539955,,,,,,,,
36,22,6,4,1,1.93352645,0.213375951,,,,,,,,
37,22,6,4,1,1.57213555,0.173494352,,,,,,,,
38,22,6,4,1,1.2672874,0.139852576,,,,,,,,
39,22,6,4,1,1.00675625,0.11110144,,,,,,,,
40,22,6,4,1,0.793354085,0.087551263,,,,,,,,
41,22,6,4,1,0.626384825,0.069125229,,,,,,,,
42,22,6,4,1,0.49497546,0.054623437,,,,,,,,
43,22,6,4,1,0.389360145,0.042968169,,,,,,,,
44,22,6,4,1,0.29856152,0.03294801,,,,,,,,
45,22,6,4,1,0.22157787,0.024452414,,,,,,,,
46,22,6,4,1,0.16491779,0.018199643,,,,,,,,
47,22,6,4,1,0.115273498,0.012721105,,,,,,,,
48,22,6,4,1,0.067696925,0.007470752,,,,,,,,
