CE,FA_C,FA_DB,FA_iso,norm_Intensity
32,22,4,7,1.3638532
33,22,4,7,1.3404061
34,22,4,7,1.2850895
35,22,4,7,1.2123444
36,22,4,7,1.13265
37,22,4,7,1.0476071
38,22,4,7,0.9576091
39,22,4,7,0.8630496
40,22,4,7,0.7643221
41,22,4,7,0.6624127
42,22,4,7,0.56194305
43,22,4,7,0.4689124
44,22,4,7,0.38927582
45,22,4,7,0.32430962
19,18,4,8,0.2831494
20,18,4,8,0.4089816
21,18,4,8,0.5840942
22,18,4,8,0.7890968
23,18,4,8,0.99652916
24,18,4,8,1.2083228
25,18,4,8,1.4224018
26,18,4,8,1.6268904
27,18,4,8,1.8084424
28,18,4,8,1.953764
29,18,4,8,2.0548344
30,18,4,8,2.1133173
31,18,4,8,2.131915301
32,18,4,8,2.113422199
33,18,4,8,2.0609965
34,18,4,8,1.9778885
35,18,4,8,1.8673922
36,18,4,8,1.7342106
37,18,4,8,1.5847102
38,18,4,8,1.4253535
39,18,4,8,1.2626029
40,18,4,8,1.102882
41,18,4,8,0.9514134
42,18,4,8,0.8120206
43,18,4,8,0.6884479
44,18,4,8,0.58408207
45,18,4,8,0.49588275
19,20,4,8,0.031727728
20,20,4,8,0.056736805
21,20,4,8,0.10145904
22,20,4,8,0.18143316
23,20,4,8,0.29954556
24,20,4,8,0.42048386
25,20,4,8,0.53294355
26,20,4,8,0.6319768
27,20,4,8,0.71776694
28,20,4,8,0.7921644
29,20,4,8,0.85702014
30,20,4,8,0.914038
31,20,4,8,0.9612655
32,20,4,8,0.99294084
33,20,4,8,1.0031242
34,20,4,8,0.985876
35,20,4,8,0.939398
36,20,4,8,0.8784215
37,20,4,8,0.8169194
38,20,4,8,0.7560643
39,20,4,8,0.69495857
40,20,4,8,0.6327047
41,20,4,8,0.568405
42,20,4,8,0.5012657
43,20,4,8,0.43201545
44,20,4,8,0.36253878
45,20,4,8,0.29474896
19,24,5,9,0.08224805
20,24,5,9,0.12358687
21,24,5,9,0.18570305
22,24,5,9,0.27903956
23,24,5,9,0.34809783
24,24,5,9,0.44575626
25,24,5,9,0.5474116
26,24,5,9,0.6541536
27,24,5,9,0.76052177
28,24,5,9,0.85832036
29,24,5,9,0.93935114
30,24,5,9,0.9970444
31,24,5,9,1.0285842
32,24,5,9,1.032607
33,24,5,9,1.0114452
34,24,5,9,0.9683537
35,24,5,9,0.9065966
