Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 20:2/16:0	[0.6841489..0.78846574]	[0.6279632..0.7716626]	[0.7474121..0.90672964]	[0.6279632..0.90672964]
					PC 16:0/20:2	[0.33545363..0.43048418]	[0.37229243..0.50828075]	[0.25572097..0.33791915]	[0.25572097..0.50828075]
					PC 18:0/18:2	[2.093161..2.365294]	[1.9546467..2.1978595]	[2.0547876..2.2760897]	[1.9546467..2.365294]
					PC 18:2/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:1/18:1	[11.198143..11.752657]	[10.671492..11.273589]	[10.753439..11.233456]	[10.671492..11.752657]
PC 36:3:0	1.6003075	1.5358119	1.7110779	[1.5358119..1.7110779]	Sum	[1.5154674..2.3141649]	[1.5445395..2.4249496]	[1.3640493..2.325626]	[1.3640493..2.4249496]
					PC 20:3 (5z-11z)/16:0	[0.20765084..0.55884695]	[0.19907415..0.5930749]	[0.21184789..0.6325524]	[0.19907415..0.6325524]
					PC 16:0/20:3 (5z-11z)	[0.6186488..1.0611517]	[0.62155366..1.110323]	[0.4687494..0.964302]	[0.4687494..1.110323]
					PC 18:1/18:2	[0.30874714..0.37204897]	[0.30128428..0.36346766]	[0.3061866..0.41479746]	[0.30128428..0.41479746]
					PC 18:2/18:1	[0.35561052..0.42432028]	[0.35657883..0.42051086]	[0.30687..0.41555026]	[0.30687..0.42432028]
PC 36:4:0	6.932589	6.660237	7.3395624	[6.660237..7.3395624]	Sum	[7.276784..7.9178624]	[6.9707665..7.5891237]	[6.995225..7.5076227]	[6.9707665..7.9178624]
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/20:4 (5z-8z)	[7.260314..7.903961]	[6.946024..7.562096]	[6.973139..7.5076227]	[6.946024..7.903961]
					PC 18:2/18:2	[0.0137790935..0.020363245]	[0.02132982..0.02715316]	[0.0..0.022179192]	[0.0..0.02715316]
PC 38:1:0	1.6401316	1.5266162	1.7708473	[1.5266162..1.7708473]	Sum	[1.730665..1.8373423]	[1.8632932..1.8861786]	[1.7710551..1.9157251]	[1.730665..1.9157251]
					PC 22:1/16:0	[0.037407935..0.08430038]	[0.06061886..0.09842686]	[0.028151007..0.08067118]	[0.028151007..0.09842686]
					PC 16:0/22:1	[0.14245462..0.2023209]	[0.13639243..0.18802388]	[0.1534684..0.21811095]	[0.13639243..0.21811095]
					PC 20:0/18:1	[0.22993302..0.3153404]	[0.2985109..0.3732125]	[0.33030775..0.37545633]	[0.22993302..0.37545633]
					PC 18:1/20:0	[0.014288127..0.04366764]	[9.841019E-4..0.033690196]	[0.0..7.509127E-4]	[0.0..0.04366764]
					PC 20:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:1	[1.2126585..1.2911099]	[1.277836..1.2934521]	[1.1874857..1.3073845]	[1.1874857..1.3073845]
PC 38:2:0	1.7436571	1.7265444	1.8639662	[1.7265444..1.8639662]	Sum	[1.7202635..1.7733952]	[1.8188151..1.8847574]	[1.8791103..1.9687762]	[1.7202635..1.9687762]
					PC 22:1/16:1	[0.0..0.0035237328]	[0.0..0.0061544497]	[0.0..0.0]	[0.0..0.0061544497]
					PC 16:1/22:1	[0.025622431..0.032627154]	[0.018051077..0.045928728]	[0.025037652..0.039320488]	[0.018051077..0.045928728]
					PC 22:2/16:0	[0.022439998..0.060686987]	[0.017253792..0.064435445]	[0.02605557..0.07848101]	[0.017253792..0.07848101]
					PC 16:0/22:2	[0.05194444..0.09515719]	[0.065300815..0.121223606]	[0.05094794..0.108365245]	[0.05094794..0.121223606]
					PC 20:1/18:1	[0.8881943..0.9589745]	[0.9556095..1.0913336]	[1.0003346..1.2755073]	[0.8881943..1.2755073]
					PC 18:1/20:1	[0.28588372..0.34177554]	[0.2230188..0.34664342]	[0.11439998..0.34608954]	[0.11439998..0.34664342]
					PC 20:2/18:0	[0.0..0.0]	[0.0..0.013047843]	[0.0..0.046534255]	[0.0..0.046534255]
					PC 18:0/20:2	[0.3385417..0.38225773]	[0.3693151..0.3953892]	[0.35327703..0.4118076]	[0.3385417..0.4118076]
PC 38:3:0	-7.712036E-5	-8.908565E-5	-7.666559E-5	[-8.908565E-5..-7.666559E-5]	Sum	[1.0575004..1.3532943]	[1.1167976..1.3946652]	[1.0941373..1.2967192]	[1.0575004..1.3946652]
					PC 22:3 (13z)/16:0	[0.028361663..0.06888852]	[0.020531883..0.07855477]	[0.038360734..0.076117605]	[0.020531883..0.07855477]
					PC 16:0/22:3 (13z)	[0.074735..0.12241676]	[0.068052225..0.13967139]	[0.073630124..0.11625524]	[0.068052225..0.13967139]
					PC 20:1/18:2	[0.02869224..0.043151293]	[0.020040324..0.048075266]	[0.024772368..0.043775793]	[0.020040324..0.048075266]
					PC 18:2/20:1	[0.0..0.0047897934]	[0.0..0.0055767307]	[0.0..0.0]	[0.0..0.0055767307]
					PC 20:2/18:1	[0.14843296..0.22295982]	[0.17197523..0.22376439]	[0.19161806..0.25402895]	[0.14843296..0.25402895]
					PC 18:1/20:2	[0.020140158..0.065153815]	[0.021089252..0.05179043]	[0.0..0.029467357]	[0.0..0.065153815]
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:3 (5z-11z)	[0.67247164..0.93786734]	[0.724973..0.9896727]	[0.6663058..0.87228423]	[0.6663058..0.9896727]
PC 38:4:0	8.899433	8.584011	9.524631	[8.584011..9.524631]	Sum	[8.584967..10.005863]	[9.025286..10.1003]	[8.250611..9.876239]	[8.250611..10.1003]
					PC 22:4 (7z-10z)/16:0	[0.0..0.26417068]	[0.028028298..0.2898165]	[0.0026770525..0.3021426]	[0.0..0.3021426]
					PC 16:0/22:4 (7z-10z)	[1.1751128..1.715394]	[1.2243941..1.6724117]	[1.0868832..1.6039273]	[1.0868832..1.715394]
					PC 20:3 (5z-11z)/18:1	[0.0048273527..0.10437288]	[0.045189787..0.11839612]	[0.049861968..0.15336552]	[0.0048273527..0.15336552]
					PC 18:1/20:3 (5z-11z)	[0.11353933..0.24699894]	[0.10643384..0.1974121]	[0.083379135..0.19498232]	[0.083379135..0.24699894]
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
