Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 18:1-20:1	[1.6237499..1.6237499]	[1.7343764..1.7343764]	[1.7444239..1.7444239]	[1.6237499..1.7444239]
					PC 18:0-20:2	[0.47516808..0.47516808]	[0.4742496..0.4742496]	[0.5119137..0.5119137]	[0.4742496..0.5119137]
PC 38:3:0	-7.712036E-5	-8.908565E-5	-7.666559E-5	[-8.908565E-5..-7.666559E-5]	Sum	[1.2857338..1.2857338]	[1.3172455..1.3172455]	[1.2437131..1.2437131]	[1.2437131..1.3172455]
					PC 16:0-22:3	[0.15299621..0.15299621]	[0.14693676..0.14693676]	[0.17832072..0.17832072]	[0.14693676..0.17832072]
					PC 18:2-20:1	[0.052921604..0.052921604]	[0.058101274..0.058101274]	[0.05169932..0.05169932]	[0.05169932..0.058101274]
					PC 18:1-20:2	[0.3101435..0.3101435]	[0.3004048..0.3004048]	[0.29353732..0.29353732]	[0.29353732..0.3101435]
					PC 18:0-20:3 (0z-11z)	[0.7696726..0.7696726]	[0.8118027..0.8118027]	[0.72015584..0.72015584]	[0.72015584..0.8118027]
PC 38:4:0	8.899433	8.584011	9.524631	[8.584011..9.524631]	Sum	[6.5376606..6.5376606]	[6.5930743..6.5930743]	[6.1565065..6.1565065]	[6.1565065..6.5930743]
					PC 16:0-22:4 (0z-10z)	[1.393049..1.393049]	[1.3926783..1.3926783]	[1.2687025..1.2687025]	[1.2687025..1.393049]
					PC 18:1-20:3 (0z-11z)	[0.23165505..0.23165505]	[0.24517274..0.24517274]	[0.24158174..0.24158174]	[0.23165505..0.24517274]
					PC 18:0-20:4 (0z-8z)	[4.9129567..4.9129567]	[4.9552236..4.9552236]	[4.6462226..4.6462226]	[4.6462226..4.9552236]
PC 38:5:0	3.0524497	2.9240732	3.2294357	[2.9240732..3.2294357]	Sum	[1.9951221..1.9951221]	[2.009779..2.009779]	[2.0327635..2.0327635]	[1.9951221..2.0327635]
					PC 16:0-22:5 (0z-7z)	[1.0404079..1.0404079]	[1.0561371..1.0561371]	[1.0565375..1.0565375]	[1.0404079..1.0565375]
					PC 18:1-20:4 (0z-8z)	[0.95471424..0.95471424]	[0.9536419..0.9536419]	[0.9762259..0.9762259]	[0.9536419..0.9762259]
PC 38:6:0	3.2468228	3.2511759	3.361479	[3.2468228..3.361479]	Sum	[1.7766446..1.7766446]	[1.7400476..1.7400476]	[1.6126974..1.6126974]	[1.6126974..1.7766446]
					PC 16:0-22:6	[1.7766446..1.7766446]	[1.7400476..1.7400476]	[1.6126974..1.6126974]	[1.6126974..1.7766446]
PC 40:2:0	0.34587198	0.3034406	0.36480466	[0.3034406..0.36480466]	Sum	[0.4577149..0.4577149]	[0.48497018..0.48497018]	[0.42468485..0.42468485]	[0.42468485..0.48497018]
					PC 18:1-22:1	[0.27560684..0.27560684]	[0.30354366..0.30354366]	[0.26036283..0.26036283]	[0.26036283..0.30354366]
