Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 16:0-22:4 (0z-10z)	[0.34671125..0.34671125]	[0.35201594..0.35201594]	[0.34056875..0.34056875]	[0.34056875..0.35201594]
					PC 18:1-20:3 (0z-11z)	[0.05765584..0.05765584]	[0.061970316..0.061970316]	[0.06484987..0.06484987]	[0.05765584..0.06484987]
					PC 18:0-20:4 (0z-8z)	[1.2227691..1.2227691]	[1.2524915..1.2524915]	[1.2472256..1.2472256]	[1.2227691..1.2524915]
PC 38:5:0	1.2994132	1.2859564	1.2912036	[1.2859564..1.2994132]	Sum	[0.49655926..0.49655926]	[0.50799537..0.50799537]	[0.5456723..0.5456723]	[0.49655926..0.5456723]
					PC 16:0-22:5 (0z-7z)	[0.2589436..0.2589436]	[0.26695117..0.26695117]	[0.28361547..0.28361547]	[0.2589436..0.28361547]
					PC 18:1-20:4 (0z-8z)	[0.23761559..0.23761559]	[0.24104428..0.24104428]	[0.26205674..0.26205674]	[0.23761559..0.26205674]
PC 38:6:0	1.3821568	1.4298104	1.3439977	[1.3439977..1.4298104]	Sum	[0.4421831..0.4421831]	[0.43981764..0.43981764]	[0.43291035..0.43291035]	[0.43291035..0.4421831]
					PC 16:0-22:6	[0.44218308..0.44218308]	[0.43981764..0.43981764]	[0.43291026..0.43291026]	[0.43291026..0.44218308]
PC 40:2:0	0.14723603	0.13344786	0.1458574	[0.13344786..0.14723603]	Sum	[0.113919124..0.113919124]	[0.12258196..0.12258196]	[0.11400185..0.11400185]	[0.113919124..0.12258196]
					PC 18:1-22:1	[0.06859485..0.06859485]	[0.07672425..0.07672425]	[0.069891445..0.069891445]	[0.06859485..0.07672425]
					PC 18:0-22:2	[0.030860456..0.030860456]	[0.031846948..0.031846948]	[0.027529832..0.027529832]	[0.027529832..0.031846948]
					PC 20:1/20:1	[0.014463784..0.014463784]	[0.014010757..0.014010757]	[0.016580539..0.016580539]	[0.014010757..0.016580539]
PC 40:3:0	0.0	0.0	-3.0652685E-5	[-3.0652685E-5..0.0]	Sum	[0.04813572..0.04813572]	[0.05242208..0.05242208]	[0.054485414..0.054485414]	[0.04813572..0.054485414]
					PC 18:1-22:2	[0.010530615..0.010530615]	[0.009044136..0.009044136]	[0.015067883..0.015067883]	[0.009044136..0.015067883]
					PC 18:0-22:3	[0.0376051..0.0376051]	[0.04337795..0.04337795]	[0.039417528..0.039417528]	[0.0376051..0.04337795]
PC 40:4:0	0.53114367	0.50069886	0.54240954	[0.50069886..0.54240954]	Sum	[0.27846113..0.27846113]	[0.28354415..0.28354415]	[0.31298134..0.31298134]	[0.27846113..0.31298134]
					PC 16:0-24:4	[0.036521927..0.036521927]	[0.03585633..0.03585633]	[0.040489174..0.040489174]	[0.03585633..0.040489174]
					PC 18:0-22:4 (0z-10z)	[0.24193919..0.24193919]	[0.24768788..0.24768788]	[0.27249208..0.27249208]	[0.24193919..0.27249208]
PC 40:5:0	0.4485969	0.47014192	0.46637723	[0.4485969..0.47014192]	Sum	[0.17785093..0.17785093]	[0.1727039..0.1727039]	[0.19557434..0.19557434]	[0.1727039..0.19557434]
					PC 18:1-22:4 (0z-10z)	[0.049076967..0.049076967]	[0.048722334..0.048722334]	[0.056170132..0.056170132]	[0.048722334..0.056170132]
					PC 18:0-22:5 (0z-7z)	[0.109017394..0.109017394]	[0.108461596..0.108461596]	[0.121197835..0.121197835]	[0.108461596..0.121197835]
					PC 20:1-20:4 (0z-8z)	[0.019756556..0.019756556]	[0.015519993..0.015519993]	[0.018206313..0.018206313]	[0.015519993..0.019756556]
PC 40:6:0	0.9772893	0.988545	1.0105765	[0.9772893..1.0105765]	Sum	[0.31457043..0.31457043]	[0.3759652..0.3759652]	[0.35853556..0.35853556]	[0.31457043..0.3759652]
					PC 18:1-22:5 (0z-7z)	[0.102265246..0.102265246]	[0.122037366..0.122037366]	[0.12301749..0.12301749]	[0.102265246..0.12301749]
					PC 18:0-22:6	[0.21230516..0.21230516]	[0.2539279..0.2539279]	[0.235518..0.235518]	[0.21230516..0.2539279]
PC 40:7:0	0.19985121	0.22717763	0.2177584	[0.19985121..0.22717763]	Sum	[0.08566416..0.08566416]	[0.09226194..0.09226194]	[0.08760278..0.08760278]	[0.08566416..0.09226194]
					PC 18:1-22:6	[0.08566415..0.08566415]	[0.09226195..0.09226195]	[0.087602764..0.087602764]	[0.08566415..0.09226195]
