Species	PRI_20180509_PC_brain_01.mzXML	PRI_20180509_PC_brain_02.mzXML	PRI_20180509_PC_brain_03.mzXML	PRI_Group-1	Mspecies	FAI.FC_20180509_PC_brain_01.mzXML	FAI.FC_20180509_PC_brain_02.mzXML	FAI.FC_20180509_PC_brain_03.mzXML	FAI.FC_Group-1
					PC 18:1/18:1	[3.0367424..3.1321697]	[2.8617625..3.0105457]	[2.909592..3.0929606]	[2.8617625..3.1321697]
PC 36:3:0	0.6812432	0.67542326	0.6841288	[0.67542326..0.6841288]	Sum	[0.40473133..0.62337667]	[0.41829395..0.64638823]	[0.39050323..0.63148296]	[0.39050323..0.64638823]
					PC 20:3 (5z-11z)/16:0	[0.05534048..0.14779517]	[0.053743925..0.15867853]	[0.060500246..0.1744407]	[0.053743925..0.1744407]
					PC 16:0/20:3 (5z-11z)	[0.16487448..0.2806369]	[0.16780046..0.2970694]	[0.13386706..0.2659282]	[0.13386706..0.2970694]
					PC 18:1/18:2	[0.08228339..0.10089324]	[0.08138766..0.09615271]	[0.08744181..0.11223306]	[0.08138766..0.11223306]
					PC 18:2/18:1	[0.09477284..0.11506832]	[0.096324705..0.11124307]	[0.08763699..0.11243675]	[0.08763699..0.11506832]
PC 36:4:0	2.9511697	2.9290557	2.934528	[2.9290557..2.9511697]	Sum	[1.9631698..2.1683466]	[1.8878309..2.049191]	[1.9984677..2.0536523]	[1.8878309..2.1683466]
					PC 20:4 (5z-8z)/16:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 16:0/20:4 (5z-8z)	[1.9628313..2.1605127]	[1.8752137..2.0374465]	[1.9914128..2.04895]	[1.8752137..2.1605127]
					PC 18:2/18:2	[0.0037366517..0.005426955]	[0.0057199947..0.0072510913]	[0.0..0.0063073044]	[0.0..0.0072510913]
PC 38:1:0	0.6981961	0.67137915	0.708026	[0.67137915..0.708026]	Sum	[0.466381..0.49415138]	[0.49723485..0.5056182]	[0.501194..0.5199397]	[0.466381..0.5199397]
					PC 22:1/16:0	[0.010225291..0.022680808]	[0.016365236..0.026038107]	[0.0076995348..0.022849422]	[0.0076995348..0.026038107]
					PC 16:0/22:1	[0.038939334..0.054433934]	[0.03682178..0.049740344]	[0.041974884..0.061778065]	[0.03682178..0.061778065]
					PC 20:0/18:1	[0.06250751..0.08339633]	[0.07971558..0.099853836]	[0.09093118..0.1015884]	[0.06250751..0.1015884]
					PC 18:1/20:0	[0.003884241..0.01154854]	[2.627986E-4..0.0090138875]	[0.0..2.0317682E-4]	[0.0..0.01154854]
					PC 20:1/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:1	[0.32626277..0.35291916]	[0.3381399..0.3494077]	[0.3363452..0.35680607]	[0.32626277..0.35680607]
PC 38:2:0	0.7422664	0.75930405	0.7452571	[0.7422664..0.75930405]	Sum	[0.46187457..0.47898972]	[0.48612398..0.5104321]	[0.52720475..0.5397142]	[0.46187457..0.5397142]
					PC 22:1/16:1	[0.0..9.480516E-4]	[0.0..0.0016466368]	[0.0..0.0]	[0.0..0.0016466368]
					PC 16:1/22:1	[0.007003777..0.0087782545]	[0.004820434..0.012288334]	[0.006774517..0.01075448]	[0.004820434..0.012288334]
					PC 22:2/16:0	[0.0061003347..0.016073292]	[0.004660866..0.017045926]	[0.0074410387..0.021234855]	[0.004660866..0.021234855]
					PC 16:0/22:2	[0.014121145..0.025202919]	[0.017640086..0.03206882]	[0.014549888..0.029320726]	[0.014121145..0.03206882]
					PC 20:1/18:1	[0.23974441..0.26005727]	[0.25814432..0.29198876]	[0.28567898..0.34580842]	[0.23974441..0.34580842]
					PC 18:1/20:1	[0.07716669..0.09268361]	[0.060245354..0.09274522]	[0.032670736..0.093829855]	[0.032670736..0.093829855]
					PC 20:2/18:0	[0.0..0.0]	[0.0..0.0034517115]	[0.0..0.013180432]	[0.0..0.013180432]
					PC 18:0/20:2	[0.09180665..0.1018745]	[0.09970376..0.104597315]	[0.0966242..0.11664099]	[0.09180665..0.11664099]
PC 38:3:0	-3.2829765E-5	-3.917831E-5	-3.0652685E-5	[-3.917831E-5..-3.0652685E-5]	Sum	[0.28960183..0.35701454]	[0.29912093..0.37175834]	[0.31066105..0.3662191]	[0.28960183..0.37175834]
					PC 22:3 (13z)/16:0	[0.007558593..0.018534286]	[0.00554298..0.021065949]	[0.010491979..0.021057628]	[0.00554298..0.021065949]
					PC 16:0/22:3 (13z)	[0.01991743..0.032935925]	[0.018372016..0.037455525]	[0.02013845..0.032161545]	[0.018372016..0.037455525]
					PC 20:1/18:2	[0.007800012..0.011411983]	[0.0054136086..0.012862644]	[0.006702738..0.012399119]	[0.0054136086..0.012862644]
					PC 18:2/20:1	[0.0..0.0012667301]	[0.0..0.0014920668]	[0.0..0.0]	[0.0..0.0014920668]
					PC 20:2/18:1	[0.040573485..0.05896495]	[0.045924973..0.060006656]	[0.052295618..0.06887091]	[0.040573485..0.06887091]
					PC 18:1/20:2	[0.005505222..0.017230868]	[0.00563176..0.0138885835]	[0.0..0.007989025]	[0.0..0.017230868]
					PC 20:3 (5z-11z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:3 (5z-11z)	[0.18381712..0.24803257]	[0.19516471..0.26478913]	[0.19028589..0.24706708]	[0.18381712..0.26478913]
PC 38:4:0	3.788446	3.775098	3.8081691	[3.775098..3.8081691]	Sum	[2.3429534..2.6396613]	[2.4442382..2.6923096]	[2.3620045..2.6704788]	[2.3429534..2.6923096]
					PC 22:4 (7z-10z)/16:0	[0.0..0.06986376]	[0.0075121103..0.07754105]	[7.6452177E-4..0.082153305]	[0.0..0.082153305]
					PC 16:0/22:4 (7z-10z)	[0.31945553..0.45366073]	[0.32816064..0.44745746]	[0.3103958..0.43611172]	[0.3103958..0.45366073]
					PC 20:3 (5z-11z)/18:1	[0.0013123204..0.02760292]	[0.012067667..0.031677146]	[0.014214394..0.042486187]	[0.0013123204..0.042486187]
					PC 18:1/20:3 (5z-11z)	[0.030865774..0.065322444]	[0.02842253..0.052818052]	[0.023769297..0.054015096]	[0.023769297..0.065322444]
					PC 20:4 (5z-8z)/18:0	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]	[0.0..0.0]
					PC 18:0/20:4 (5z-8z)	[1.9649271..2.029745]	[2.0550182..2.0965283]	[2.007026..2.0857482]	[1.9649271..2.0965283]
